"Date","Close.Last","Volume","Open","High","Low"
2018-01-26,39,35689,38.71,39,38.71
2018-01-29,38.65,51742,38.79,38.79,38.51
2018-01-30,38.36,37211,38.32,38.48,38.23
2018-01-31,38.18,69296,38.44,38.44,38.04
2018-02-01,38.2,61361,37.98,38.28,37.96
2018-02-02,37.16,60004,37.72,37.76,37.02
2018-02-05,35.46,140574,37.1,37.28,35.29
2018-02-06,37.2,84267,35.99,37.23,35.86
2018-02-07,36.27,96319,36.5,36.84,36.18
2018-02-08,35.37,72619,36.21,36.23,35.37
2018-02-09,35.85,134250,35.5,35.85,34.62
2018-02-12,36.03,34724,35.72,36.1,35.62
2018-02-13,35.92,25619,35.79,35.97,35.64
2018-02-14,36.85,107829,35.57,36.86,35.51
2018-02-15,36.64,68456,36.68,36.68,36.14
2018-02-16,36.63,59323,36.53,36.88,36.44
2018-02-20,35.62,47479,35.56,35.76,35.51
2018-02-21,35.36,48870,35.58,35.88,35.35
2018-02-22,35.76,25432,35.71,36,35.63
2018-02-23,35.87,102616,36.15,36.25,35.25
2018-02-26,36.22,39096,36.04,36.24,35.9
2018-02-27,35.64,34377,35.94,35.96,35.6
2018-02-28,35.13,79299,35.48,35.48,35.1
2018-03-01,34.47,51225,34.79,34.82,34.2
2018-03-02,34.82,55032,34.47,34.87,34.37
2018-03-05,34.59,35918,33.82,34.59,33.78
2018-03-06,35,54998,34.83,35.05,34.71
2018-03-07,35.19,53372,34.88,35.36,34.81
2018-03-08,34.84,26374,35.01,35.06,34.75
2018-03-09,35.1,45664,35.03,35.11,34.93
2018-03-12,35.25,111783,35.07,35.32,35.07
2018-03-13,34.83,120788,35.38,35.38,34.71
2018-03-14,34.84,20734,35.11,35.11,34.64
2018-03-15,35.02,26912,34.82,35.09,34.73
2018-03-16,35.22,32673,35.11,35.35,35.11
2018-03-19,35.11,32603,35,35.14,34.82
2018-03-20,35.24,42722,35.04,35.34,35.04
2018-03-21,35.21,31997,35.39,35.42,35.1
2018-03-22,34.72,109279,34.96,35.12,34.68
2018-03-23,34.37,78095,34.78,34.82,34.32
2018-03-26,35.85,27368,35.61,35.87,35.32
2018-03-27,35.24,60061,35.94,35.94,35.05
2018-03-28,35.14,28243,35.12,35.43,34.96
2018-03-29,36.28,31044,36.44,36.5,36.13
2018-04-02,35.95,73630,36.11,36.3,35.41
2018-04-03,36.4,39901,36.32,36.47,36.13
2018-04-04,36.35,353032,35.53,36.35,35.53
2018-04-05,36.14,45005,36.27,36.29,36.13
2018-04-06,36.33,30920,36.33,36.55,36.2
2018-04-09,36.16,29772,36.26,36.47,36.11
2018-04-10,37.05,38925,37.25,37.27,36.95
2018-04-11,37.03,25380,36.96,37.25,36.96
2018-04-12,36.95,41742,36.91,37.07,36.89
2018-04-13,37.68,17182,37.53,37.68,37.42
2018-04-16,37.56,43094,37.55,37.6,37.39
2018-04-17,37.66,664820,37.54,37.73,37.48
2018-04-18,37.56,25931,37.38,37.61,37.38
2018-04-19,37.42,31151,37.55,37.55,37.31
2018-04-20,37.26,29510,37.31,37.35,37.17
2018-04-23,37.14,29910,37.19,37.21,36.97
2018-04-24,36.86,26451,36.95,37.24,36.76
2018-04-25,36.32,26030,36.31,36.43,36.19
2018-04-26,36.63,24697,36.63,36.75,36.26
2018-04-27,37.04,28452,36.81,37.1,36.79
2018-04-30,37.07,30132,37.03,37.22,37.01
2018-05-01,36.75,22649,36.9,37.05,36.64
2018-05-02,36.98,87326,37.35,37.36,36.98
2018-05-03,37.02,27763,37,37.1,36.75
2018-05-04,36.58,26897,36.16,36.67,36.16
2018-05-07,36.4,16628,36.4,36.5,36.3
2018-05-08,36.46,19235,36.26,36.46,36.25
2018-05-09,36.46,27816,36.39,36.55,36.29
2018-05-10,36.81,25957,36.52,36.81,36.42
2018-05-11,36.65,27622,36.63,36.82,36.61
2018-05-14,36.57,31216,36.59,36.69,36.52
2018-05-15,36.34,22906,36.23,36.51,36.16
2018-05-16,36.34,34852,36.34,36.5,36.17
2018-05-17,36.65,42856,36.71,36.88,36.6
2018-05-18,34.93,28730,34.84,35.05,34.79
2018-05-21,35.22,19233,35.17,35.34,35.03
2018-05-22,35.6,65547,35.87,35.88,35.59
2018-05-23,34.86,56885,34.83,34.86,34.59
2018-05-24,34.31,69289,33.89,34.31,33.81
2018-05-25,34.03,27502,33.81,34.05,33.63
2018-05-29,33.08,76515,33.1,34,32.87
2018-05-30,33.65,52829,33.26,33.67,33.15
2018-05-31,33.4,32760,33.35,33.46,33.1
2018-06-01,33.5,121494,33.64,33.7,33.4
2018-06-04,33.53,219078,33.76,33.85,33.49
2018-06-05,33.75,57477,33.9,34,33.7
2018-06-06,34.3,58738,33.93,34.32,33.8
2018-06-07,33.88,39879,34.27,34.27,33.76
2018-06-08,33.66,34859,33.55,33.74,33.36
2018-06-11,33.6,40349,33.27,33.72,33.2
2018-06-12,33.45,46707,33.61,33.65,33.36
2018-06-13,32.94,748200,33.25,33.29,32.67
2018-06-14,33.31,112087,33.33,33.57,33.28
2018-06-15,33.3,33417,33.14,33.32,33.06
2018-06-18,32.78,61642,32.6,32.81,32.56
2018-06-19,32.51,46585,32.29,32.55,32.24
2018-06-20,32.27,64921,32.46,32.46,32.24
2018-06-21,31.33,61842,31.46,31.47,31.19
2018-06-22,31.13,114022,31.24,31.27,30.69
2018-06-25,30.8,88676,30.75,30.86,30.64
2018-06-26,30.58,127763,30.44,30.67,30.26
2018-06-27,30.05,229830,30.59,30.77,30.05
2018-06-28,30,97389,29.9,30.08,29.78
2018-06-29,30.17,72382,30.17,30.36,30.1
2018-07-02,30.29,103830,30.21,30.34,30.03
2018-07-03,30.12,35306,30.39,30.39,30.11
2018-07-05,31.52,62992,31.52,31.57,30.3
2018-07-06,31.44,57535,31.36,31.56,31.23
2018-07-09,31.49,59735,31.4,31.52,31.32
2018-07-10,31.33,60987,31.33,31.38,31.21
2018-07-11,30.65,59304,30.77,30.91,30.61
2018-07-12,30.95,79126,30.92,31,30.86
2018-07-13,31.07,46105,30.99,31.07,30.88
2018-07-16,30.98,70870,30.86,31.01,30.84
2018-07-17,31.35,132041,30.96,31.44,30.96
2018-07-18,31.43,67029,31.38,31.48,31.27
2018-07-19,31.33,53490,31.24,31.39,31.15
2018-07-20,30.93,58896,30.71,31,30.62
2018-07-23,31.29,33288,31.09,31.29,31.09
2018-07-24,31.74,70336,32.02,32.08,31.67
2018-07-25,31.97,72860,31.32,32.06,30.91
2018-07-26,32.26,74304,32.33,32.44,32.17
2018-07-27,32.12,63816,32.11,32.29,32.05
2018-07-30,32.3,40984,32.26,32.45,32.26
2018-07-31,32.35,176039,32.43,32.52,32.3
2018-08-01,31.68,205805,31.68,31.87,31.6
2018-08-02,31.58,62970,31.39,31.63,31.25
2018-08-03,31.96,41294,31.95,32.03,31.83
2018-08-06,32.23,36602,32.24,32.32,32.1
2018-08-07,32.59,35487,32.8,32.8,32.52
2018-08-08,32.74,70113,32.67,32.78,32.6
2018-08-09,32.63,36243,32.85,32.88,32.62
2018-08-10,31.78,77841,31.76,31.88,31.63
2018-08-13,31.65,65309,31.91,31.91,31.6
2018-08-14,31.4,105250,31.27,31.5,31.18
2018-08-15,30.83,80821,30.79,30.91,30.54
2018-08-16,31.08,130500,31.07,31.24,31.05
2018-08-17,31.25,91331,30.85,31.29,30.78
2018-08-20,31.35,449574,31.29,31.42,31.22
2018-08-21,32.04,101057,31.92,32.17,31.81
2018-08-22,31.9,84948,31.62,31.96,31.59
2018-08-23,31.26,70675,31.27,31.44,31.22
2018-08-24,31.6,42188,31.39,31.6,31.3
2018-08-27,32.46,56666,32.22,32.49,32.2
2018-08-28,32.94,64049,33.1,33.13,32.91
2018-08-29,32.96,68831,32.61,32.96,32.56
2018-08-30,32.83,52519,32.84,33.04,32.75
2018-08-31,32.28,69030,32.5,32.59,32.13
2018-09-04,31.65,33912,31.47,31.67,31.4
2018-09-05,31.6,54810,31.78,31.8,31.46
2018-09-06,31.35,54225,31.45,31.53,31.18
2018-09-07,31.19,57454,31.21,31.42,31.1
2018-09-10,31.39,66987,31.54,31.55,31.28
2018-09-11,31.3,105866,31.12,31.36,31.08
2018-09-12,31.5,84630,31.15,31.67,31.15
