Date,Close/Last,Volume,Open,High,Low
02/01/2023,$253.32,786090,$249.81,$256.46,$249.23
01/31/2023,$251.31,708699,$246.6,$251.59,$246.51
01/30/2023,$251.25,481326,$253.75,$255.06,$250.6
01/27/2023,$253.72,802881,$248.82,$256.0816,$248.82
01/26/2023,$247.77,362527,$246.76,$248.5033,$246.3
01/25/2023,$245.58,275225,$242.76,$245.78,$242.36
01/24/2023,$244.04,283729,$242.7,$244.435,$241.81
01/23/2023,$243.64,373090,$241.95,$245.28,$241.66
01/20/2023,$242.38,311844,$240.2,$242.5,$239.52
01/19/2023,$237.99,605164,$239.45,$240,$236.67
01/18/2023,$239.71,566282,$241.94,$242.64,$239.71
01/17/2023,$237.86,340249,$237.36,$239.796,$237.36
01/13/2023,$235.92,186410,$234.78,$236.45,$234.61
01/12/2023,$235.84,329921,$234.12,$237.1,$232.67
01/11/2023,$233.71,332667,$232.96,$234.88,$232.44
01/10/2023,$231.95,297697,$230.1,$232.13,$229.26
01/09/2023,$228.77,564721,$230,$232.75,$228.77
01/06/2023,$224.08,212888,$216.84,$224.805,$216.2
01/05/2023,$216.08,205865,$217.25,$218.45,$215.77
01/04/2023,$219.67,354740,$219.2,$219.67,$216.61
01/03/2023,$215.37,316417,$216.66,$218.76,$213.97
12/30/2022,$214.22,141175,$215.54,$216.29,$212.805
12/29/2022,$216.59,189270,$213.79,$216.9285,$213.7
12/28/2022,$210.25,163221,$212,$213.24,$210.035
12/27/2022,$212,190278,$211.8,$212.97,$210.3
12/23/2022,$211.01,221986,$210.8,$212.31,$209.88
12/22/2022,$212.56,180640,$213.2,$213.36,$210.35
12/21/2022,$213.9,335031,$213.78,$215.02,$213.54
12/20/2022,$214.09,208835,$213.45,$214.98,$213.21
12/19/2022,$216.13,192705,$218.38,$218.38,$216.08
12/16/2022,$218.11,155983,$221.05,$222.33,$218.11
12/15/2022,$222.4,221635,$224.03,$224.58,$221.16
12/14/2022,$225.18,205327,$225.92,$227.32,$224.11
12/13/2022,$225.49,343295,$229.22,$230.172,$222.93
12/12/2022,$222.53,146964,$222.29,$222.765,$221
12/09/2022,$220.72,150145,$219.98,$221.54,$219.42
12/08/2022,$220.33,228792,$219.63,$220.69,$218.7
12/07/2022,$220.08,194842,$220.99,$222.72,$219.77
12/06/2022,$221.1,301270,$223.49,$223.83,$218.95
12/05/2022,$223.68,372259,$226.92,$227.04,$223.68
12/02/2022,$226.58,353796,$224.64,$226.68,$223.41
12/01/2022,$228.08,299276,$226.18,$228.4,$224.94
11/30/2022,$223.05,282572,$219.65,$223.05,$218.08
11/29/2022,$215.22,223485,$215.55,$217.12,$215.075
11/28/2022,$215.95,203573,$218.97,$219.89,$215.83
11/25/2022,$218.14,70239,$217.58,$218.9,$217.56
11/23/2022,$217.59,213219,$216.61,$218.495,$216.45
11/22/2022,$216.36,162567,$214.91,$217.02,$214.485
11/21/2022,$214.12,181731,$214.86,$216,$213.935
11/18/2022,$216.33,143507,$214.43,$216.43,$213.6
11/17/2022,$213.55,347902,$211.1,$213.8025,$210.95
11/16/2022,$213.94,194146,$214.4,$215.16,$213.3
11/15/2022,$215.44,289817,$215.94,$216.89,$212.58
11/14/2022,$212.76,341892,$215.9,$216.59,$212.76
11/11/2022,$216.86,439650,$215,$218.54,$214.41
11/10/2022,$212.8,445961,$211.88,$214.23,$210.8224
11/09/2022,$201.49,261326,$202.24,$205.12,$201.25
11/08/2022,$204.3,385933,$202.18,$206.36,$201.96
11/07/2022,$199.89,298693,$200.42,$201,$198.645
11/04/2022,$199.2,565414,$201.69,$203,$197.22
11/03/2022,$192.52,528181,$189.16,$193.78,$188.93
11/02/2022,$191.59,595192,$192.9,$197.635,$190.2894
11/01/2022,$196.96,299167,$200.86,$201.72,$195.6
10/31/2022,$196.77,277854,$196.74,$198.1,$195.27
10/28/2022,$198.65,356648,$196.62,$199.17,$195.82
10/27/2022,$196.29,261208,$198.76,$199.205,$196.08
10/26/2022,$197.18,257444,$195.66,$199.44,$195.36
10/25/2022,$196.51,352680,$194.14,$198.8925,$194.07
10/24/2022,$191.73,399656,$189.5,$192.78,$189.41
10/21/2022,$188.37,285816,$184.9,$188.69,$184.15
10/20/2022,$186.66,260608,$187.57,$189.67,$185.57
10/19/2022,$187.57,179091,$189.12,$189.71,$186.1
10/18/2022,$191.02,264302,$192.74,$193.48,$189.89
10/17/2022,$188.59,308494,$186.72,$189.09,$185.9
10/14/2022,$180.63,388203,$185.58,$186.27,$180.57
10/13/2022,$183.45,463097,$178,$184,$176.82
10/12/2022,$182.5,319567,$183,$184.31,$182
10/11/2022,$183.15,322013,$183.35,$186,$182
10/10/2022,$182.11,493543,$184.58,$184.85,$181.02
10/07/2022,$185,340508,$187.44,$187.57,$184.7
10/06/2022,$190.88,332688,$190.74,$192.24,$189.211
10/05/2022,$193.52,361240,$189.41,$194.65,$187.43
10/04/2022,$193.78,509600,$192.53,$196.05,$192.53
10/03/2022,$186.7,412911,$183.86,$187.76,$182.79
09/30/2022,$185,282575,$184.85,$188.23,$184.57
09/29/2022,$186.42,444637,$185.64,$186.91,$183.15
09/28/2022,$191.23,433223,$187.18,$191.79,$185.42
09/27/2022,$189.19,413859,$190.2,$191.12,$186.53
09/26/2022,$186.43,275190,$187.28,$190.31,$185.74
09/23/2022,$186.25,577146,$186.55,$186.63,$183.63
09/22/2022,$189.13,527210,$191.34,$191.58,$187.85
09/21/2022,$192.48,421299,$192.78,$196.74,$192.1
09/20/2022,$194,578693,$194.7,$194.96,$191.98
09/19/2022,$198.44,183248,$194.71,$198.53,$194.71
09/16/2022,$196.9,355542,$196.38,$197.44,$195.24
09/15/2022,$196.64,290818,$198.44,$201.36,$196.47
09/14/2022,$199.62,437736,$198.8,$201.08,$197.98
09/13/2022,$195.52,339273,$197.72,$198.43,$195.03
09/12/2022,$201.97,321125,$200.48,$202.81,$200.48
09/09/2022,$195.8,266507,$197.18,$197.82,$195.57
09/08/2022,$193.71,245902,$190.3,$194,$189.3
09/07/2022,$195.27,156592,$192.24,$195.42,$191.88
09/06/2022,$190.35,444751,$188.71,$191.12,$187.17
09/02/2022,$191.18,334878,$196.02,$198.17,$190.39
09/01/2022,$193.85,308647,$192.5,$194.05,$190.08
08/31/2022,$194.66,325823,$195.64,$196.32,$193.8
08/30/2022,$195.43,375863,$199.25,$199.98,$194.55
08/29/2022,$198.99,271326,$198.37,$200.16,$198.08
08/26/2022,$197.79,279488,$204.5,$205.41,$197.75
08/25/2022,$206.92,202812,$204.56,$207.09,$203.95
08/24/2022,$203.6,173750,$201.48,$205.21,$201.24
08/23/2022,$201.9,211759,$201.48,$204.53,$201.48
08/22/2022,$200.56,473421,$202.5,$203.58,$199.695
08/19/2022,$207.04,220149,$208.74,$208.86,$205.57
08/18/2022,$212.37,252753,$211.08,$212.38,$209.53
08/17/2022,$211.38,221173,$210.84,$213.36,$209.35
08/16/2022,$212.16,288296,$209.95,$212.8,$209.53
08/15/2022,$214.66,96468,$214.54,$215.39,$213.53
08/12/2022,$215.81,176776,$214.72,$215.83,$214.01
08/11/2022,$215.27,299880,$216.62,$216.78,$214.4
08/10/2022,$215,181307,$215.85,$216.84,$214.06
08/09/2022,$210.47,246098,$212.79,$212.83,$210
08/08/2022,$213.56,212811,$213.3,$215.4033,$212.925
08/05/2022,$211.94,310627,$212.15,$213.84,$210.7
08/04/2022,$216,276416,$215.78,$217.47,$214.2
08/03/2022,$215.7,349063,$211.84,$216.025,$211.01
08/02/2022,$211.04,422205,$211.38,$214.44,$210.5476
08/01/2022,$213.21,380093,$213.89,$214.54,$211.73
07/29/2022,$211.23,337618,$209.4,$211.25,$208.44
07/28/2022,$207.49,420305,$205.02,$208.718,$203.7
07/27/2022,$200.73,368497,$198.25,$201.19,$197.05
07/26/2022,$195.65,261437,$197.86,$198.16,$194.86
07/25/2022,$201.61,265008,$203.3,$203.61,$201
07/22/2022,$200.43,207772,$202.62,$204.4199,$200.04
07/21/2022,$202.04,361160,$198.18,$202.2,$198.18
07/20/2022,$195.59,421319,$195.85,$198.095,$194.35
07/19/2022,$198.98,537568,$200.22,$201.6,$198.81
07/18/2022,$195.08,547661,$198.98,$199.62,$195.0201
07/15/2022,$193.47,469477,$191.39,$195.55,$190.72
07/14/2022,$188.75,466058,$188.97,$190.31,$185.3175
07/13/2022,$191.12,263798,$187.04,$192,$186.58
07/12/2022,$188.86,446747,$191.64,$192.45,$188.68
07/11/2022,$190.68,427357,$192.77,$193.84,$190.47
07/08/2022,$193.63,240693,$191.46,$194.98,$191.46
07/07/2022,$192.57,235218,$190.84,$192.75,$190.74
07/06/2022,$189.81,267155,$188.81,$190.49,$186.24
07/05/2022,$189.98,300725,$185.46,$190.12,$184.86
07/01/2022,$187.94,338259,$183.12,$187.97,$182.82
06/30/2022,$183.48,449880,$181.34,$185.41,$179.27
06/29/2022,$184.8,456741,$182.92,$185.445,$182.04
06/28/2022,$185.07,342058,$188.34,$189.96,$184.99
06/27/2022,$186.46,458525,$188.92,$189.48,$186.35
06/24/2022,$191.94,367387,$186.76,$192.06,$186.5
06/23/2022,$185.61,375848,$183.84,$186.12,$182.82
06/22/2022,$183.75,609010,$181.36,$185.54,$181.02
06/21/2022,$184.43,621215,$183.5,$185.49,$182.91
06/17/2022,$176.03,788745,$175.88,$177.35,$173.241
06/16/2022,$174.06,802305,$176.9,$180.025,$172.72
06/15/2022,$176.87,682213,$172.81,$178.57,$172.43
06/14/2022,$168.75,640909,$171.43,$172.22,$167.45
06/13/2022,$171.51,659771,$174.12,$175.44,$171.21
06/10/2022,$181.82,416837,$182.79,$183.68,$180.67
06/09/2022,$187.45,614720,$189.31,$194.43,$186.95
06/08/2022,$191.87,499527,$191.56,$194.84,$190.76
06/07/2022,$191.16,336995,$189.4,$191.41,$187.92
06/06/2022,$193.27,279685,$192.6,$194.25,$191.46
06/03/2022,$189.71,535700,$192.61,$193.95,$189.435
06/02/2022,$197.88,404449,$190.9,$198,$190.7756
06/01/2022,$189.17,558454,$192.01,$192.9,$187.76
05/31/2022,$194.97,461354,$195.78,$196.7,$193.2231
05/27/2022,$201.86,437837,$200.4,$201.87,$199.77
05/26/2022,$197.02,417270,$192.12,$198.14,$192.12
05/25/2022,$191.04,269066,$188.09,$192.635,$188.02
05/24/2022,$190.52,302564,$190.33,$191.28,$188.61
05/23/2022,$189.66,405536,$188.53,$190.84,$186.961
05/20/2022,$189.48,643743,$192.05,$193.2,$184.6301
05/19/2022,$188.44,666644,$183.5,$190.02,$183.18
05/18/2022,$183.17,882308,$188.38,$189,$181.67
05/17/2022,$192.37,808669,$191.6,$193.36,$190.18
05/16/2022,$187.61,599742,$192.51,$192.51,$186.97
05/13/2022,$193.91,494144,$191.03,$196.22,$190.2
05/12/2022,$188.99,629046,$185.5,$190.8,$183.972
05/11/2022,$188.5,519241,$190.12,$195.13,$188.33
05/10/2022,$190.71,909725,$194.45,$194.88,$187.725
05/09/2022,$190.56,597877,$192.91,$194.11,$190.35
05/06/2022,$197.86,693694,$199.09,$200.45,$194.7
05/05/2022,$202.06,565901,$206.4,$206.4,$199.45
05/04/2022,$211.75,1332304,$208.78,$212.45,$202.95
05/03/2022,$214.23,382896,$214.14,$215.86,$212.61
05/02/2022,$210.56,281022,$209.5,$211.08,$206.82
04/29/2022,$209.74,317850,$213.13,$215.88,$209.58
04/28/2022,$214.04,256769,$210.68,$215.42,$208.8
04/27/2022,$207.89,288792,$205.79,$210.045,$205.73
04/26/2022,$205.79,528009,$211.44,$211.68,$204.55
04/25/2022,$213.37,306243,$209.03,$213.4,$208.63
04/22/2022,$210.46,400881,$214.26,$215.4,$210.31
04/21/2022,$216.89,399548,$223.32,$225.96,$216.84
04/20/2022,$221.64,208259,$223.35,$224.16,$221.34
04/19/2022,$222.85,261458,$217.82,$222.97,$217.48
04/18/2022,$220.5,190033,$219.99,$222.61,$219
04/14/2022,$219.99,275268,$223.74,$224.76,$219.335
04/13/2022,$223.47,235418,$218.22,$223.96,$218.106
04/12/2022,$221.71,369420,$225.71,$226.56,$220.38
04/11/2022,$220.76,595217,$219.24,$223.3,$218.58
04/08/2022,$219.51,356426,$217.92,$222.28,$217.74
04/07/2022,$221.4,458763,$221.36,$222.3,$216.9
04/06/2022,$220.2,553786,$221.24,$221.85,$218
04/05/2022,$225.78,620142,$228.84,$230.28,$224.65
04/04/2022,$231.43,754655,$229.62,$232.14,$228.24
04/01/2022,$221.08,264555,$220.43,$221.82,$218.36
03/31/2022,$218.09,462850,$222.32,$222.96,$217.92
03/30/2022,$221.19,362492,$222.39,$224.4,$219.97
03/29/2022,$222.89,586540,$224.24,$225.58,$219.08
03/28/2022,$214.44,385361,$215,$217.03,$213.21
03/25/2022,$213.34,296661,$214.16,$214.56,$210.73
03/24/2022,$213.12,322830,$209.9,$213.79,$208.61
03/23/2022,$207.88,518935,$210.01,$210.48,$207.47
03/22/2022,$212.39,621547,$211.11,$214.95,$211.11
03/21/2022,$207.54,263451,$210,$210.3356,$205.58
03/18/2022,$209.61,359491,$204.82,$210.52,$204.8
03/17/2022,$209.53,376198,$204.88,$209.72,$204.6
03/16/2022,$208.9,631937,$201.32,$209.06,$201.24
03/15/2022,$195.2,275796,$193.45,$195.3,$192.5089
03/14/2022,$192.93,423551,$194.49,$197.0017,$192.24
03/11/2022,$190.45,459482,$195.26,$195.54,$189.75
03/10/2022,$192.96,658159,$193.8,$194.52,$189.77
03/09/2022,$197.72,731879,$195.91,$199.2,$193.515
03/08/2022,$181.48,1001360,$186.7,$188.93,$178.87
03/07/2022,$183.25,941746,$195.28,$195.9,$181.34
03/04/2022,$198.41,753798,$200.71,$201.19,$196.68
03/03/2022,$203.74,341135,$211.08,$211.38,$203.39
03/02/2022,$210.06,321315,$208.98,$211.2661,$208.03
03/01/2022,$208.48,357722,$214.9,$215.37,$207.63
02/28/2022,$215.31,376454,$212.04,$218,$211.68
02/25/2022,$213.42,460266,$212.2,$215.46,$210.3
02/24/2022,$215.55,732823,$204.88,$215.875,$204.3001
02/23/2022,$215.3,301242,$221.03,$221.45,$215.07
02/22/2022,$216.43,344185,$217,$219.9,$214.04
02/18/2022,$220.38,256321,$221.22,$222.13,$219.16
02/17/2022,$220.97,196542,$225.57,$225.605,$220.97
02/16/2022,$224.07,241522,$223.54,$224.77,$221.13
02/15/2022,$224.24,357877,$224.78,$226.1,$223.551
