"Date","Close.Last","Volume","Open","High","Low"
2018-02-01,128.1,2679472,123.9,129.8,123.9
2018-02-02,127.1,1395430,130.3,130.6,126.7
2018-02-05,121.4,1157371,127.3,128.1,120.5
2018-02-06,126.9,1830227,121,127.5,120.4
2018-02-07,124,794089,124.8,126.1,124
2018-02-08,119.6,797044,124.3,124.5,119.6
2018-02-09,120.2,1076555,119.2,121,117.2
2018-02-12,122.5,590939,119.5,123.3,119.5
2018-02-13,123.7,496171,122.8,124.2,122.3
2018-02-14,125.8,429197,122,126.4,122
2018-02-15,129.1,709975,129.5,129.5,127.4
2018-02-16,129.7,571810,130.3,131.2,129.2
2018-02-20,128.4,488171,126.8,129.5,126.8
2018-02-21,128,461673,129.5,130.3,127.9
2018-02-22,126.7,357006,127.7,127.8,126.1
2018-02-23,129.5,257832,127,129.6,127
2018-02-26,129.3,393756,130.1,130.4,128.1
2018-02-27,126,519032,129.1,129.3,126
2018-02-28,124.2,505077,126.1,126.5,124
2018-03-01,121.5,672177,124.2,124.3,120.2
2018-03-02,121.1,693648,120.5,121.3,118.6
2018-03-05,121.5,523092,119,121.6,118.3
2018-03-06,122.7,624469,122.7,123.4,122.1
2018-03-07,124.7,526315,122.3,125.2,122.3
2018-03-08,123.8,510124,125.3,125.5,122.9
2018-03-09,124.7,324307,124.2,124.8,124
2018-03-12,124.3,414259,124.6,124.9,124
2018-03-13,123.1,642859,124.9,125.2,122.8
2018-03-14,122.2,314970,123.9,123.9,121.9
2018-03-15,122.7,401514,122.4,123.3,122
2018-03-16,121.9,372919,123.1,123.2,121.9
2018-03-19,121.2,296841,122.4,122.4,120.3
2018-03-20,121.6,551304,121.1,122.4,121.1
2018-03-21,123.5,671775,123.2,124.4,123
2018-03-22,120.4,430446,121.9,122.5,120.4
2018-03-23,118.3,492925,120.8,121.2,118.3
2018-03-26,121.3,298532,121.7,122.1,119.2
2018-03-27,119.7,479623,122.6,122.8,118.9
2018-03-28,119.6,393541,121.4,121.7,119.3
2018-03-29,120.5,358628,121.1,121.3,119.8
2018-04-02,117.5,272834,119.6,120,116.5
2018-04-03,120.6,531065,120.5,121.3,119.4
2018-04-04,120.4,408879,117.2,120.6,117
2018-04-05,121.3,387877,120.9,121.8,120.5
2018-04-06,120.7,385363,121.3,122,119.5
2018-04-09,120.1,277236,121.5,121.9,120
2018-04-10,122.1,368815,121.9,122.6,121.1
2018-04-11,120.4,262711,120.7,121.7,120.1
2018-04-12,122,222511,121.5,122.1,121.4
2018-04-13,122.4,415705,121.7,122.9,121.6
2018-04-16,123,289888,122.4,123.3,122.2
2018-04-17,125.2,442973,123.7,125.4,123.4
2018-04-18,124.8,372465,124.1,125.4,124.1
2018-04-19,123.1,330210,124,124.3,122.5
2018-04-20,122.6,174466,122.4,123,122.1
2018-04-23,121.8,216941,121.4,122,121.1
2018-04-24,122.7,552002,122.7,123.6,121.6
2018-04-25,122.8,261317,122.4,123.3,121.7
2018-04-26,122.9,363854,123.4,123.5,122.1
2018-04-27,121.9,265161,123,123,121.8
2018-04-30,122.6,306626,121.8,123.3,121.6
2018-05-01,122.4,224426,122.6,122.7,121.1
2018-05-02,125.8,772359,126.4,127.1,125.6
2018-05-03,130.9,1414620,124.1,133.4,123.7
2018-05-04,137.3,1200938,134.9,137.4,134.2
2018-05-07,140.3,773503,139.3,141.5,139.1
2018-05-08,136.7,586638,136.8,138,135.2
2018-05-09,135.6,341407,136.5,136.7,134.9
