"Date","Close.Last","Volume","Open","High","Low"
2018-01-26,43.49,8609934,43.32,43.56,42.99
2018-01-29,43.02,8176231,43.47,43.78,42.98
2018-01-30,42.7,8440305,42.83,43.22,42.52
2018-01-31,42.41,19736990,42.78,42.95,42.14
2018-02-01,42.43,9629831,42.12,42.6,41.95
2018-02-02,41,13980360,42.22,42.27,40.85
2018-02-05,39.54,19548290,40.98,41.67,39.51
2018-02-06,41.86,26016800,40.06,42.23,40
2018-02-07,42.39,19382810,41.8,43.56,41.65
2018-02-08,40.75,18028690,42.46,42.71,40.74
2018-02-09,41.46,19569280,41.16,41.97,40.23
2018-02-12,42,19375600,41.95,42.62,41.61
2018-02-13,41.4,8926848,41.7,42.07,41.37
2018-02-14,41.81,10269480,41.03,41.91,40.93
2018-02-15,41.85,9715684,42.06,42.21,41.39
2018-02-16,41.09,14861080,41.85,42.28,41
2018-02-20,40.77,7675672,40.9,41.33,40.59
2018-02-21,40.56,9084667,40.75,41.3,40.51
2018-02-22,40.91,8782387,40.66,41.2,40.5
2018-02-23,40.91,6419172,41.05,41.14,40.58
2018-02-26,41.54,9385239,41.08,41.62,40.75
2018-02-27,40.17,12692900,41.49,41.54,40.12
2018-02-28,39.35,22848040,39.62,40.15,39.31
2018-03-01,37.79,26173740,39.59,39.59,37.41
2018-03-02,37.43,24056010,37.47,37.61,36.59
2018-03-05,37.74,12010000,37.33,37.9,37.11
2018-03-06,37.93,12129980,38.02,38.07,37.54
2018-03-07,37.74,15046920,37.39,37.84,37.16
2018-03-08,37.84,13017000,37.64,37.93,37.22
2018-03-09,37.84,12262990,37.85,38.08,37.66
2018-03-12,37.83,11345950,37.87,37.99,37.58
2018-03-13,38.01,12400500,37.97,38.53,37.87
2018-03-14,37.69,13349600,38.48,38.61,37.65
2018-03-15,37.85,8140064,37.97,37.99,37.59
2018-03-16,37.94,10304470,37.92,38.15,37.69
2018-03-19,37.01,12039840,37.93,37.98,36.54
2018-03-20,36.89,8494277,37.13,37.26,36.74
2018-03-21,37.58,11543880,37.16,38.02,37.1
2018-03-22,36.35,13113440,37.23,37.33,36.27
2018-03-23,35.17,13175380,36.42,36.59,35.13
2018-03-26,35.99,9282914,35.94,36.05,35.28
2018-03-27,34.87,17435660,36.02,36.03,34.5
2018-03-28,35.47,17818150,35.01,35.79,34.9
2018-03-29,36.34,13048980,35.83,36.52,35.69
2018-04-02,35.76,13873330,36.1,36.26,35.23
2018-04-03,36.94,15816830,36.8,37.35,36.39
2018-04-04,38.03,15734920,36.01,38.13,35.95
2018-04-05,38,11466290,38.25,38.48,37.89
2018-04-06,37.68,14716960,37.96,38.16,37.2
2018-04-09,37.83,13421870,38.28,38.5,37.81
2018-04-10,39.07,15504870,38.6,39.35,38.39
2018-04-11,39,8371544,38.72,39.29,38.49
2018-04-12,38.83,7895554,39.27,39.49,38.77
2018-04-13,38.73,6117014,39.12,39.38,38.56
2018-04-16,39.17,5064428,38.97,39.41,38.67
2018-04-17,39.22,5428228,39.64,39.65,39.08
2018-04-18,38.93,6091688,39.24,39.67,38.9
2018-04-19,37.77,10228010,38.71,38.91,37.42
2018-04-20,37.61,8698428,37.75,38.01,37.35
2018-04-23,37.69,7301926,37.49,37.96,37.43
2018-04-24,37.93,8948784,37.93,38.17,37.54
2018-04-25,38.11,7600423,37.73,38.2,37.5
2018-04-26,38.25,16557820,37.59,38.28,36.83
2018-04-27,37.65,8658116,38.16,38.21,37.49
2018-04-30,36.74,11818600,37.88,38.07,36.74
2018-05-01,36.42,11380330,36.76,36.96,35.89
2018-05-02,36.2,9429723,36.48,36.7,36.15
2018-05-03,36.15,15728600,35.99,36.17,35.28
2018-05-04,36.71,6638225,36.15,36.78,35.87
2018-05-07,36.34,9195837,36.63,36.77,36.28
2018-05-08,36.33,8355321,36.38,36.61,36.11
2018-05-09,36.27,7605678,36.39,36.74,35.96
2018-05-10,37.16,6793417,36.46,37.22,36.42
2018-05-11,36.89,4845827,37.11,37.25,36.78
2018-05-14,36.63,6392820,37.06,37.07,36.56
2018-05-15,36.94,6505236,36.4,36.96,36.4
2018-05-16,38.03,8190176,36.97,38.04,36.96
2018-05-17,38.3,9138623,37.97,38.47,37.75
2018-05-18,37.79,5560878,38.27,38.4,37.72
2018-05-21,38.09,5971601,38.16,38.33,37.98
2018-05-22,38.28,6989939,38.58,38.77,38.25
2018-05-23,37.85,8790638,38.18,38.19,37.46
2018-05-24,38.39,8465212,38,38.59,37.89
2018-05-25,38.3,5246929,38.25,38.4,38.11
2018-05-29,37.38,12342230,38.01,38.05,37.27
2018-05-30,37.83,11818710,37.5,37.87,37.48
2018-05-31,42.7,59890100,41.65,42.77,41.27
2018-06-01,43.2,24403340,42.98,43.31,42.33
2018-06-04,43.78,12617480,43.24,43.85,43.16
2018-06-05,43.41,11889720,43.61,43.77,43.34
2018-06-06,43.93,18018710,43.66,44,43.36
2018-06-07,44.01,15329300,43.51,44.37,43.51
2018-06-08,44.25,8548792,43.98,44.33,43.92
2018-06-11,44.85,14017090,44.3,44.89,44.29
2018-06-12,44.18,9931205,44.86,44.95,44.16
2018-06-13,44.45,11233100,44.12,44.46,43.83
2018-06-14,43.57,10008000,44.39,44.4,43.42
2018-06-15,43.91,23680310,43.28,45,42.76
2018-06-18,43.95,10777280,43.6,44.13,43.36
2018-06-19,42.26,17993210,43.07,43.19,41.88
2018-06-20,41.95,9511921,42.57,42.83,41.79
2018-06-21,41.12,13909310,41.14,41.84,40.8
2018-06-22,41.25,9541655,41.41,41.75,40.94
2018-06-25,40.61,10604390,41,41.2,40.21
2018-06-26,41.01,12541720,40.55,41.32,40.49
2018-06-27,40.37,9286085,41,41.32,40.35
2018-06-28,40.52,10158030,40.45,40.67,39.66
2018-06-29,39.4,14052550,40.67,40.8,39.37
2018-07-02,39.5,8605903,39.08,39.56,38.75
2018-07-03,38.97,4975776,39.71,39.82,38.92
2018-07-05,39.47,8304284,39.61,40,39.21
2018-07-06,39.16,7897062,39.38,39.45,38.7
2018-07-09,39.75,7366912,39.38,40,39.05
2018-07-10,40.09,10117640,39.84,40.31,39.6
2018-07-11,39.3,8815849,39.5,39.68,39.18
2018-07-12,39.27,8250254,39.6,39.64,39.01
2018-07-13,39.36,5144457,39.11,39.41,38.93
2018-07-16,39.56,7465980,39.31,39.59,39.17
2018-07-17,40.03,8760894,39.5,40.5,39.49
2018-07-18,39.87,9051080,40.06,40.29,39.56
2018-07-19,39.31,6777336,39.58,39.81,39.18
2018-07-20,39.4,10947600,39.07,39.41,38.86
2018-07-23,39.27,7683558,39.2,39.38,38.95
2018-07-24,39.48,10682290,39.87,39.98,39.26
2018-07-25,37.65,42451780,37.45,37.9,36.26
2018-07-26,36.75,16712570,37.07,37.55,36.6
2018-07-27,37.53,12629300,36.83,37.64,36.77
2018-07-30,37.67,9458784,37.66,38.1,37.45
2018-07-31,37.91,16476110,37.79,38.19,37.7
2018-08-01,37.14,11121640,37.89,37.89,36.88
2018-08-02,36.62,13065530,37,37.05,36.34
2018-08-03,37.73,9331864,36.65,37.77,36.65
2018-08-06,37.6,5266780,37.57,37.69,37.35
2018-08-07,37.58,7652041,37.7,37.87,37.5
2018-08-08,37.66,6759477,37.61,37.93,37.28
2018-08-09,37.51,12410780,37.67,38.32,37.32
2018-08-10,36.59,9262430,37.32,37.36,36.47
2018-08-13,36.16,15573470,36.59,36.67,35.87
2018-08-14,36.2,7323947,36.25,36.54,36.17
2018-08-15,35.94,10719380,35.82,35.95,35.21
2018-08-16,36.29,9413750,36.18,36.68,36.07
2018-08-17,36.38,7796099,36.08,36.57,35.91
2018-08-20,36.77,6183952,36.63,36.95,36.36
2018-08-21,36.91,10022600,36.75,37.07,36.74
2018-08-22,36.13,8868455,36.6,36.71,36.09
2018-08-23,35.67,8697971,35.95,36.17,35.63
2018-08-24,35.95,7277437,35.95,36.1,35.76
2018-08-27,37.69,17744570,36.29,37.78,36.23
2018-08-28,37.32,9638801,37.85,37.86,36.92
2018-08-29,37.12,7178094,37.39,37.42,36.88
2018-08-30,36.36,9762245,37,37.06,36.19
2018-08-31,36.05,13662460,36.2,36.3,35.78
2018-09-04,35.6,12783230,36,36,35.32
2018-09-05,35.29,12716950,35.6,35.6,35.05
2018-09-06,34.38,12874460,35,35.26,34.38
2018-09-07,33.91,13206250,34.35,34.36,33.61
2018-09-10,33.87,10674670,33.92,34.25,33.83
2018-09-11,33.77,8479996,33.92,33.96,33.43
2018-09-12,34.06,9362817,33.7,34.49,33.7
2018-09-13,34.25,14826960,34.26,34.48,33.9
2018-09-14,34.63,13614010,34.47,34.75,34.33
2018-09-17,35.02,10855890,34.5,35.22,34.41
2018-09-18,35.1,8845708,35.17,35.23,34.59
2018-09-19,35.73,10878580,35.36,35.93,35.3
2018-09-20,36.08,11339880,35.91,36.45,35.74
2018-09-21,35.32,27038180,36.31,36.49,35.16
2018-09-24,34.75,9920501,35.04,35.38,34.45
2018-09-25,33.55,14697730,34.48,34.68,33.5
2018-09-26,33.73,17039340,33.49,34,33.34
2018-09-27,33.67,11657100,33.51,33.75,33.28
2018-09-28,33.67,8832117,33.57,33.69,33.29
2018-10-01,34.2,13737610,34.3,34.54,33.99
2018-10-02,33.3,22724840,33.95,34.34,33.2
2018-10-03,34,28259330,35.02,35.05,33.77
2018-10-04,34.25,18905430,34.11,34.66,33.95
2018-10-05,34.12,10740210,34.41,34.51,33.97
2018-10-08,34.25,8405197,33.82,34.27,33.75
2018-10-09,32.65,19915140,34,34,32.59
2018-10-10,32.6,16638350,32.6,32.96,32.12
2018-10-11,32.31,18005300,32.61,33.5,32.19
2018-10-12,31.79,14943580,32.74,32.74,31.49
2018-10-15,32.12,13621020,31.69,32.45,31.67
2018-10-16,32.34,11876710,32.46,32.54,31.86
2018-10-17,31.93,9098331,32.06,32.29,31.58
2018-10-18,31.08,14349000,31.71,31.81,30.96
2018-10-19,31.2,12744980,30.72,31.47,30.57
2018-10-22,31.34,10978120,31.45,31.59,31.03
2018-10-23,32.12,16007060,30.94,32.4,30.89
2018-10-24,30.56,18770520,31.79,32.06,30.56
2018-10-25,32,16757790,31.19,32.2,31.06
2018-10-26,32.65,18036750,31.68,32.88,31.63
2018-10-29,33.13,18987370,34.11,34.3,32.73
2018-10-30,33.54,16279570,33.18,33.92,33.02
2018-10-31,36.59,37763070,35.97,37.05,35.4
2018-11-01,36.47,14665890,36.24,36.69,35.69
2018-11-02,36.03,12887730,36.8,37.28,35.55
2018-11-05,36.25,11471350,36,36.39,35.84
2018-11-06,36.46,11187720,36.18,36.56,36.09
2018-11-07,36.88,9456425,36.73,37,36.37
2018-11-08,36.57,10716210,36.41,36.89,36.29
2018-11-09,35.7,9036404,36.12,36.44,35.35
2018-11-12,35.69,10061090,35.64,36.04,35.45
2018-11-13,35.93,8585259,35.92,36.65,35.71
2018-11-14,35.23,10882890,36.2,36.32,34.98
2018-11-15,35.55,17669140,34.91,35.59,33.85
2018-11-16,35.75,11680310,35.32,35.79,35.01
2018-11-19,35.68,11591070,35.75,35.96,35.41
2018-11-20,35.09,9607821,35.1,35.62,34.85
2018-11-21,35.55,6555478,35.3,35.85,34.97
2018-11-23,35.93,4231366,35.33,36.11,35.2
2018-11-26,37.65,30351760,36.14,38.75,36.05
2018-11-27,36.69,25550110,37.27,37.55,36.21
2018-11-28,36.95,12424630,36.76,37,35.94
2018-11-29,36.76,7771924,36.79,36.95,36.3
2018-11-30,37.95,18083660,36.74,38,36.66
2018-12-03,38.45,17151590,39,39.61,38.37
2018-12-04,36.52,14231580,38.22,38.3,36.5
2018-12-06,35.7,14474550,35.74,35.75,34.91
2018-12-07,34.69,9236156,35.44,35.93,34.55
2018-12-10,34.42,12319290,34.55,34.78,33.46
2018-12-11,34.69,12223030,35.55,35.75,34.65
2018-12-12,35.68,10322390,35.23,36.04,35.23
2018-12-13,35.11,8287680,35.96,36.18,35.06
2018-12-14,35.1,8415283,35,35.7,34.85
2018-12-17,34.66,10662040,34.94,35.62,34.46
2018-12-18,34.9,8356386,35.02,35.53,34.69
2018-12-19,34.93,11879660,35.01,36.19,34.69
2018-12-20,34.27,14827820,34.93,35.35,33.84
2018-12-21,32.98,21379790,34.23,34.85,32.96
2018-12-24,32.37,9110187,32.65,32.94,32.25
2018-12-26,33.52,12479300,32.58,33.52,31.46
2018-12-27,33.96,12818650,33.07,34,32.39
2018-12-28,33.92,8677459,33.95,34.73,33.68
2018-12-31,33.45,8455499,34,34.22,32.91
2019-01-02,33.64,7655438,32.85,33.8,32.41
2019-01-03,32.25,11661010,33.34,33.68,32.2
2019-01-04,33.33,10694750,32.8,33.57,32.43
2019-01-07,34.36,10718310,33.71,34.96,33.48
2019-01-08,34.81,10293070,35,35.68,34.49
2019-01-09,35.18,9867922,34.96,35.59,34.71
2019-01-10,34.73,9094653,35,35.05,34.16
2019-01-11,37.18,32250660,36.6,37.97,36.25
2019-01-14,37.66,14346850,37.25,38,37.02
2019-01-15,37.55,11988950,37.84,37.84,36.8
2019-01-16,37.67,17334970,37.48,37.98,37.26
2019-01-17,38.26,13058410,37.5,38.3,37.4
2019-01-18,38.61,10489890,38.45,38.77,37.84
2019-01-22,38.15,11458520,38.28,38.78,37.89
2019-01-23,37.67,7680931,38.2,38.36,37.48
2019-01-24,38.16,7806808,37.76,38.29,37.66
2019-01-25,38.64,8842456,38.65,38.83,38.36
2019-01-28,38.46,11323250,38.23,38.6,38.05
2019-01-29,38.47,5745149,38.31,38.54,38.09
2019-01-30,39.09,10913320,38.5,39.14,38.12
2019-01-31,39.02,11126340,38.81,39.05,38.48
2019-02-01,38.78,7972813,38.91,39.14,38.52
2019-02-04,38.93,9942391,38.65,38.94,38.35
2019-02-05,39.3,11584790,39.08,39.36,38.73
2019-02-06,39.91,16876500,40.17,40.74,39.53
2019-02-07,38.65,15686810,39.23,39.41,38.34
2019-02-08,38.7,7199256,38.5,38.71,38
2019-02-11,38.63,8819282,38.31,38.69,38.21
2019-02-12,39.03,9200297,38.8,39.32,38.8
2019-02-13,39,5909416,39.28,39.39,38.82
2019-02-14,38.89,6450004,38.81,39.09,38.71
2019-02-15,39.09,8581968,39.06,39.19,38.74
2019-02-19,39.53,9122174,38.98,39.68,38.91
2019-02-20,39.95,8792165,39.64,40.1,39.52
2019-02-21,39.62,7397315,40,40.2,39.54
2019-02-22,39.99,6206497,39.84,40.01,39.44
2019-02-25,40.14,7870690,40.25,40.46,40.09
2019-02-26,40.11,7599635,39.91,40.36,39.83
2019-02-27,40,8671885,40.09,40.16,39.78
2019-02-28,39.48,9047760,39.82,39.91,39.2
2019-03-01,39.53,7682895,39.85,39.97,39.05
2019-03-04,39.25,7520405,39.7,41.5,39.03
2019-03-05,39.28,4762852,39.28,39.42,39.01
2019-03-06,38.67,9413135,39.24,39.29,38.49
2019-03-07,38.04,8998280,38.1,38.34,37.64
2019-03-08,37.99,6459778,37.63,38.04,37.5
2019-03-11,38.62,12217050,38.08,38.79,38
2019-03-12,38.62,6272501,38.7,39.03,38.5
2019-03-13,38.8,6488442,38.74,39.03,38.6
2019-03-14,38.03,8507330,38.76,38.82,37.94
2019-03-15,38.07,16854720,38.04,38.29,37.88
2019-03-18,37.98,7310863,38.18,38.24,37.61
2019-03-19,38.27,8790057,38.31,38.75,38.04
2019-03-20,37,11677880,37.74,37.94,36.78
2019-03-21,37.35,8054917,37,37.38,36.78
2019-03-22,36.44,9968408,37.09,37.3,36.28
2019-03-25,36.75,6716361,36.48,37.03,36.26
2019-03-26,36.87,6816084,36.93,36.98,36.55
2019-03-27,36.61,6953984,36.92,37.24,36.47
2019-03-28,37.06,5543121,36.7,37.22,36.65
2019-03-29,37.1,9428632,37.31,37.4,36.92
2019-04-01,37.76,7008929,37.4,37.82,37.33
2019-04-02,37.81,5614324,37.83,38.01,37.61
2019-04-03,38.39,8815324,38.25,38.64,38.23
2019-04-04,38.79,7115602,38.4,38.94,38.39
2019-04-05,38.94,4495851,38.85,39.01,38.58
2019-04-08,39.06,5992393,38.77,39.08,38.76
2019-04-09,38.86,6527194,38.85,39.08,38.7
2019-04-10,39.25,5470806,38.89,39.41,38.78
2019-04-11,39.33,4581538,39.38,39.59,39.13
2019-04-12,39.71,4929125,39.6,40.05,39.53
2019-04-15,39.57,5179393,39.9,40.01,39.35
2019-04-16,39.66,5985300,39.56,39.91,39.46
2019-04-17,39.99,8261474,40.1,40.26,39.88
2019-04-18,40.3,10677960,40,40.45,39.98
2019-04-22,39.5,6327178,40,40.1,39.49
2019-04-23,39.83,9286681,39.4,39.84,39.18
2019-04-24,39.72,5563010,39.51,39.88,39.37
2019-04-25,39.11,8151227,39.52,39.72,38.95
2019-04-26,39.68,11688090,40.05,40.1,39.44
2019-04-29,40.01,9372633,39.75,40.27,39.69
2019-04-30,38.95,15795460,38.92,39.47,38.56
2019-05-01,38.75,8843444,39,39.2,38.65
2019-05-02,38.25,11291930,38.46,38.84,38.2
2019-05-03,38.8,7200999,38.54,38.9,38.17
2019-05-06,38.09,7506430,37.5,38.17,37.25
2019-05-07,38.53,11257010,38.86,38.89,38.27
2019-05-08,38.21,7082944,38.42,38.77,38.14
2019-05-09,37.58,8898600,37.59,37.67,37.22
2019-05-10,37.89,6440647,37.5,37.97,37.04
2019-05-13,36.56,19454840,36.85,37.12,36.45
2019-05-14,37.04,6534561,36.81,37.38,36.68
2019-05-15,37.37,8190434,36.63,37.56,36.48
2019-05-16,37.38,5734645,37.3,37.62,37.13
2019-05-17,37,7970012,37.01,37.36,36.85
2019-05-20,36.97,17522250,36.66,37,36.64
2019-05-21,37.13,8387594,37,37.24,36.73
2019-05-22,35.55,13264070,37,37.05,35.41
2019-05-23,35.13,13746160,35.15,35.18,34.35
2019-05-24,35.12,5262511,35.4,35.42,34.87
2019-05-28,34.85,7895449,35.2,35.34,34.71
2019-05-29,34.79,12911440,34.67,34.84,34.32
2019-05-30,34.82,8550029,34.76,35.09,34.48
2019-05-31,33.34,15779920,33.3,33.7,33.15
2019-06-03,33.7,11019400,33.35,33.83,33.08
2019-06-04,35.73,12875740,34.38,35.77,34.3
2019-06-05,35.84,9605604,36.04,36.14,35.33
2019-06-06,35.19,9749235,35.09,35.44,34.46
2019-06-07,35.49,6561073,35.31,35.55,35.15
2019-06-10,36.01,8498258,36.13,36.5,35.89
2019-06-11,36.2,4652019,36.36,36.58,36.1
2019-06-12,35.67,5509488,36.26,36.26,35.56
2019-06-13,36.02,3917349,35.63,36.05,35.41
2019-06-14,35.66,4953403,35.88,35.99,35.54
2019-06-17,36.14,5455040,35.56,36.18,35.36
2019-06-18,36.7,8226935,36.38,36.78,36.14
