"Date","Close.Last","Volume","Open","High","Low"
2018-01-26,36.21,408982,36.1,36.22,35.99
2018-01-29,36.02,331960,36.03,36.15,35.97
2018-01-30,35.83,500053,35.78,35.97,35.76
2018-01-31,35.29,433731,35.44,35.46,35.19
2018-02-01,35.17,676345,35.1,35.23,35
2018-02-02,36.16,1347196,36.91,37.29,36.16
2018-02-05,34.85,1871471,35.83,36.08,34.65
2018-02-06,36.16,1655372,34.98,36.26,34.81
2018-02-07,35.67,1099363,35.79,36.21,35.67
2018-02-08,34.4,1911881,35.54,35.57,34.39
2018-02-09,34.61,2123380,35,35.06,33.85
2018-02-12,35.27,970457,34.97,35.39,34.72
2018-02-13,34.6,552499,34.43,34.66,34.31
2018-02-14,35.07,693094,34.3,35.1,34.13
2018-02-15,35.53,1316495,35.53,35.59,35.1
2018-02-16,35.64,729183,35.57,35.87,35.56
2018-02-20,35.59,586526,35.8,35.84,35.47
2018-02-21,35.43,1153922,35.69,35.89,35.43
2018-02-22,35.57,523509,35.6,35.79,35.49
2018-02-23,36.18,1326136,35.85,36.19,35.8
2018-02-26,36.73,611491,36.47,36.77,36.38
2018-02-27,36.58,1201007,36.95,37.05,36.57
2018-02-28,36.09,587504,36.58,36.58,36.08
2018-03-01,35.12,1110873,35.94,36.01,35
2018-03-02,34.83,736387,34.36,34.87,34.22
2018-03-05,34.78,936990,34.27,34.91,34.12
2018-03-06,34.94,623366,34.99,35.13,34.88
2018-03-07,34.76,659682,34.56,34.83,34.48
2018-03-08,34.93,515953,34.82,34.99,34.79
2018-03-09,34.65,1049987,34.3,34.71,34.13
2018-03-12,35.05,406001,35.01,35.22,34.95
2018-03-13,34.61,725973,34.91,34.97,34.55
2018-03-14,34.6,602458,34.86,34.86,34.49
2018-03-15,34.73,534690,34.84,34.93,34.62
2018-03-16,34.76,488696,34.65,34.83,34.61
2018-03-19,34.12,556853,34.42,34.46,33.94
2018-03-20,34.42,316683,34.28,34.5,34.28
2018-03-21,34.49,490846,34.42,34.73,34.33
2018-03-22,33.94,563918,34.28,34.39,33.94
2018-03-23,32.91,1074944,33.38,33.5,32.86
2018-03-26,33.64,801744,33.37,33.66,33.06
2018-03-27,33.73,1439713,33.99,34.27,33.54
2018-03-28,34.42,1409181,34.35,34.61,34.19
2018-03-29,34.73,535859,34.56,34.91,34.33
