Date,Close/Last,Volume,Open,High,Low
02/01/2023,$12.66,9457,$12.47,$12.66,$12.47
01/31/2023,$12.55,12029,$12.44,$12.58,$12.44
01/30/2023,$12.33,15084,$12.35,$12.45,$12.33
01/27/2023,$12.37,136822,$12.31,$12.4,$12.31
01/26/2023,$12.225,89356,$12.2,$12.25,$12.15
01/25/2023,$12.35,161841,$12.17,$12.35,$12.17
01/24/2023,$11.885,60049,$11.78,$11.95,$11.78
01/23/2023,$11.835,46634,$11.8,$11.861,$11.75
01/20/2023,$11.73,25757,$11.55,$11.73,$11.55
01/19/2023,$11.6,34470,$11.69,$11.69,$11.58
01/18/2023,$11.7,75456,$11.86,$11.95,$11.7
01/17/2023,$11.69,30851,$11.63,$11.73,$11.63
01/13/2023,$11.43,101427,$11.41,$11.5,$11.41
01/12/2023,$11.57,38765,$11.42,$11.6,$11.41
01/11/2023,$11.604,92711,$11.55,$11.67,$11.55
01/10/2023,$11.51,64475,$11.54,$11.54,$11.42
01/09/2023,$11.56,142638,$11.42,$11.56,$11.41
01/06/2023,$11.51,90165,$11.19,$11.51,$11.19
01/05/2023,$11.21,83246,$11.18,$11.29,$11.18
01/04/2023,$11.33,68317,$11.38,$11.43,$11.33
01/03/2023,$11.59,17686,$11.64,$11.65,$11.59
12/30/2022,$11.61,40010,$11.735,$11.919,$11.56
12/29/2022,$11.655,35738,$11.594,$11.7,$11.59
12/28/2022,$11.43,33294,$11.53,$11.57,$11.43
12/27/2022,$11.63,17852,$11.655,$11.72,$11.63
12/23/2022,$12.01,13507,$11.67,$12.12,$11.67
12/22/2022,$12.275,23871,$12.34,$12.38,$12.19
12/21/2022,$12.31,11083,$12.33,$12.33,$12.21
12/20/2022,$12.4,30625,$12.35,$12.43,$12.32
12/19/2022,$12.32,25197,$12.365,$12.4,$12.28
12/16/2022,$12.33,15030,$12.225,$12.33,$12.19
12/15/2022,$12.27,27063,$12.36,$12.43,$12.27
12/14/2022,$12.505,6480,$12.535,$12.57,$12.41
12/13/2022,$12.58,47145,$12.64,$12.658,$12.5
12/12/2022,$12.335,22369,$12.33,$12.37,$12.26
12/09/2022,$12.48,17366,$12.445,$12.5,$12.39
12/08/2022,$12.48,19040,$12.39,$12.5,$12.37
12/07/2022,$12.36,32733,$12.355,$12.41,$12.29
12/06/2022,$12.39,25731,$12.43,$12.46,$12.35
12/05/2022,$12.45,11680,$12.42,$12.53,$12.3
12/02/2022,$12.8,7148,$12.72,$12.8,$12.71
12/01/2022,$12.96,36021,$13.07,$13.07,$12.91
11/30/2022,$12.99,10869,$12.955,$13.03,$12.86
11/29/2022,$12.86,32033,$12.95,$12.95,$12.77
11/28/2022,$13.02,14218,$12.95,$13.022,$12.95
11/25/2022,$13.265,4136,$13.33,$13.33,$13.26
11/23/2022,$13.13,12872,$13,$13.13,$13
11/22/2022,$12.96,18499,$12.97,$12.97,$12.9
11/21/2022,$12.72,11757,$12.78,$12.78,$12.66
11/18/2022,$12.63,18888,$12.55,$12.65,$12.54
11/17/2022,$12.19,40211,$11.83,$12.28,$11.83
11/16/2022,$12.215,15787,$12.16,$12.27,$12.16
11/15/2022,$12.37,24013,$12.43,$12.53,$12.37
11/14/2022,$12.25,28977,$12.18,$12.255,$12.18
11/11/2022,$12.49,26251,$12.39,$12.51,$12.39
11/10/2022,$12.46,25861,$12.345,$12.58,$12.14
11/09/2022,$12.58,21170,$12.38,$12.58,$12.38
11/08/2022,$12.26,19881,$12.22,$12.29,$12.11
11/07/2022,$12.05,31201,$12.065,$12.12,$12.01
11/04/2022,$12.08,21135,$12.03,$12.08,$11.93
11/03/2022,$11.82,24181,$11.73,$11.86,$11.73
11/02/2022,$11.89,29125,$11.95,$12.08,$11.81
11/01/2022,$11.8,24886,$11.76,$11.81,$11.75
10/31/2022,$11.705,39446,$11.72,$11.73,$11.68
10/28/2022,$11.71,61648,$11.62,$11.71,$11.57
10/27/2022,$11.4,59157,$11.5,$11.6,$11.4
10/26/2022,$11.59,27518,$11.6,$11.68,$11.55
10/25/2022,$11.52,65632,$11.7,$11.71,$11.42
10/24/2022,$11.22,47059,$11.176,$11.23,$11.14
10/21/2022,$11.34,56229,$11.05,$11.5,$10.98
10/20/2022,$11.1,41315,$11.05,$11.24,$11.02
10/19/2022,$11.16,30016,$11.41,$11.41,$11.04
10/18/2022,$11.21,67281,$11.25,$11.33,$11.15
10/17/2022,$11.38,43582,$11.1,$11.41,$11.1
10/14/2022,$11.37,56573,$11.53,$11.53,$11.27
10/13/2022,$11.33,74400,$11.07,$11.41,$11.07
10/12/2022,$11.12,47659,$11.23,$11.23,$11.12
10/11/2022,$11.21,76815,$11.35,$11.36,$11.21
10/10/2022,$11.37,43933,$11.28,$11.37,$11.27
10/07/2022,$11.38,51348,$11.69,$11.83,$11.35
10/06/2022,$11.5,72399,$11.675,$11.86,$11.47
10/05/2022,$11.52,82304,$11.685,$11.88,$11.49
10/04/2022,$11.73,139104,$11.65,$11.73,$11.54
10/03/2022,$11.54,65522,$11.44,$11.54,$11.34
09/30/2022,$11,110772,$11.12,$11.21,$11
09/29/2022,$11.41,281765,$11.45,$11.54,$11.37
09/28/2022,$11.74,35225,$11.67,$11.86,$11.64
09/27/2022,$11.6,82002,$11.67,$11.78,$11.57
09/26/2022,$11.78,46118,$11.4301,$11.82,$11.4301
09/23/2022,$11.9,34558,$11.9,$12.01,$11.9
09/22/2022,$12.21,35443,$12.32,$12.54,$12.17
09/21/2022,$12.01,31342,$12.57,$12.57,$12.01
09/20/2022,$12.35,122829,$12.66,$12.66,$12.29
09/19/2022,$12.43,40006,$12.32,$12.65,$12.06
09/16/2022,$12.62,39336,$12.465,$12.67,$12.27
09/15/2022,$12.53,47214,$12.65,$12.65,$12.37
09/14/2022,$12.36,31113,$12.6,$12.6,$12.27
09/13/2022,$12.19,32318,$12.34,$12.34,$12.06
09/12/2022,$12.51,106048,$12.555,$12.5799,$12.51
09/09/2022,$12.48,223264,$12.5,$12.53,$12.48
09/08/2022,$12.205,141704,$12.19,$12.26,$12.14
09/07/2022,$12.17,142304,$12.025,$12.17,$12.025
09/06/2022,$11.89,71312,$12.075,$12.23,$11.86
09/02/2022,$12.151,41892,$12.17,$12.17,$12
09/01/2022,$12.19,106275,$12.22,$12.22,$12.11
08/31/2022,$12.374,40465,$12.47,$12.47,$12.36
08/30/2022,$12.4,78238,$12.49,$12.49,$12.34
08/29/2022,$12.48,61438,$12.54,$12.56,$12.47
08/26/2022,$12.158,30023,$12.54,$12.54,$12.158
08/25/2022,$12.355,50031,$12.27,$12.355,$12.27
08/24/2022,$12.14,37850,$12.09,$12.16,$12.04
08/23/2022,$12.03,43000,$12.04,$12.1,$11.97
08/22/2022,$11.63,59667,$11.72,$11.72,$11.61
08/19/2022,$11.58,20438,$11.88,$11.88,$11.56
08/18/2022,$11.77,15269,$11.73,$11.82,$11.725
08/17/2022,$11.65,16623,$11.64,$11.74,$11.64
08/16/2022,$11.45,43503,$11.54,$11.54,$11.42
08/15/2022,$11.749,27013,$11.79,$11.79,$11.69
08/12/2022,$11.75,15107,$11.76,$11.76,$11.68
08/11/2022,$11.615,16011,$12.12,$12.12,$11.59
08/10/2022,$11.64,58511,$11.59,$11.66,$11.59
08/09/2022,$11.19,147885,$11.22,$11.22,$11.13
08/08/2022,$11.21,34160,$11.3,$11.34,$11.2
08/05/2022,$10.52,31726,$10.64,$10.77,$10.51
08/04/2022,$10.93,8299,$10.87,$10.96,$10.87
08/03/2022,$11.016,23170,$11.03,$11.03,$10.87
08/02/2022,$11.19,127428,$10.97,$11.27,$10.97
08/01/2022,$11.18,65599,$11.17,$11.31,$11.15
07/29/2022,$10.92,36387,$10.87,$10.92,$10.8525
07/28/2022,$11.01,39932,$11,$11.06,$10.81
07/27/2022,$11,50869,$10.6,$11.27,$10.6
07/26/2022,$10.99,122477,$11.06,$11.07,$10.95
07/25/2022,$11.01,68511,$10.99,$11.01,$10.81
07/22/2022,$11,32034,$11.075,$11.075,$10.95
07/21/2022,$11.1,122190,$10.8,$11.3,$10.8
07/20/2022,$10.96,146341,$10.995,$11.02,$10.948
07/19/2022,$10.86,285361,$10.81,$10.8699,$10.48
07/18/2022,$10.62,194191,$10.61,$10.7,$10.55
07/15/2022,$10.55,28302,$10.54,$10.6,$10.52
07/14/2022,$10.62,40964,$10.48,$10.86,$10.48
07/13/2022,$10.67,57614,$10.67,$10.69,$10.42
07/12/2022,$10.64,104271,$10.74,$10.74,$10.32
07/11/2022,$10.591,50541,$10.795,$10.89,$10.58
07/08/2022,$10.72,76410,$10.64,$11.02,$10.64
07/07/2022,$10.6,134738,$10.55,$10.63,$10.55
07/06/2022,$10.65,211123,$10.5,$10.8,$10.5
07/05/2022,$10.68,56242,$10.73,$10.73,$10.57
07/01/2022,$10.77,36639,$10.79,$10.79,$10.43
06/30/2022,$11.05,108053,$10.89,$11.22,$10.89
06/29/2022,$11.57,104599,$11.724,$11.79,$11.47
06/28/2022,$11.54,125551,$11.73,$11.73,$11.5
06/27/2022,$11.46,53566,$11.36,$11.75,$11.36
06/24/2022,$11.59,34804,$11.63,$11.63,$11.35
06/23/2022,$11.445,50085,$11.57,$11.57,$11.31
06/22/2022,$11.47,63274,$11.78,$11.78,$11.47
06/21/2022,$11.47,83743,$11.05,$11.74,$11.05
06/17/2022,$11.47,51843,$11.33,$11.53,$11.33
06/16/2022,$11.56,88004,$11.53,$11.66,$11.53
06/15/2022,$11.67,71469,$11.76,$11.8,$11.53
06/14/2022,$11.68,65179,$11.7,$11.8,$11.62
