"Date","Close.Last","Volume","Open","High","Low"
2018-02-01,17.36,1217,17.44,17.44,17.36
2018-02-02,17.14,3080,17.15,17.15,17.07
2018-02-05,16.27,3085,16.94,16.94,16.27
2018-02-06,16.37,3598,16.21,16.54,15.92
2018-02-07,16.24,3869,16.14,16.24,16.09
2018-02-08,16.15,4433,15.85,16.15,15.85
2018-02-09,15.37,6901,15.54,15.56,15.25
2018-02-12,15.85,2897,15.66,15.85,15.63
2018-02-13,15.58,3885,15.55,15.58,15.51
2018-02-14,15.98,6335,15.57,15.98,15.57
2018-02-15,16.23,2892,16.12,16.29,16.03
2018-02-16,16.4,4026,16.28,16.41,16.28
2018-02-20,16.18,1085,16.44,16.44,16.18
2018-02-21,16.16,1405,16.33,16.33,16.16
2018-02-22,16.07,6658,16.22,16.22,15.98
2018-02-23,16.13,5426,16.16,16.2,16.06
2018-02-26,16.18,1982,16.16,16.23,16.14
2018-02-27,15.89,2457,15.98,16.01,15.89
2018-02-28,15.7,4572,15.78,15.82,15.7
2018-03-01,14.77,3979,15.06,15.06,14.77
2018-03-02,15.17,3077,15.05,15.21,15.03
2018-03-05,15.33,6161,15.27,15.33,15.27
2018-03-06,15.54,2515,15.52,15.57,15.52
2018-03-07,15.44,1142,15.44,15.44,15.19
2018-03-08,15.58,1730,15.52,15.58,15.38
2018-03-09,15.31,5009,15.46,15.46,15.31
2018-03-12,15.51,3813,15.66,15.67,15.42
2018-03-13,15.34,1065,15.26,15.34,15.24
2018-03-14,15.3,2278,15.36,15.46,15.3
2018-03-15,15.47,1200,15.46,15.49,15.45
2018-03-16,15.46,3393,15.69,15.69,15.44
2018-03-19,15.12,1438,15.33,15.34,15.12
2018-03-20,15.4,2223,15.23,15.4,15.23
2018-03-21,15.35,3056,15.33,15.44,15.29
2018-03-22,15,3894,15.13,15.17,15
2018-03-23,14.5,2582,14.8,14.8,14.5
2018-03-26,14.94,4076,14.84,14.95,14.82
2018-03-27,15.11,5524,15.28,15.41,15.11
2018-03-28,15.16,3428,15.1,15.18,14.91
2018-03-29,15.44,3161,15.4,15.44,15.28
2018-04-02,15.4,2140,15.4,15.4,15.02
2018-04-03,15.14,4100,15.1,15.15,15.09
2018-04-04,15.32,1321,15.21,15.32,15.11
2018-04-05,15.33,6094,15.17,15.34,14.98
2018-04-06,14.89,5486,14.9,14.96,14.87
2018-04-09,15.32,1732,15.28,15.43,15.28
2018-04-10,15.47,2189,15.59,15.66,15.47
2018-04-11,15.35,2332,15.26,15.35,15.26
2018-04-12,15.12,1181,15.12,15.15,15.12
