Date,Close/Last,Volume,Open,High,Low
02/01/2023,$4.1,82226,$4.02,$4.1,$4.02
01/31/2023,$3.95,65009,$3.99,$3.99,$3.95
01/30/2023,$3.91,33194,$3.91,$3.9299,$3.88
01/27/2023,$3.91,41726,$3.86,$3.91,$3.86
01/26/2023,$3.825,81814,$3.845,$3.88,$3.78
01/25/2023,$3.83,75916,$3.85,$3.85,$3.78
01/24/2023,$3.72,66691,$3.74,$3.74,$3.67
01/23/2023,$3.71,118257,$3.7,$3.72,$3.66
01/20/2023,$3.705,36454,$3.64,$3.73,$3.64
01/19/2023,$3.66,96656,$3.68,$3.68,$3.63
01/18/2023,$3.77,97822,$3.88,$3.88,$3.77
01/17/2023,$3.77,85341,$3.8,$3.8,$3.75
01/13/2023,$3.64,106730,$3.6,$3.65,$3.59
01/12/2023,$3.76,110313,$3.8,$3.8,$3.72
01/11/2023,$3.79,118405,$3.66,$3.89,$3.66
01/10/2023,$3.77,59980,$3.755,$3.87,$3.75
01/09/2023,$3.79,157469,$3.85,$3.85,$3.66
01/06/2023,$3.76,109480,$3.83,$3.83,$3.7032
01/05/2023,$3.605,231228,$3.65,$3.65,$3.58
01/04/2023,$3.67,326353,$3.79,$3.79,$3.65
01/03/2023,$3.76,132887,$3.85,$3.85,$3.75
12/30/2022,$3.76,1762366,$3.64,$3.78,$3.64
12/29/2022,$3.735,1303253,$3.75,$3.76,$3.67
12/28/2022,$3.694,1224008,$3.75,$3.76,$3.68
12/27/2022,$3.695,237918,$3.65,$3.71,$3.65
12/23/2022,$3.67,1190948,$3.6501,$3.75,$3.624
12/22/2022,$3.6495,1279176,$3.67,$3.69,$3.61
12/21/2022,$3.66,1234989,$3.72,$3.759,$3.64
12/20/2022,$3.72,53354,$3.705,$3.8,$3.7
12/19/2022,$3.8,95277,$3.7,$3.82,$3.7
12/16/2022,$3.9,71372,$3.93,$3.93,$3.86
12/15/2022,$3.88,41721,$4.0001,$4.0001,$3.8375
12/14/2022,$3.9,28750,$3.9,$3.91,$3.86
12/13/2022,$3.9,72345,$3.98,$3.98,$3.89
12/12/2022,$3.86,92177,$3.92,$3.92,$3.83
12/09/2022,$3.85,52589,$3.86,$3.86,$3.825
12/08/2022,$3.87,89430,$3.82,$3.88,$3.82
12/07/2022,$3.815,30402,$3.93,$3.93,$3.8
12/06/2022,$3.76,40462,$3.69,$3.87,$3.69
12/05/2022,$3.69,77380,$3.59,$3.82,$3.59
12/02/2022,$3.8,23665,$3.86,$3.86,$3.62
12/01/2022,$3.885,72345,$4,$4,$3.76
11/30/2022,$3.94,83295,$3.9974,$3.9974,$3.85
11/29/2022,$3.84,26039,$3.71,$3.93,$3.71
11/28/2022,$3.875,26641,$4,$4,$3.87
11/25/2022,$3.9,45809,$3.95,$3.95,$3.88
11/23/2022,$3.95,37311,$3.95,$4.015,$3.945
11/22/2022,$3.95,53301,$3.905,$4,$3.87
11/21/2022,$3.87,64389,$3.97,$3.97,$3.84
11/18/2022,$3.85,35039,$3.7999,$3.88,$3.7999
11/17/2022,$3.77,44641,$3.84,$3.84,$3.61
11/16/2022,$3.87,59020,$3.99,$3.99,$3.85
11/15/2022,$3.87,46898,$3.84,$3.95,$3.77
11/14/2022,$3.825,95769,$3.92,$3.92,$3.78
11/11/2022,$3.87,117250,$3.96,$3.96,$3.81
11/10/2022,$3.81,163548,$3.73,$3.81,$3.7
11/09/2022,$3.49,15526,$3.45,$3.49,$3.44
11/08/2022,$3.55,67482,$3.56,$3.5715,$3.54
11/07/2022,$3.52,28069,$3.53,$3.54,$3.5
11/04/2022,$3.535,128931,$3.41,$3.57,$3.41
11/03/2022,$3.37,40228,$3.48,$3.48,$3.35
11/02/2022,$3.39,79200,$3.47,$3.47,$3.38
11/01/2022,$3.31,425422,$3.46,$3.46,$3.3
10/31/2022,$3.3,86085,$3.32,$3.33,$3.29
10/28/2022,$3.28,41853,$3.28,$3.31,$3.2701
10/27/2022,$3.29,170580,$3.41,$3.41,$3.28
10/26/2022,$3.35,68315,$3.335,$3.36,$3.325
10/25/2022,$3.28,491112,$3.245,$3.29,$3.245
10/24/2022,$3.17,131372,$3.17,$3.17,$3.13
10/21/2022,$3.19,163564,$3.09,$3.19,$3.09
10/20/2022,$3.1531,138066,$3.17,$3.1999,$3.13
10/19/2022,$3.17,103523,$3.28,$3.28,$3.1301
10/18/2022,$3.17,365737,$3.15,$3.225,$3.15
10/17/2022,$3.22,132420,$3.28,$3.28,$3.22
10/14/2022,$3.13,188979,$3.19,$3.205,$3.13
10/13/2022,$3.19,457525,$3.07,$3.2,$3.07
10/12/2022,$3.08,92395,$3.15,$3.15,$3.08
10/11/2022,$3.14,345626,$3.17,$3.21,$3.14
10/10/2022,$3.16,103110,$3.14,$3.21,$3.14
10/07/2022,$3.19,82935,$3.25,$3.255,$3.19
10/06/2022,$3.284,88193,$3.31,$3.315,$3.26
10/05/2022,$3.31,83466,$3.41,$3.41,$3.27
10/04/2022,$3.37,324752,$3.37,$3.4,$3.36
10/03/2022,$3.38,107472,$3.26,$3.4,$3.26
09/30/2022,$3.26,85183,$3.38,$3.38,$3.26
09/29/2022,$3.5,100477,$3.56,$3.6399,$3.5
09/28/2022,$3.73,49849,$3.8099,$3.8099,$3.68
09/27/2022,$3.79,185374,$3.815,$3.82,$3.76
09/26/2022,$3.8275,43709,$3.96,$3.96,$3.81
