"Date","Close.Last","Volume","Open","High","Low"
2018-02-01,6.955,21075,7.02,7.02,6.93
2018-02-02,6.935,24637,6.97,6.97,6.92
2018-02-05,6.705,88838,6.84,6.96,6.67
2018-02-06,7.06,53009,6.97,7.08,6.91
2018-02-07,6.88,84324,6.92,7.03,6.88
2018-02-08,6.64,61974,6.84,6.84,6.64
2018-02-09,6.84,33494,6.8,6.91,6.69
2018-02-12,6.995,91689,6.97,7.09,6.93
2018-02-13,6.96,13465,6.945,6.98,6.93
2018-02-14,7.01,39193,6.88,7.02,6.85
2018-02-15,6.89,37231,6.93,6.93,6.87
2018-02-16,6.97,45209,6.935,6.97,6.89
2018-02-20,6.97,23997,6.96,6.998,6.95
2018-02-21,6.89,28912,6.95,6.962,6.85
2018-02-22,6.83,22659,6.84,6.87,6.82
2018-02-23,6.94,14751,7.01,7.01,6.89
2018-02-26,7.03,13598,7.015,7.06,7.01
2018-02-27,6.96,4468,7.06,7.06,6.96
2018-02-28,6.92,10993,6.94,6.96,6.91
2018-03-01,6.74,61854,6.82,6.86,6.71
2018-03-02,6.72,32636,6.7,6.74,6.61
2018-03-05,6.755,18754,6.64,6.775,6.61
2018-03-06,6.69,69070,6.71,6.72,6.662
2018-03-07,6.59,36364,6.6,6.61,6.55
2018-03-08,6.555,21496,6.59,6.59,6.52
2018-03-09,6.505,26649,6.474,6.51,6.462
2018-03-12,6.5,38201,6.444,6.52,6.444
2018-03-13,6.45,54840,6.5,6.52,6.443
2018-03-14,6.52,17024,6.53,6.54,6.51
2018-03-15,6.605,33551,6.55,6.62,6.55
2018-03-16,6.61,11402,6.615,6.63,6.59
2018-03-19,6.515,25441,6.65,6.65,6.49
2018-03-20,6.63,23659,6.62,6.64,6.61
2018-03-21,6.64,35935,6.625,6.68,6.61
2018-03-22,6.585,25822,6.63,6.66,6.585
2018-03-23,6.51,43269,6.51,6.585,6.49
2018-03-26,6.575,111014,6.48,6.59,6.48
2018-03-27,6.52,63953,6.62,6.64,6.49
2018-03-28,6.58,95016,6.55,6.6,6.52
2018-03-29,6.68,53006,6.636,6.72,6.62
2018-04-02,6.52,46095,6.65,6.65,6.48
2018-04-03,6.63,51935,6.552,6.65,6.552
2018-04-04,6.6,36839,6.45,6.6,6.45
2018-04-05,6.57,26439,6.55,6.57,6.525
2018-04-06,6.55,45402,6.61,6.61,6.52
2018-04-09,6.635,83243,6.66,6.67,6.63
2018-04-10,6.745,31854,6.79,6.79,6.7
2018-04-11,6.77,21279,6.788,6.81,6.76
2018-04-12,6.73,12924,6.71,6.75,6.71
2018-04-13,6.76,20023,6.72,6.76,6.72
2018-04-16,6.78,32303,6.54,6.78,6.54
2018-04-17,6.8,60436,6.79,6.81,6.78
2018-04-18,6.79,18310,6.76,6.81,6.76
2018-04-19,6.81,55001,6.83,6.83,6.805
2018-04-20,6.76,14366,6.79,6.79,6.76
2018-04-23,6.81,27505,6.812,6.812,6.77
2018-04-24,6.785,47281,6.82,6.83,6.77
2018-04-25,6.72,70288,6.88,6.88,6.68
2018-04-26,6.96,47540,6.91,6.97,6.91
2018-04-27,6.645,26519,6.8,6.8,6.64
2018-04-30,6.745,22111,6.86,6.86,6.7
2018-05-01,6.8,44223,6.81,6.81,6.74
2018-05-02,6.62,7257,6.619,6.64,6.612
2018-05-03,6.595,35010,6.61,6.63,6.56
2018-05-04,6.66,23146,6.59,6.66,6.59
2018-05-07,6.65,21419,6.65,6.66,6.62
2018-05-08,6.66,28396,6.65,6.66,6.63
2018-05-09,6.53,100447,6.55,6.57,6.529
2018-05-10,6.55,30533,6.55,6.58,6.544
2018-05-11,6.61,7552,6.65,6.65,6.61
2018-05-14,6.59,9097,6.584,6.59,6.55
2018-05-15,6.51,15559,6.45,6.52,6.45
2018-05-16,6.59,20491,6.57,6.6,6.56
2018-05-17,6.61,27024,6.67,6.67,6.57
2018-05-18,6.59,11075,6.55,6.59,6.55
2018-05-21,6.63,28101,6.64,6.65,6.61
2018-05-22,6.625,30490,6.58,6.67,6.58
2018-05-23,6.625,24382,6.61,6.63,6.605
2018-05-24,6.32,44113,6.44,6.44,6.3
2018-05-25,6.33,12644,6.41,6.41,6.32
2018-05-29,6.295,45911,6.317,6.317,6.28
2018-05-30,6.28,119385,6.25,6.31,6.25
2018-05-31,6.21,38883,6.25,6.25,6.2
2018-06-01,6.31,47894,6.29,6.33,6.29
2018-06-04,6.365,60332,6.29,6.38,6.29
2018-06-05,6.365,68101,6.444,6.444,6.35
2018-06-06,6.365,46379,6.35,6.38,6.34
2018-06-07,6.46,129600,6.41,6.46,6.4
2018-06-08,6.415,117967,6.41,6.45,6.41
2018-06-11,6.4,102743,6.39,6.41,6.38
2018-06-12,6.345,109070,6.39,6.4,6.34
2018-06-13,6.395,70445,6.398,6.44,6.37
2018-06-14,6.39,50986,6.35,6.42,6.35
2018-06-15,6.37,30339,6.34,6.38,6.33
2018-06-18,6.24,46029,6.204,6.27,6.15
2018-06-19,6.255,112517,6.25,6.28,6.23
2018-06-20,6.21,67211,6.19,6.22,6.18
2018-06-21,6.135,37883,6.15,6.17,6.13
2018-06-22,6.165,45423,6.178,6.19,6.15
2018-06-25,6.095,85597,6.05,6.12,6.05
2018-06-26,6.135,125683,6.12,6.15,6.11
2018-06-27,6.05,59599,6.08,6.13,6.05
2018-06-28,6.085,38610,5.98,6.1,5.98
2018-06-29,6.075,23220,6.08,6.09,6.06
2018-07-02,6.03,122872,6.05,6.05,6
2018-07-03,5.98,18505,6.03,6.03,5.96
2018-07-05,6,38360,6,6.01,5.95
2018-07-06,5.96,82976,5.95,5.98,5.93
2018-07-09,5.985,99854,5.97,5.99,5.95
2018-07-10,5.96,189040,5.938,5.97,5.93
2018-07-11,5.87,88292,5.9,5.92,5.86
2018-07-12,5.855,77510,5.87,5.87,5.85
2018-07-13,5.835,103466,5.85,5.87,5.82
2018-07-16,5.855,95118,5.86,5.86,5.84
2018-07-17,5.955,146211,5.92,5.96,5.92
2018-07-18,6.005,150703,5.941,6.04,5.941
2018-07-19,5.985,67611,5.995,6,5.96
2018-07-20,6.065,57837,6.05,6.07,6.04
