Date,Close/Last,Volume,Open,High,Low
01/25/2023,$74.15,20400,$73.55,$74.24,$73.0301
01/24/2023,$73.89,48402,$72.95,$73.9,$72.718
01/23/2023,$73.45,25687,$72.25,$73.45,$72.25
01/20/2023,$71.625,10549,$70.73,$71.71,$70.73
01/19/2023,$71.402,28381,$71.58,$71.58,$70.66
01/18/2023,$72.82,18327,$73.14,$73.54,$72.38
01/17/2023,$72.58,21594,$72.95,$73.47,$72.45
01/13/2023,$72.95,40318,$72.58,$73,$72.23
01/12/2023,$74.96,18564,$74.43,$75.125,$73.7
01/11/2023,$73.56,24001,$73.74,$73.74,$73.11
01/10/2023,$73.07,18025,$72.655,$73.09,$72.31
01/09/2023,$72,42547,$72.22,$72.554,$72
01/06/2023,$71.16,24033,$69,$71.211,$68.88
01/05/2023,$69.995,13226,$69.945,$70.35,$69.815
01/04/2023,$69.75,23936,$69.39,$70.16,$69.39
01/03/2023,$67.77,18623,$67.97,$68.588,$67.5
12/30/2022,$65.4,13547,$65.95,$65.95,$65.14
12/29/2022,$66.195,23788,$65.78,$66.35,$65.3201
12/28/2022,$64.805,16657,$65.84,$65.84,$64.76
12/27/2022,$65.9,15973,$65.65,$66.02,$65.32
12/23/2022,$65.04,18172,$65,$65.52,$64.73
12/22/2022,$64.9999,27057,$65.62,$65.62,$64.17
12/21/2022,$66.52,18757,$66.36,$66.74,$66.2
12/20/2022,$66.05,18871,$65.7,$66.3299,$65.58
12/19/2022,$66.065,18051,$65.99,$66.81,$65.95
12/16/2022,$65.82,17705,$66.28,$66.34,$65.5
12/15/2022,$66.22,36494,$67.7,$67.84,$65.91
12/14/2022,$68.7,21018,$68.61,$69.19,$68.23
12/13/2022,$68.73,26684,$69.78,$69.79,$68.19
12/12/2022,$67.87,27903,$67.83,$67.93,$67.34
12/09/2022,$67.995,23395,$67.73,$68.49,$67.73
12/08/2022,$66.68,13489,$66.36,$66.81,$66.07
12/07/2022,$66.48,17529,$67.005,$67.14,$66.25
12/06/2022,$66.465,27976,$68.5112,$68.5112,$66.21
12/05/2022,$67.435,33240,$67.89,$67.89,$67.03
12/02/2022,$67.67,34008,$67.59,$67.84,$66.7101
12/01/2022,$67.645,40214,$67.76,$67.87,$67.0485
11/30/2022,$67.815,38781,$66.83,$68,$66.205
11/29/2022,$64.85,21864,$64.27,$65.02,$64.27
11/28/2022,$63.4,47481,$64.21,$64.42,$63.375
11/25/2022,$64.99,16255,$64.75,$65,$64.678
11/23/2022,$64.75,27983,$63.79,$64.79,$63.79
11/22/2022,$64.324,39812,$63.93,$64.324,$63.71
11/21/2022,$63.652,43389,$63.75,$63.915,$63.36
11/18/2022,$64.36,45901,$64.29,$64.53,$21.17
11/17/2022,$62.82,68287,$61.91,$62.85,$61.79
11/16/2022,$64,178205,$64.1,$64.29,$63.506
11/15/2022,$66.88,73302,$67.781,$67.94,$65.46
11/14/2022,$66.75,57371,$66.84,$67.69,$66.75
11/11/2022,$67.69,29489,$66.03,$67.8,$66.03
11/10/2022,$64.547,42235,$62.86,$64.547,$62.4
11/09/2022,$59.55,27868,$60.11,$60.56,$59.55
11/08/2022,$61.21,23658,$60.6101,$61.3125,$60.38
11/07/2022,$60.06,29939,$59.64,$60.24,$59.5
11/04/2022,$59.66,31648,$57.8,$59.66,$57.8
11/03/2022,$55.6,35652,$55.7,$56.12,$55.47
11/02/2022,$56.9,24891,$58,$58.22,$56.76
11/01/2022,$58.4975,37610,$59.07,$59.31,$57.93
10/31/2022,$57.87,12466,$57.75,$58.12,$57.5
10/28/2022,$58.5,46930,$57.71,$58.51,$57.53
10/27/2022,$58.59,28785,$59,$59.395,$58.51
10/26/2022,$59.08,79593,$58.29,$59.5,$58.069
10/25/2022,$58.97,55325,$57.29,$58.97,$57.16
10/24/2022,$57.95,114459,$57.35,$58.02,$57.0601
10/21/2022,$56.88,30728,$54.94,$56.9,$54.8701
10/20/2022,$55.52,76185,$56.175,$56.82,$55.29
10/19/2022,$56.11,29994,$56.2,$56.4,$55.8
10/18/2022,$56.3,20950,$56.88,$57.005,$55.965
10/17/2022,$54.4,33492,$53.77,$54.546,$53.77
10/14/2022,$52.25,137893,$53.2,$53.45,$52.205
10/13/2022,$53.09,50481,$50.57,$53.195,$50.2
10/12/2022,$51.12,14066,$50.77,$51.48,$50.76
10/11/2022,$50.98,17881,$50.77,$51.85,$50.6
10/10/2022,$50.875,121444,$50.84,$51.59,$50.25
10/07/2022,$50.99,31166,$51.7,$51.955,$50.88
10/06/2022,$52.675,44793,$52.49,$53,$52.44
10/05/2022,$52.8,104125,$52.01,$53.25,$51.55
10/04/2022,$54.9,49549,$52.81,$54.9899,$52.81
10/03/2022,$52.194,46569,$51.24,$52.33,$50.85
09/30/2022,$50.71,38249,$50,$51.49,$49.94
09/29/2022,$51.41,73688,$51.36,$51.655,$50.4
09/28/2022,$53.7568,46425,$51.73,$53.7568,$51.73
09/27/2022,$52.17,96837,$53.44,$53.44,$51.66
09/26/2022,$52.78,16940,$53.03,$53.79,$52.5
09/23/2022,$52.46,35619,$53.23,$53.23,$52.01
09/22/2022,$55.615,21326,$55.85,$55.85,$55.0501
09/21/2022,$55.69,18219,$55.94,$57.11,$55.69
09/20/2022,$56.69,15484,$57.3475,$57.3475,$56.13
09/19/2022,$57.88,12613,$54.95,$58,$54.95
09/16/2022,$57.17,19213,$56.21,$57.3399,$55.47
09/15/2022,$57.18,10261,$56.7601,$57.76,$56.7601
09/14/2022,$57.43,21403,$57.145,$57.99,$56.96
09/13/2022,$57.54,35478,$57.75,$59.325,$57.46
09/12/2022,$59.96,44941,$58.86,$60.13,$58.8401
09/09/2022,$56.825,16396,$56.11,$56.854,$56.11
09/08/2022,$54.92,27157,$54.47,$54.97,$53.915
09/07/2022,$56.26,28517,$54.5163,$56.4185,$54.5163
09/06/2022,$54.39,19735,$54.4,$54.8,$53.94
09/02/2022,$55.43,35700,$56.85,$57.79,$55.2
09/01/2022,$55.19,75307,$55.68,$55.68,$54.475
08/31/2022,$56.36,23819,$56.75,$57.16,$56.15
08/30/2022,$56.75,26123,$57.37,$57.554,$56.6
08/29/2022,$56.24,94737,$55.68,$56.4044,$55.12
08/26/2022,$54.43,94624,$57.36,$57.36,$54.41
08/25/2022,$56.505,34248,$55.88,$56.545,$55.5
08/24/2022,$55.74,54461,$55.37,$55.8,$55.0801
08/23/2022,$56.3244,35973,$55.96,$56.95,$55.96
08/22/2022,$55.43,46868,$56.35,$56.35,$55.19
08/19/2022,$58.2,35375,$59.55,$59.55,$58.2
08/18/2022,$60.9,8926,$60.58,$61.25,$60.58
08/17/2022,$61.81,12077,$61.37,$61.81,$61
08/16/2022,$62.36,19597,$61.74,$62.6,$61.6632
08/15/2022,$61.875,18539,$61.54,$62,$61.34
08/12/2022,$62.915,15138,$62.24,$63.38,$62.05
08/11/2022,$62.22,25093,$63.44,$63.44,$62.2
08/10/2022,$62.5,19233,$61.41,$62.956,$61.41
08/09/2022,$60.94,17735,$60.5601,$61.5,$60.5601
08/08/2022,$61.39,31101,$60.815,$61.845,$60.815
08/05/2022,$60.26,35526,$60.4999,$60.4999,$59.74
08/04/2022,$60.58,25082,$60.94,$60.945,$59.66
08/03/2022,$59.835,19600,$58.7,$59.835,$58.5
08/02/2022,$58.6955,23577,$58.75,$59.42,$58.27
08/01/2022,$58.99,34091,$59.02,$59.53,$58.79
07/29/2022,$58.48,28080,$58.7,$58.86,$57.5
07/28/2022,$58.11,32709,$57.59,$58.7299,$57.56
07/27/2022,$58.03,45934,$55.55,$58.08,$55.55
07/26/2022,$54.96,40839,$56.46,$56.46,$54.6
07/25/2022,$56.805,27352,$57,$57.14,$56.2775
