"Date","Close.Last","Volume","Open","High","Low"
2018-01-26,93.18,31052,92.61,93.18,92.57
2018-01-29,92.67,23601,92.63,92.91,92.21
2018-01-30,91.81,25152,92.07,92.19,91.6
2018-01-31,91.66,33696,91.99,92.15,91.22
2018-02-01,89.77,64278,89.18,90.5,89.18
2018-02-02,88.62,62549,89.1,89.22,88.29
2018-02-05,83.71,90968,88,88.33,83.6
2018-02-06,87.7,72979,85.39,88.1,85.16
2018-02-07,86.52,38918,86.89,87.48,86
2018-02-08,85.3,28580,86.98,86.98,85.3
2018-02-09,86.55,50838,86.13,86.88,84.35
2018-02-12,87.63,29891,87.08,87.87,86.79
2018-02-13,87.61,9592,87.34,87.75,87.15
2018-02-14,89.73,31618,87.14,89.78,87.09
2018-02-15,89.92,44374,89.95,90.2,89.43
2018-02-16,90.29,24653,89.91,90.6,89.88
2018-02-20,86.88,49136,86.59,87.38,86.41
2018-02-21,85.83,37173,86.25,86.98,85.83
2018-02-22,86.25,13897,85.92,86.45,85.53
2018-02-23,88.06,44678,86.58,89.98,86.4
2018-02-26,86.8,42460,86.42,86.93,86.08
2018-02-27,86.16,22710,86.46,87.04,85.67
2018-02-28,85.8,22286,86.37,86.57,85.67
2018-03-01,83.97,53494,84.55,84.57,83.19
2018-03-02,83.91,32755,83.13,83.91,82.68
2018-03-05,83.71,37390,81.99,83.74,81.9
2018-03-06,83.81,73507,84.49,84.56,83.76
2018-03-07,84.28,57215,83.33,84.61,83.26
2018-03-08,83.3,24811,83.66,83.86,83.26
2018-03-09,83.59,24470,83.6,83.97,83.41
2018-03-12,84.19,21476,83.94,84.41,83.84
2018-03-13,83.26,55347,84.99,84.99,83.21
2018-03-14,83.41,18993,84.13,84.13,83.01
2018-03-15,83.92,30727,83.69,84.28,83.22
2018-03-16,85.1,45714,84.7,85.23,84.69
2018-03-19,84.8,28031,85.04,85.08,84.19
2018-03-20,84.36,30935,83.72,84.4,83.72
2018-03-21,84.26,27757,84.04,84.6,83.93
2018-03-22,81.9,84916,82.82,82.87,81.75
2018-03-23,81,29918,81.56,81.67,80.5
