Date,Close/Last,Volume,Open,High,Low
02/01/2023,$7.33,100391,$7.29,$7.33,$7.19
01/31/2023,$7.212,34958,$7.1,$7.22,$7.0835
01/30/2023,$7.005,81136,$7.02,$7.07,$7
01/27/2023,$7.08,56504,$7.11,$7.11,$7.02
01/26/2023,$6.99,134471,$7,$7.05,$6.89
01/25/2023,$6.88,65104,$6.83,$6.91,$6.83
01/24/2023,$6.87,145674,$6.73,$6.8787,$6.73
01/23/2023,$6.81,86806,$6.7599,$6.81,$6.6501
01/20/2023,$6.76,70831,$6.63,$6.78,$6.63
01/19/2023,$6.565,157957,$6.6,$6.6,$6.52
01/18/2023,$6.68,168915,$6.702,$6.8,$6.67
01/17/2023,$6.66,127757,$6.69,$6.69,$6.5301
01/13/2023,$6.52,52599,$6.4792,$6.55,$6.4792
01/12/2023,$6.605,129699,$6.4801,$6.63,$6.4801
01/11/2023,$6.54,56162,$6.255,$6.75,$6.25
01/10/2023,$6.57,199071,$6.5885,$6.5885,$6.52
01/09/2023,$6.56,111908,$6.55,$6.6,$6.53
01/06/2023,$6.49,92851,$6.41,$6.5,$6.32
01/05/2023,$6.31,226338,$6.33,$6.33,$6.27
01/04/2023,$6.32,388213,$6.49,$6.49,$6.26
01/03/2023,$6.33,122089,$6.2,$6.6,$6.2
12/30/2022,$6.28,110669,$6.2001,$6.34,$6.2001
12/29/2022,$6.28,139441,$6.05,$6.3,$6.05
12/28/2022,$6.185,127110,$6.16,$6.26,$6.16
12/27/2022,$6.22,165465,$6.344,$6.47,$6.2
12/23/2022,$6.25,110848,$6.15,$6.25,$6.15
12/22/2022,$6.315,153477,$6.52,$6.52,$6.2101
12/21/2022,$6.27,109470,$6.37,$6.37,$6.1819
12/20/2022,$6.475,161571,$6.52,$6.55,$6.46
12/19/2022,$6.57,127179,$6.36,$6.63,$6.36
12/16/2022,$6.7,72508,$6.69,$6.7435,$6.67
12/15/2022,$6.69,88889,$6.845,$6.845,$6.65
12/14/2022,$6.77,105630,$6.75,$6.89,$6.75
12/13/2022,$6.82,117929,$6.8,$6.944,$6.8
12/12/2022,$6.8,107875,$6.83,$6.83,$6.7
12/09/2022,$6.74,82410,$6.6,$6.8,$6.6
12/08/2022,$6.815,96152,$6.8,$6.83,$6.78
12/07/2022,$6.8,94464,$6.52,$6.9999,$6.52
12/06/2022,$6.76,115003,$6.75,$6.87,$6.73
12/05/2022,$6.75,107085,$6.73,$6.9478,$6.73
12/02/2022,$7.055,36229,$7.147,$7.147,$6.85
12/01/2022,$7.2,63115,$7.22,$7.22,$7.12
11/30/2022,$7.22,118386,$7.1,$7.22,$7.0325
11/29/2022,$7.1,145425,$6.85,$7.305,$6.85
11/28/2022,$7.22,72108,$7.15,$7.32,$7.15
11/25/2022,$7.28,23141,$7.27,$7.29,$7.21
11/23/2022,$7.27,111256,$7.17,$7.33,$7.17
11/22/2022,$7.25,196263,$7.149,$7.25,$7.149
11/21/2022,$7.07,81070,$6.76,$7.2,$6.76
11/18/2022,$7.125,185964,$7.03,$7.19,$7.03
11/17/2022,$6.97,51327,$6.92,$7.06,$6.92
11/16/2022,$7.08,51131,$6.87,$7.13,$6.87
11/15/2022,$7.1895,85528,$6.99,$7.32,$6.99
11/14/2022,$7.05,65354,$7.25,$7.25,$7
11/11/2022,$7.14,134102,$6.88,$7.15,$6.88
11/10/2022,$7,159332,$7.06,$7.06,$6.89
11/09/2022,$6.855,351043,$6.729,$7.46,$6.62
11/08/2022,$6.78,509806,$6.745,$6.79,$6.71
11/07/2022,$6.64,154096,$6.65,$6.67,$6.545
11/04/2022,$6.62,87027,$6.34,$6.65,$6.34
