"Date","Close.Last","Volume","Open","High","Low"
2018-02-01,21.5,60608,20.87,21.78,20.87
2018-02-02,21.16,66882,21.5,21.61,21.16
2018-02-05,20.71,54027,21.35,21.35,20.71
2018-02-06,21.38,82856,20.99,21.38,20.71
2018-02-07,21.37,64477,21.37,21.54,21.34
2018-02-08,20.45,82636,20.65,20.65,20.45
2018-02-09,20.63,129767,20.52,20.81,20.26
2018-02-12,20.94,49594,20.51,21.25,20.41
2018-02-13,20.77,45309,20.93,20.93,20.57
2018-02-14,21.06,60289,20.6,21.06,20.6
2018-02-15,21.04,42325,21.38,21.38,20.92
2018-02-16,21.19,26191,21.1,21.24,21.09
2018-02-20,20.85,31581,20.69,21.12,20.69
2018-02-21,20.82,52216,20.86,21.01,20.79
2018-02-22,20.66,63886,20.74,20.77,20.6
2018-02-23,21.06,57876,20.97,21.11,20.93
2018-02-26,21.31,28278,21.11,21.33,21.11
2018-02-27,20.98,56334,21.18,21.18,20.97
2018-02-28,20.96,48025,21.07,21.1,20.91
2018-03-01,20.61,83448,20.88,20.94,20.59
2018-03-02,20.87,70359,20.68,20.89,20.6
2018-03-05,21.2,54389,21.23,21.23,20.91
2018-03-06,21.11,69783,21.15,21.22,21.05
2018-03-07,21.36,115565,21.15,21.44,20.89
2018-03-08,21.15,73702,21.01,21.15,21.01
2018-03-09,21.11,59665,20.75,21.11,20.75
2018-03-12,21.2,42410,21.16,21.27,21.16
2018-03-13,21.05,62339,21.14,21.5,21.05
2018-03-14,21.31,195326,21.18,21.31,21.17
2018-03-15,21.17,32450,20.79,21.32,20.79
2018-03-16,21.25,17335,21.25,21.25,21.13
2018-03-19,20.86,55651,21.01,21.05,20.8
2018-03-20,21.16,26590,21.09,21.19,21.07
2018-03-21,21.2,30277,21.2,21.26,21.12
2018-03-22,20.82,56844,20.96,21.03,20.8
2018-03-23,20.89,41068,20.82,21.16,20.82
2018-03-26,21.09,62406,20.99,21.14,20.76
2018-03-27,21.17,37133,21.05,21.34,21.05
2018-03-28,20.81,46480,21.17,21.17,20.57
2018-03-29,20.67,208527,20.71,20.74,20.5
2018-04-02,20.54,73148,20.65,20.74,20.49
2018-04-03,20.64,76252,20.38,20.8,20.38
2018-04-04,20.85,245175,20.4,21.05,20.4
2018-04-05,20.8,92033,20.55,20.84,20.55
2018-04-06,20.75,118081,20.9,20.9,20.64
2018-04-09,20.86,84416,20.82,20.99,20.82
2018-04-10,20.99,95646,21.05,21.06,20.92
2018-04-11,20.9,81383,21.04,21.05,20.9
2018-04-12,20.98,49740,20.87,20.99,20.87
2018-04-13,20.83,57236,20.9,20.9,20.8
2018-04-16,20.96,41945,21.03,21.04,20.91
2018-04-17,21.23,357674,21.03,21.23,21
2018-04-18,21.19,36640,21.06,21.19,21.06
2018-04-19,21.19,154098,21.07,21.2,21.07
2018-04-20,21.12,41360,21.1,21.13,21.08
2018-04-23,21.07,50111,21.02,21.1,20.96
2018-04-24,21.05,92505,21.09,21.14,21.03
2018-04-25,21.2,42080,21.24,21.24,21.07
2018-04-26,21.24,59122,21.21,21.26,21.19
2018-04-27,21.15,34970,20.97,21.23,20.97
2018-04-30,21.05,65341,21.11,21.22,21.05
2018-05-01,20.83,63002,21.07,21.09,20.7
2018-05-02,20.17,142217,20.61,20.61,20.1
2018-05-03,20.47,81164,20.14,20.52,20.14
2018-05-04,20.71,64131,20.43,20.79,20.38
2018-05-07,20.61,25147,20.54,20.65,20.54
2018-05-08,20.39,72585,20.32,20.46,20.32
2018-05-09,20.05,74110,20.32,20.32,19.95
2018-05-10,20.25,56260,20.25,20.34,20.24
2018-05-11,20.31,30549,20.28,20.36,20.26
2018-05-14,20.27,51509,20.25,20.5,20.2
2018-05-15,20.43,26949,20.44,20.44,20.37
2018-05-16,20.66,61456,20.55,20.66,20.54
2018-05-17,20.68,56398,20.92,20.92,20.55
2018-05-18,20.68,49160,20.86,20.86,20.63
2018-05-21,20.68,45422,20.55,20.69,20.55
2018-05-22,20.68,46466,20.66,20.95,20.64
2018-05-23,20.53,71470,20.58,20.87,20.52
2018-05-24,20.41,34429,20.43,20.52,20.31
2018-05-25,20.38,37946,20.51,20.51,20.34
2018-05-29,20.17,83948,20.28,20.31,20.15
2018-05-30,20.06,78906,20.06,20.1,20
2018-05-31,19.83,67143,19.85,19.93,19.8
2018-06-01,19.8,27404,19.75,19.82,19.73
2018-06-04,20.07,53333,20.06,20.13,20.04
2018-06-05,19.84,37205,19.89,19.89,19.8
2018-06-06,19.92,45209,19.79,19.94,19.79
2018-06-07,20.07,33799,20.06,20.13,20
2018-06-08,20,56210,20.01,20.04,19.93
2018-06-11,20.13,67870,19.98,20.14,19.98
2018-06-12,20.02,72528,20.21,20.21,19.99
2018-06-13,20.05,49426,19.93,20.11,19.93
2018-06-14,19.92,45028,19.9,19.95,19.9
2018-06-15,19.76,81772,19.7,19.99,19.7
2018-06-18,19.65,47558,19.7,19.77,19.58
2018-06-19,19.65,71586,19.54,19.66,19.54
2018-06-20,19.55,87256,19.61,19.64,19.54
2018-06-21,19.47,52478,19.47,19.78,19.45
2018-06-22,19.57,91962,19.73,19.73,19.57
2018-06-25,19.36,69531,19.56,19.56,19.31
2018-06-26,19.47,79136,19.3,19.54,19.3
2018-06-27,19.41,80180,19.48,19.51,19.37
2018-06-28,19.41,79124,19.37,19.47,19.37
2018-06-29,19.43,36173,19.44,19.47,19.39
2018-07-02,18.96,96395,19,19.06,18.94
2018-07-03,18.83,37171,18.83,18.87,18.78
2018-07-05,18.89,52689,18.89,18.99,18.84
2018-07-06,19.01,45413,18.97,19.08,18.96
2018-07-09,18.19,178145,18.29,18.32,18.19
2018-07-10,18.67,214968,18.68,18.79,18.65
2018-07-11,18.21,96212,18.3,18.37,18.2
2018-07-12,18.16,126596,18.24,18.24,18.11
2018-07-13,18.19,103276,18.23,18.25,18.18
2018-07-16,18.2,144090,18.13,18.26,18.13
2018-07-17,18.39,180662,18.35,18.4,18.31
2018-07-18,18.38,106204,18.4,18.4,18.33
2018-07-19,18.39,147074,18.33,18.45,18.31
2018-07-20,18.4,65751,18.37,18.42,18.32
2018-07-23,18.44,40112,18.42,18.45,18.41
2018-07-24,18.64,124900,18.55,18.65,18.54
2018-07-25,18.64,103903,18.54,18.65,18.52
2018-07-26,18.58,85238,18.46,18.65,18.45
2018-07-27,18.66,114908,18.69,18.69,18.56
2018-07-30,18.87,61538,18.97,18.99,18.86
2018-07-31,18.91,36070,18.86,18.95,18.85
2018-08-01,18.77,136722,18.98,19.02,18.71
2018-08-02,18.76,47219,18.72,18.78,18.65
2018-08-03,18.74,40680,18.6,18.78,18.6
2018-08-06,18.83,46820,18.85,18.85,18.74
2018-08-07,18.95,67597,18.89,18.98,18.89
2018-08-08,18.92,59754,18.95,18.95,18.88
2018-08-09,18.72,41933,18.94,18.94,18.72
2018-08-10,18.67,67520,18.7,18.74,18.66
2018-08-13,18.71,90614,18.6,18.77,18.6
2018-08-14,18.65,69586,18.65,18.7,18.61
2018-08-15,18.57,84616,18.6,18.61,18.5
2018-08-16,18.77,58165,18.79,18.79,18.71
2018-08-17,18.74,101587,18.64,18.76,18.64
2018-08-20,18.88,69834,18.77,18.88,18.77
2018-08-21,19.01,83582,18.91,19.03,18.91
2018-08-22,19.14,55272,19.19,19.22,19.08
2018-08-23,18.81,52806,18.67,18.82,18.67
2018-08-24,18.64,148637,18.69,18.76,18.57
2018-08-27,18.8,38290,18.76,18.81,18.72
2018-08-28,19.01,64307,18.99,19.06,18.99
2018-08-29,18.96,35393,18.91,18.99,18.91
2018-08-30,18.89,64758,18.92,18.92,18.81
2018-08-31,18.77,48629,18.79,18.84,18.74
2018-09-04,18.64,95233,18.74,18.74,18.63
2018-09-05,18.48,91605,18.49,18.5,18.43
2018-09-06,18.51,56137,18.5,18.57,18.46
2018-09-07,18.48,85654,18.57,18.57,18.41
2018-09-10,18.53,50084,18.55,18.58,18.49
2018-09-11,18.61,75432,18.53,18.65,18.53
2018-09-12,18.51,236979,18.44,18.55,18.44
2018-09-13,18.73,56570,18.84,18.84,18.68
2018-09-14,18.97,106539,18.94,18.99,18.92
2018-09-17,19.03,54589,18.98,19.11,18.98
2018-09-18,19.35,40457,19.23,19.39,19.2
2018-09-19,19.4,68323,19.31,19.44,19.3
2018-09-20,19.53,81380,19.48,19.56,19.41
2018-09-21,19.65,26080,19.54,19.68,19.54
2018-09-24,19.61,24449,19.66,19.69,19.56
2018-09-25,19.36,87517,19.26,19.52,19.26
