Date,Close/Last,Volume,Open,High,Low
02/01/2023,$6.08,478017,$5.94,$6.11,$5.94
01/31/2023,$5.92,314419,$5.84,$5.93,$5.83
01/30/2023,$5.875,706541,$5.86,$5.92,$5.85
01/27/2023,$5.92,393033,$5.87,$5.94,$5.86
01/26/2023,$5.88,401377,$5.89,$5.89,$5.83
01/25/2023,$5.87,290759,$5.78,$5.87,$5.77
01/24/2023,$5.905,438036,$5.86,$5.93,$5.82
01/23/2023,$5.92,245808,$5.88,$5.93,$5.87
01/20/2023,$5.93,230756,$5.82,$5.93,$5.8
01/19/2023,$5.86,259128,$5.82,$5.87,$5.8
01/18/2023,$5.9,405321,$5.97,$5.97,$5.9
01/17/2023,$5.9525,454439,$5.95,$5.995,$5.915
01/13/2023,$5.95,309738,$5.85,$5.95,$5.83
01/12/2023,$6.08,509321,$6.07,$6.11,$6.02
01/11/2023,$6.03,298251,$6.09,$6.09,$6.01
01/10/2023,$6.084,583697,$6,$6.09,$5.98
01/09/2023,$5.91,407421,$5.92,$6.3,$5.9
01/06/2023,$5.82,212594,$5.7,$5.83,$5.665
01/05/2023,$5.7,180995,$5.725,$5.73,$5.66
01/04/2023,$5.67,610294,$5.7,$5.72,$5.635
01/03/2023,$5.54,200908,$5.58,$5.6,$5.51
12/30/2022,$5.3925,573212,$5.39,$5.42,$5.36
12/29/2022,$5.41,449613,$5.36,$5.43,$5.36
12/28/2022,$5.24,1050873,$5.3,$5.33,$5.23
12/27/2022,$5.325,830033,$5.33,$5.35,$5.31
12/23/2022,$5.32,529836,$5.31,$5.35,$5.28
12/22/2022,$5.27,1016510,$5.3,$5.3,$5.22
12/21/2022,$5.43,722138,$5.41,$5.46,$5.4
12/20/2022,$5.37,438339,$5.37,$5.41,$5.35
12/19/2022,$5.43,524916,$5.45,$5.47,$5.4
12/16/2022,$5.46,495899,$5.56,$5.56,$5.43
12/15/2022,$5.57,465776,$5.74,$5.74,$5.54
12/14/2022,$5.81,285887,$5.83,$5.87,$5.77
12/13/2022,$5.84,448505,$6,$6.0198,$5.8
12/12/2022,$5.85,1415457,$5.88,$5.89,$5.8
12/09/2022,$5.9,223919,$5.89,$5.94,$5.89
12/08/2022,$5.93,287870,$5.9,$5.96,$5.88
12/07/2022,$5.957,340293,$6,$6.03,$5.94
12/06/2022,$6.03,387906,$6.04,$6.09,$5.98
12/05/2022,$6.12,819414,$6.19,$6.2,$6.1
12/02/2022,$6.11,287565,$6.03,$6.12,$6.03
12/01/2022,$6,198258,$6.03,$6.04,$5.95
11/30/2022,$6.11,727483,$6.08,$6.11,$5.94
11/29/2022,$5.98,445737,$5.9,$6,$5.895
11/28/2022,$5.94,345850,$5.98,$6.0199,$5.92
11/25/2022,$6.045,133909,$5.96,$6.05,$5.96
11/23/2022,$6.01,330477,$5.88,$6.01,$5.88
11/22/2022,$6,339587,$5.96,$6,$5.9275
11/21/2022,$5.94,542586,$5.93,$5.94,$5.88
11/18/2022,$6.05,298631,$6.03,$6.05,$5.99
11/17/2022,$6,306110,$5.88,$6,$5.88
11/16/2022,$5.87,609530,$5.89,$5.9,$5.79
11/15/2022,$6.125,493304,$6.25,$6.28,$6.03
11/14/2022,$6.08,448307,$6.1,$6.16,$6.07
11/11/2022,$6.18,391451,$6.06,$6.2,$6.06
11/10/2022,$5.94,510854,$5.78,$5.94,$5.78
11/09/2022,$5.62,448516,$5.68,$5.7,$5.605
11/08/2022,$5.715,354253,$5.79,$5.8,$5.65
11/07/2022,$5.77,505641,$5.8,$5.83,$5.76
11/04/2022,$5.655,245829,$5.58,$5.67,$5.53
11/03/2022,$5.4,404579,$5.32,$5.425,$5.31
11/02/2022,$5.5,559829,$5.6,$5.66,$5.49
11/01/2022,$5.62,1110136,$5.73,$5.74,$5.6
10/31/2022,$5.55,646847,$5.57,$5.58,$5.48
10/28/2022,$5.6625,461267,$5.53,$5.67,$5.53
10/27/2022,$5.65,295517,$5.67,$5.77,$5.65
10/26/2022,$5.73,241595,$5.72,$5.8,$5.7
10/25/2022,$5.67,487755,$5.54,$5.69,$5.54
10/24/2022,$5.6,431092,$5.66,$5.66,$5.555
10/21/2022,$5.69,390449,$5.53,$5.69,$5.5
10/20/2022,$5.61,296866,$5.69,$5.74,$5.59
10/19/2022,$5.59,437575,$5.55,$5.6175,$5.53
10/18/2022,$5.75,527645,$5.84,$5.85,$5.7
10/17/2022,$5.69,561536,$5.66,$5.72,$5.64
10/14/2022,$5.44,585710,$5.64,$5.64,$5.43
10/13/2022,$5.6,634016,$5.375,$5.62,$5.33
10/12/2022,$5.48,273327,$5.47,$5.52,$5.42
10/11/2022,$5.42,606094,$5.44,$5.52,$5.3701
10/10/2022,$5.57,612834,$5.65,$5.66,$5.5
10/07/2022,$5.765,493667,$5.86,$5.899,$5.74
10/06/2022,$5.927,762536,$5.95,$6,$5.92
10/05/2022,$5.84,1268769,$5.72,$5.9,$5.65
10/04/2022,$5.955,1593951,$5.8,$5.99,$5.7999
10/03/2022,$5.6,996132,$5.535,$5.65,$5.48
09/30/2022,$5.57,1662792,$5.59,$5.67,$5.56
09/29/2022,$5.88,3692140,$6,$6.03,$5.75
09/28/2022,$6.78,648905,$6.46,$6.78,$6.43
09/27/2022,$6.5399,637709,$6.68,$6.7,$6.45
09/26/2022,$6.69,492417,$6.7,$6.795,$6.66
09/23/2022,$6.78,913049,$6.84,$6.85,$6.71
09/22/2022,$7.11,408757,$7.12,$7.16,$7.05
09/21/2022,$6.95,481451,$7.1,$7.16,$6.95
09/20/2022,$7.11,1080275,$7.23,$7.24,$7.02
09/19/2022,$6.98,1063415,$6.74,$6.98,$6.73
09/16/2022,$6.67,910726,$6.6,$6.7,$6.6
09/15/2022,$6.66,857537,$6.58,$6.72,$6.5601
09/14/2022,$6.737,971481,$6.69,$6.77,$6.63
09/13/2022,$6.66,1431555,$6.81,$6.8798,$6.63
09/12/2022,$7.02,1411278,$6.94,$7.06,$6.92
09/09/2022,$6.705,1022743,$6.74,$6.78,$6.655
09/08/2022,$6.685,867784,$6.57,$6.73,$6.53
09/07/2022,$6.9,752030,$6.7,$6.9,$6.7
09/06/2022,$6.83,1246219,$6.85,$6.88,$6.7635
09/02/2022,$7,777948,$7.22,$7.29,$6.95
09/01/2022,$6.96,341649,$6.89,$6.97,$6.78
08/31/2022,$7.036,518976,$7.085,$7.13,$7.03
08/30/2022,$7.24,1149872,$7.31,$7.3496,$7.1501
08/29/2022,$6.95,726442,$6.9,$6.99,$6.8801
08/26/2022,$6.62,732162,$6.92,$6.96,$6.6
08/25/2022,$6.667,213943,$6.6,$6.68,$6.57
08/24/2022,$6.57,287491,$6.51,$6.6,$6.4601
08/23/2022,$6.54,385711,$6.52,$6.61,$6.5
08/22/2022,$6.3735,1412087,$6.44,$6.44,$6.35
08/19/2022,$6.74,1181867,$6.83,$6.85,$6.72
08/18/2022,$7.01,391642,$7.02,$7.04,$6.95
08/17/2022,$7.1065,216744,$7.07,$7.14,$7.01
08/16/2022,$7.2575,166635,$7.1698,$7.29,$7.135
08/15/2022,$7.1,256848,$7,$7.11,$6.98
08/12/2022,$7.21,185095,$7.24,$7.24,$7.14
08/11/2022,$7.32,377021,$7.37,$7.4,$7.27
08/10/2022,$7.43,190020,$7.5,$7.5,$7.4
08/09/2022,$7.26,191952,$7.33,$7.34,$7.235
08/08/2022,$7.39,265717,$7.41,$7.46,$7.36
08/05/2022,$7.36,327545,$7.29,$7.36,$7.27
08/04/2022,$7.41,723848,$7.42,$7.44,$7.33
08/03/2022,$7.34,238097,$7.17,$7.34,$7.16
08/02/2022,$7.14,93021,$7.17,$7.22,$7.1
08/01/2022,$7.2,151762,$7.16,$7.23,$7.12
07/29/2022,$7.185,138055,$7.1,$7.19,$7.03
07/28/2022,$7.1,372766,$7.02,$7.1,$6.97
07/27/2022,$6.8699,337571,$6.8,$6.89,$6.74
07/26/2022,$6.77,301370,$6.75,$6.8075,$6.7101
07/25/2022,$6.915,442655,$6.98,$6.99,$6.88
07/22/2022,$6.93,358111,$7,$7.02,$6.9
07/21/2022,$6.98,172857,$6.94,$7.04,$6.915
07/20/2022,$7.0025,212618,$6.97,$7.08,$6.945
07/19/2022,$7.18,480421,$7.02,$7.24,$7.02
07/18/2022,$6.88,465740,$6.99,$7.005,$6.86
07/15/2022,$6.72,487809,$6.67,$6.77,$6.61
07/14/2022,$6.41,228107,$6.34,$6.41,$6.245
07/13/2022,$6.54,345556,$6.38,$6.56,$6.3797
07/12/2022,$6.55,347905,$6.5,$6.63,$6.48
07/11/2022,$6.57,414785,$6.65,$6.65,$6.57
07/08/2022,$6.78,1245614,$6.79,$6.88,$6.72
07/07/2022,$6.5,404739,$6.43,$6.52,$6.4
07/06/2022,$6.11,523523,$6.12,$6.13,$6.05
07/05/2022,$6.14,981775,$6.07,$6.15,$6.02
07/01/2022,$6.59,356024,$6.43,$6.59,$6.4
06/30/2022,$6.6,557909,$6.44,$6.62,$6.375
06/29/2022,$6.83,638481,$6.86,$6.88,$6.79
06/28/2022,$7.03,354985,$7.16,$7.23,$7.02
06/27/2022,$6.93,368752,$6.98,$7,$6.8805
06/24/2022,$6.83,932683,$6.72,$6.85,$6.7001
06/23/2022,$6.87,1360823,$6.89,$6.91,$6.77
06/22/2022,$7.09,258664,$7,$7.17,$6.98
