"Date","Close.Last","Volume","Open","High","Low"
2018-02-01,9.175,46493,9.104,9.23,9.091
2018-02-02,8.895,60362,9.11,9.11,8.89
2018-02-05,8.25,192479,8.7,8.73,8.19
2018-02-06,8.96,142918,8.46,8.96,8.46
2018-02-07,8.63,69082,8.808,8.835,8.61
2018-02-08,8.38,54064,8.72,8.72,8.36
2018-02-09,8.535,47020,8.451,8.58,8.22
2018-02-12,8.602,80519,8.505,8.64,8.49
2018-02-13,8.59,25904,8.56,8.6,8.535
2018-02-14,8.76,53495,8.42,8.79,8.41
2018-02-15,8.77,38694,8.81,8.81,8.66
2018-02-16,8.89,13758,8.8,8.91,8.79
2018-02-20,8.48,60555,8.5,8.579,8.47
2018-02-21,8.32,29867,8.4,8.49,8.32
2018-02-22,8.39,4642,8.39,8.43,8.34
2018-02-23,8.415,40844,8.42,8.44,8.35
2018-02-26,8.63,30264,8.65,8.65,8.56
2018-02-27,8.42,68002,8.54,8.58,8.416
2018-02-28,8.33,66124,8.41,8.42,8.32
2018-03-01,8.09,59786,8.18,8.18,8.02
2018-03-02,8.18,50787,8.07,8.18,8.03
2018-03-05,8.09,36051,7.93,8.09,7.91
2018-03-06,8.23,27589,8.22,8.26,8.192
2018-03-07,8.16,49727,8.07,8.25,8.05
2018-03-08,8.06,18090,8.074,8.1,7.988
2018-03-09,8.125,54050,8.04,8.15,8.04
2018-03-12,8.165,23468,8.14,8.17,8.12
2018-03-13,8.03,57783,8.18,8.18,8
2018-03-14,8.12,33951,8.15,8.15,8.06
2018-03-15,8.23,21226,8.2,8.24,8.17
2018-03-16,8.15,17360,8.17,8.24,8.11
2018-03-19,8.135,18637,8.14,8.15,8.09
2018-03-20,8.285,39237,8.24,8.33,8.22
2018-03-21,8.195,66604,8.21,8.26,8.18
2018-03-22,7.925,52857,8.03,8.04,7.88
2018-03-23,7.795,17867,7.98,7.98,7.79
2018-03-26,8.065,46784,8.05,8.09,7.91
2018-03-27,7.97,34270,8.14,8.14,7.87
2018-03-28,7.92,36200,7.93,8.004,7.854
2018-03-29,8.28,65807,8.31,8.32,8.2
2018-04-02,8.115,38470,8.24,8.24,8.02
2018-04-03,8.29,25738,8.25,8.3,8.2
2018-04-04,8.25,26406,8,8.25,7.986
2018-04-05,8.3,33162,8.27,8.32,8.25
2018-04-06,8.21,18201,8.26,8.26,8.16
2018-04-09,8.12,26247,8.16,8.24,8.12
2018-04-10,8.565,30126,8.456,8.59,8.456
2018-04-11,8.65,73426,8.7,8.73,8.65
2018-04-12,9.022,67996,8.94,9.04,8.94
2018-04-13,8.99,16893,8.96,9.02,8.94
