Date,Close/Last,Volume,Open,High,Low
02/01/2023,$8.5,21418,$8.21,$8.52,$8.21
01/31/2023,$8.08,12081,$7.9,$8.08,$7.9
01/30/2023,$7.87,13174,$7.93,$7.96,$7.87
01/27/2023,$8.26,13472,$8.21,$8.28,$8.21
01/26/2023,$8.21,70873,$8.08,$8.23,$8.08
01/25/2023,$8.11,12826,$7.99,$8.12,$7.99
01/24/2023,$8.05,74192,$8,$8.09,$7.97
01/23/2023,$8.08,29129,$7.98,$8.12,$7.98
01/20/2023,$7.89,15913,$7.79,$7.92,$7.77
01/19/2023,$7.895,18677,$7.82,$7.8999,$7.8
01/18/2023,$7.97,16700,$8.07,$8.07,$7.96
01/17/2023,$8.16,76004,$8.14,$8.22,$8.1
01/13/2023,$8.05,15187,$7.8999,$8.05,$7.8999
01/12/2023,$8.155,15671,$7.99,$8.16,$7.955
01/11/2023,$7.957,15552,$7.92,$7.985,$7.9
01/10/2023,$7.81,89161,$7.77,$7.81,$7.75
01/09/2023,$7.56,8845,$7.66,$7.66,$7.548
01/06/2023,$7.66,15650,$7.47,$7.67,$7.47
01/05/2023,$7.32,11975,$7.3499,$7.3699,$7.32
01/04/2023,$7.27,91352,$7.22,$7.358,$7.22
01/03/2023,$6.95,31646,$7.04,$7.04,$6.925
12/30/2022,$6.62,20639,$6.62,$6.65,$6.61
12/29/2022,$6.665,22149,$6.62,$6.705,$6.62
12/28/2022,$6.54,22323,$6.6,$6.63,$6.54
12/27/2022,$6.62,13778,$6.63,$6.678,$6.59
12/23/2022,$6.63,23007,$6.58,$6.6601,$6.58
12/22/2022,$6.58,16167,$6.68,$6.68,$6.5125
12/21/2022,$6.83,19675,$6.76,$6.84,$6.76
12/20/2022,$6.71,30476,$6.73,$6.78,$6.67
12/19/2022,$6.9,21812,$6.96,$6.99,$6.88
12/16/2022,$6.91,22971,$6.98,$6.98,$6.84
12/15/2022,$7.0599,10914,$7.11,$7.11,$6.995
12/14/2022,$7.14,20915,$7.1,$7.17,$7.05
12/13/2022,$7.07,42458,$7.222,$7.222,$7.04
12/12/2022,$7.17,18755,$7.068,$7.17,$7.062
12/09/2022,$7.155,18315,$7.12,$7.21,$7.12
12/08/2022,$7.1625,5395,$7.266,$7.266,$7.155
12/07/2022,$7.17,15844,$7.3,$7.31,$7.17
12/06/2022,$7.18,24301,$7.23,$7.31,$7.14
12/05/2022,$7.27,27417,$7.3801,$7.3801,$7.26
12/02/2022,$7.27,37376,$7.1501,$7.27,$7.1501
12/01/2022,$7.33,9728,$7.338,$7.38,$7.29
11/30/2022,$7.29,49906,$7.18,$7.29,$7.09
11/29/2022,$6.93,46398,$6.89,$7.08,$6.89
11/28/2022,$6.81,69447,$6.89,$6.92,$6.81
11/25/2022,$6.96,10838,$6.961,$7,$6.9301
11/23/2022,$6.85,10899,$6.75,$6.87,$6.75
11/22/2022,$6.86,71554,$6.775,$6.86,$6.7601
11/21/2022,$6.82,73824,$6.81,$6.8299,$6.734
11/18/2022,$6.79,68434,$6.7701,$6.82,$6.7425
11/17/2022,$6.81,34527,$6.61,$6.82,$6.61
11/16/2022,$6.59,21612,$6.58,$6.62,$6.564
11/15/2022,$6.9,20116,$6.8864,$6.919,$6.6801
11/14/2022,$6.71,10927,$6.75,$6.8,$6.7
11/11/2022,$6.74,87690,$6.5,$6.75,$6.48
11/10/2022,$6.29,43918,$6.08,$6.3,$6.08
11/09/2022,$5.79,18792,$5.82,$5.895,$5.78
11/08/2022,$6.14,40784,$6.08,$6.14,$6.03
11/07/2022,$6.315,17795,$6.3,$6.34,$6.2401
11/04/2022,$6.05,27101,$6.02,$6.105,$5.9601
11/03/2022,$5.88,38188,$5.83,$5.9,$5.812
11/02/2022,$6.22,26252,$6.24,$6.275,$6.03
11/01/2022,$6.26,25702,$6.34,$6.34,$6.2201
10/31/2022,$6.12,16667,$6.014,$6.14,$6.014
10/28/2022,$6.26,227973,$6.12,$6.26,$6.12
10/27/2022,$6.27,21902,$6.2801,$6.36,$6.2601
10/26/2022,$6.32,34587,$6.33,$6.37,$6.31
10/25/2022,$6.33,184538,$6.2202,$6.33,$6.2202
10/24/2022,$6.3,56315,$6.294,$6.33,$6.26
10/21/2022,$6.45,30403,$6.2099,$6.49,$6.2099
10/20/2022,$6.31,18286,$6.324,$6.44,$6.27
10/19/2022,$6.19,38437,$6.25,$6.26,$6.17
10/18/2022,$6.32,74435,$6.44,$6.45,$6.2601
10/17/2022,$6.2,27504,$6.19,$6.236,$6.17
10/14/2022,$5.88,23420,$6.05,$6.06,$5.88
10/13/2022,$6.02,33474,$5.725,$6.07,$5.725
10/12/2022,$5.83,31127,$5.845,$5.91,$5.83
10/11/2022,$5.87,109710,$5.82,$5.98,$5.79
10/10/2022,$6.07,61295,$6.13,$6.17,$5.99
10/07/2022,$6,271412,$5.84,$6.03,$5.83
10/06/2022,$5.7,134395,$5.66,$5.74,$5.65
10/05/2022,$5.69,34777,$5.57,$5.75,$5.52
10/04/2022,$5.83,119416,$5.7,$5.83,$5.7
10/03/2022,$5.554,24648,$5.39,$5.57,$5.39
09/30/2022,$5.32,60916,$5.367,$5.435,$5.32
09/29/2022,$5.31,30477,$5.37,$5.37,$5.235
09/28/2022,$5.74,171065,$5.539,$5.75,$5.539
09/27/2022,$5.43,134273,$5.4501,$5.5201,$5.39
09/26/2022,$5.3,90589,$5.4,$5.41,$5.2901
09/23/2022,$5.35,22246,$5.49,$5.49,$5.29
09/22/2022,$5.88,78421,$5.89,$5.89,$5.8
09/21/2022,$5.77,9555,$5.92,$5.9599,$5.77
09/20/2022,$6.16,23494,$6.25,$6.25,$6.08
09/19/2022,$6.315,32472,$6.175,$6.33,$6.17
09/16/2022,$6.38,21772,$6.246,$6.38,$6.246
09/15/2022,$6.21,28474,$6.25,$6.2699,$6.18
09/14/2022,$6.03,9025,$5.996,$6.085,$5.968
09/13/2022,$5.81,35809,$6.02,$6.02,$5.79
09/12/2022,$6.15,51232,$6.13,$6.17,$6.125
09/09/2022,$5.87,11044,$5.855,$5.88,$5.82
09/08/2022,$5.69,41663,$5.683,$5.71,$5.59
09/07/2022,$5.78,56089,$5.666,$5.78,$5.656
09/06/2022,$5.5,25238,$5.56,$5.58,$5.496
09/02/2022,$5.54,150214,$5.78,$5.835,$5.5201
09/01/2022,$5.68,58704,$5.588,$5.68,$5.52
08/31/2022,$5.67,44531,$5.716,$5.76,$5.662
08/30/2022,$5.61,173499,$5.53,$5.77,$5.53
08/29/2022,$5.57,19861,$5.5,$5.58,$5.5
08/26/2022,$5.35,73488,$5.556,$5.5595,$5.35
08/25/2022,$5.65,8513,$5.59,$5.65,$5.58
08/24/2022,$5.54,20795,$5.45,$5.56,$5.45
08/23/2022,$5.485,26037,$5.566,$5.566,$5.48
08/22/2022,$5.5,29430,$5.545,$5.58,$5.486
08/19/2022,$5.84,27085,$5.895,$5.895,$5.825
08/18/2022,$6.08,13476,$6.056,$6.105,$6.035
08/17/2022,$6.07,13552,$6.0799,$6.1199,$6.02
08/16/2022,$6.21,14603,$6.18,$6.24,$6.18
08/15/2022,$6.21,26681,$6.16,$6.22,$6.148
08/12/2022,$6.32,14179,$6.24,$6.32,$6.23
08/11/2022,$6.22,68037,$6.3,$6.3,$6.205
08/10/2022,$6.24,43666,$6.26,$6.32,$6.235
08/09/2022,$5.95,18042,$6.0401,$6.0401,$5.95
08/08/2022,$6.08,29994,$6.06,$6.13,$6.06
08/05/2022,$6.06,55519,$5.977,$6.06,$5.977
08/04/2022,$5.93,38343,$5.89,$5.94,$5.85
08/03/2022,$6,100156,$5.92,$6.01,$5.86
08/02/2022,$6.05,271391,$6.1,$6.1,$6.0001
08/01/2022,$6.109,36122,$6.05,$6.125,$6.04
07/29/2022,$5.86,36907,$5.77,$5.86,$5.77
07/28/2022,$5.54,24276,$5.49,$5.59,$5.47
07/27/2022,$5.37,39940,$5.23,$5.39,$5.21
07/26/2022,$5.14,87154,$5.1,$5.166,$5.1
07/25/2022,$5.33,57881,$5.4,$5.41,$5.31
07/22/2022,$5.17,47831,$5.2,$5.26,$5.16
07/21/2022,$5.18,93939,$5.13,$5.19,$5.11
07/20/2022,$5.19,136173,$5.17,$5.25,$5.135
07/19/2022,$5.26,119411,$5.14,$5.27,$5.12
07/18/2022,$4.92,73906,$4.964,$5.01,$4.91
07/15/2022,$4.83,40477,$4.78,$4.85,$4.73
07/14/2022,$4.55,87644,$4.54,$4.55,$4.45
07/13/2022,$4.634,99838,$4.54,$4.674,$4.54
07/12/2022,$4.685,124787,$4.54,$4.75,$4.54
07/11/2022,$4.6375,121906,$4.83,$4.83,$4.63
07/08/2022,$4.93,74315,$4.9,$4.96,$4.846
07/07/2022,$4.87,165918,$4.85,$4.87,$4.78
07/06/2022,$4.59,235000,$4.52,$4.62,$4.51
07/05/2022,$4.72,159815,$4.68,$4.72,$4.61
07/01/2022,$5.1,70245,$4.9601,$5.1,$4.9601
06/30/2022,$4.97,35469,$4.82,$4.97,$4.82
06/29/2022,$5.05,63057,$5.156,$5.1599,$5.03
06/28/2022,$5.31,75496,$5.45,$5.4936,$5.31
06/27/2022,$5.29,59555,$5.27,$5.31,$5.23
06/24/2022,$5.23,55446,$5.16,$5.23,$5.15
06/23/2022,$5.31,48156,$5.45,$5.45,$5.21
06/22/2022,$5.46,81682,$5.42,$5.59,$5.41
06/21/2022,$5.46,49154,$5.55,$5.56,$5.46
06/17/2022,$5,41431,$4.925,$5.04,$4.925
06/16/2022,$4.92,74898,$5.04,$5.04,$4.9
06/15/2022,$5.25,40397,$5.2,$5.39,$5.14
06/14/2022,$5,71810,$5.12,$5.12,$4.95
06/13/2022,$5.01,107319,$5.13,$5.13,$5
06/10/2022,$5.5099,26340,$5.57,$5.57,$5.48
06/09/2022,$5.69,13512,$5.74,$5.84,$5.68
06/08/2022,$5.79,39914,$5.88,$5.915,$5.77
06/07/2022,$5.64,19254,$5.56,$5.64,$5.56
06/06/2022,$5.64,56690,$5.67,$5.702,$5.6101
06/03/2022,$5.49,17491,$5.51,$5.52,$5.47
06/02/2022,$5.66,49026,$5.54,$5.66,$5.54
06/01/2022,$5.58,50614,$5.636,$5.65,$5.495
05/31/2022,$5.46,96397,$5.41,$5.48,$5.364
05/27/2022,$5.37,37741,$5.38,$5.397,$5.335
05/26/2022,$5.39,150327,$5.28,$5.4,$5.28
05/25/2022,$5.19,65466,$5.033,$5.22,$5.033
05/24/2022,$5.12,89487,$5.1301,$5.15,$5.0301
05/23/2022,$5.1,45141,$5.18,$5.18,$5.09
05/20/2022,$5.07,78091,$5.2,$5.21,$4.99
05/19/2022,$5.07,36721,$4.89,$5.11,$4.89
05/18/2022,$4.88,23866,$5,$5.02,$4.87
05/17/2022,$5.1,56772,$5.1,$5.114,$5.02
05/16/2022,$4.88,86075,$4.84,$4.93,$4.77
05/13/2022,$4.86,51891,$4.83,$4.9055,$4.81
05/12/2022,$4.572,133800,$4.45,$4.62,$4.44
05/11/2022,$4.64,74300,$4.76,$4.84,$4.64
05/10/2022,$4.67,121703,$4.7301,$4.7401,$4.6275
05/09/2022,$4.686,74703,$4.76,$4.76,$4.67
05/06/2022,$4.82,83685,$4.85,$4.88,$4.79
05/05/2022,$4.72,63807,$4.92,$4.92,$4.67
05/04/2022,$5.13,67453,$4.99,$5.13,$4.94
05/03/2022,$5.01,188389,$5.07,$5.07,$4.99
05/02/2022,$4.86,174691,$4.82,$4.88,$4.78
04/29/2022,$4.81,97880,$4.91,$4.9199,$4.81
04/28/2022,$4.81,199047,$4.83,$4.845,$4.72
04/27/2022,$4.64,53834,$4.66,$4.74,$4.5901
04/26/2022,$4.62,157439,$4.87,$4.87,$4.62
04/25/2022,$4.98,87367,$4.97,$5,$4.87
04/22/2022,$4.92,80408,$5.11,$5.11,$4.9
04/21/2022,$4.94,58128,$5.15,$5.164,$4.93
04/20/2022,$4.91,57284,$4.96,$4.96,$4.86
04/19/2022,$4.9,157113,$4.804,$4.9,$4.804
04/18/2022,$4.68,86436,$4.95,$4.95,$4.66
04/14/2022,$4.73,49793,$4.76,$4.78,$4.71
04/13/2022,$4.78,97242,$4.6336,$4.8,$4.6336
04/12/2022,$4.7,82977,$4.79,$4.81,$4.67
04/11/2022,$4.71,117146,$4.69,$4.82,$4.69
04/08/2022,$4.67,124757,$4.63,$4.73,$4.62
04/07/2022,$4.75,67190,$4.84,$4.84,$4.71
04/06/2022,$4.79,132673,$4.74,$4.81,$4.69
04/05/2022,$4.95,180834,$5.01,$5.045,$4.92
04/04/2022,$5.36,71685,$5.29,$5.37,$5.29
04/01/2022,$5.29,48745,$5.36,$5.36,$5.22
03/31/2022,$5.185,90918,$5.36,$5.36,$5.185
03/30/2022,$5.44,107825,$5.53,$5.53,$5.43
03/29/2022,$5.67,327154,$5.62,$5.71,$5.54
03/28/2022,$5.08,175210,$5.13,$5.13,$5
03/25/2022,$5.05,170097,$5.04,$5.13,$4.99
03/24/2022,$5.0199,89400,$4.93,$5.02,$4.88
03/23/2022,$4.98,100237,$4.96,$5.0699,$4.95
03/22/2022,$5.18,267288,$5.15,$5.205,$5.092
03/21/2022,$5.043,85047,$5.15,$5.15,$5
03/18/2022,$5.12,167194,$5,$5.15,$4.98
03/17/2022,$5.17,80895,$5.09,$5.19,$5.03
03/16/2022,$5.35,64544,$5.35,$5.56,$5.26
03/15/2022,$5.02,264128,$4.93,$5.11,$4.9
