"Date","Close.Last","Volume","Open","High","Low"
2018-02-01,22.1,9816,21.86,22.13,21.86
2018-02-02,21.57,12902,21.8,21.87,21.57
2018-02-05,20.67,21602,21.35,21.44,20.45
2018-02-06,21.38,19749,20.94,21.39,20.57
2018-02-07,20.75,12686,21,21.04,20.71
2018-02-08,20.09,11854,20.7,20.7,20.09
2018-02-09,20.41,28837,20.33,20.44,19.72
2018-02-12,20.94,7281,20.44,21.09,20.44
2018-02-13,21.01,10341,20.9,21.03,20.87
2018-02-14,21.63,13919,20.92,21.63,20.92
2018-02-15,21.5,9314,21.58,21.58,21.2
2018-02-16,21.77,11986,21.69,21.87,21.6
2018-02-20,21.35,14634,21.37,21.46,21.21
2018-02-21,20.93,12537,21.11,21.35,20.93
2018-02-22,21.35,6766,21.34,21.46,21.26
2018-02-23,21.65,6928,21.55,21.69,21.52
2018-02-26,21.63,9828,21.49,21.68,21.48
2018-02-27,21.47,6022,21.54,21.63,21.47
2018-02-28,21.61,11028,21.77,21.87,21.61
2018-03-01,21.84,11609,21.9,21.99,21.53
2018-03-02,22.03,17134,21.75,22.1,21.65
2018-03-05,21.86,12210,21.44,21.86,21.44
2018-03-06,22.28,15175,22.24,22.31,22.15
2018-03-07,23.3,89500,21.98,24.61,21.98
2018-03-08,23.52,577307,23.75,23.75,23.41
2018-03-09,23.38,50854,23.37,23.45,23.32
2018-03-12,23.36,15280,23.43,23.45,23.26
2018-03-13,23.15,36235,23.51,23.51,23.15
2018-03-14,23.46,15153,23.3,23.47,23.22
2018-03-15,23.48,15586,23.43,23.57,23.4
2018-03-16,23.44,7999,23.41,23.45,23.29
2018-03-19,23.32,16723,23.32,23.33,23.12
2018-03-20,23.29,13888,23.2,23.35,23.16
2018-03-21,23.05,13396,23.03,23.18,22.97
2018-03-22,22.48,33998,22.73,22.77,22.45
2018-03-23,22.4,14613,22.62,22.8,22.4
2018-03-26,23.26,16115,23.18,23.3,22.94
2018-03-27,22.78,20628,23.09,23.19,22.72
2018-03-28,22.92,13770,22.85,23.07,22.83
2018-03-29,24.42,9773,24.34,24.5,24.21
2018-04-02,23.58,19244,24.23,24.23,23.56
2018-04-03,23.75,11393,23.82,23.89,23.54
2018-04-04,23.69,12177,23.47,23.69,23.39
2018-04-05,24.1,21162,24.08,24.15,23.98
2018-04-06,24.08,33592,24.14,24.27,24.01
2018-04-09,23.66,11164,23.68,23.8,23.63
2018-04-10,23.65,10425,23.7,23.81,23.59
2018-04-11,23.01,6592,23.25,23.25,22.99
2018-04-12,23.17,6039,23.13,23.17,23.04
2018-04-13,23.16,26462,23.22,23.26,23.06
2018-04-16,23.35,154129,23.25,23.35,23.19
2018-04-17,23.45,12474,23.45,23.48,23.36
2018-04-18,23.29,6568,23.13,23.35,23.13
2018-04-19,23.33,7594,23.36,23.36,23.19
2018-04-20,22.93,3765,22.98,23.12,22.92
2018-04-23,23.1,6862,23.01,23.1,22.87
2018-04-24,22.54,16281,22.69,22.78,22.44
2018-04-25,22.59,5991,22.37,22.62,22.37
2018-04-26,22.35,5734,22.19,22.35,22.17
2018-04-27,21.62,13568,21.6,21.62,21.5
2018-04-30,21.55,12972,21.57,21.59,21.47
2018-05-01,21.22,23421,21.35,21.55,21.21
2018-05-02,21.5,10338,21.46,21.64,21.36
2018-05-03,21.56,14583,21.52,21.56,21.23
2018-05-04,21.26,12005,21.27,21.45,21.25
2018-05-07,21.28,10440,21.27,21.39,21.27
2018-05-08,21.21,57403,21.05,21.21,20.99
2018-05-09,21.07,37173,21.1,21.13,20.87
2018-05-10,21.1,13892,20.94,21.1,20.94
2018-05-11,21.15,8323,21.24,21.26,21.14
2018-05-14,21.05,16169,21.12,21.22,21.05
2018-05-15,20.96,11587,20.94,21.08,20.94
2018-05-16,20.91,9634,20.88,20.96,20.8
2018-05-17,21.54,13881,21.33,21.66,21.3
2018-05-18,21.4,15348,21.3,21.44,21.25
2018-05-21,21.54,9595,21.58,21.58,21.46
2018-05-22,21.56,18886,21.61,21.72,21.56
2018-05-23,20.49,15776,20.37,20.49,20.24
2018-05-24,20.05,9777,19.91,20.15,19.91
2018-05-25,19.95,8520,19.82,19.98,19.82
2018-05-29,19.13,12660,19.2,19.25,18.94
2018-05-30,19.63,37676,19.31,19.63,19.22
2018-05-31,19.31,30311,19.38,19.44,19.12
2018-06-01,19.54,10033,19.78,19.78,19.51
2018-06-04,19.61,21368,19.76,19.76,19.55
2018-06-05,19.55,19818,19.57,19.69,19.43
2018-06-06,19.77,15402,19.55,19.87,19.53
2018-06-07,19.93,10550,19.88,20.06,19.75
2018-06-08,19.66,27760,19.64,19.73,19.51
2018-06-11,19.57,17141,19.39,19.65,19.27
2018-06-12,19.39,27483,19.57,19.6,19.39
2018-06-13,19.63,19835,19.73,19.81,19.55
2018-06-14,19.71,12116,19.84,20.01,19.69
2018-06-15,19.52,17574,19.43,19.58,19.43
2018-06-18,19.23,22121,19.01,19.3,18.94
2018-06-19,19.02,29351,18.87,19.1,18.73
2018-06-20,18.75,13011,18.86,18.86,18.67
2018-06-21,18.62,12358,18.72,18.72,18.39
2018-06-22,18.71,25165,17.86,18.76,17.73
2018-06-25,17.48,35389,17.47,17.52,17.37
2018-06-26,17.41,55980,17.46,17.49,17.24
2018-06-27,17.03,42497,17.25,17.42,17.03
2018-06-28,16.98,15809,16.75,17.06,16.75
2018-06-29,16.96,35949,17.05,17.05,16.88
2018-07-02,16.7,119826,16.79,16.87,16.67
2018-07-03,16.79,107616,16.81,16.87,16.79
2018-07-05,17.68,30290,17.6,17.74,17.57
2018-07-06,17.48,26450,17.38,17.57,17.34
2018-07-09,17.42,77614,17.29,17.5,17.29
2018-07-10,17.6,55979,17.58,17.66,17.52
2018-07-11,17.09,32004,17.12,17.25,17.05
2018-07-12,17.1,26634,17.05,17.27,17.01
2018-07-13,17.17,22622,17.05,17.2,17
2018-07-16,17.21,38546,17.24,17.32,17.15
2018-07-17,17.19,50451,17.07,17.26,17.07
2018-07-18,17.3,51765,17.44,17.44,17.27
2018-07-19,17.18,52811,17.11,17.29,17.05
2018-07-20,17.1,32689,16.96,17.21,16.96
2018-07-23,17.13,21806,16.96,17.18,16.96
2018-07-24,17.19,39803,17.43,17.46,17.17
2018-07-25,17.11,24400,16.89,17.11,16.67
2018-07-26,17.01,168298,17.07,17.19,16.96
2018-07-27,17.29,21569,17.41,17.5,17.2
2018-07-30,17.58,20352,17.53,17.62,17.43
2018-07-31,17.73,32217,17.69,17.8,17.52
2018-08-01,17.2,8990,17.42,17.42,17.16
2018-08-02,16.84,23527,16.81,16.9,16.76
2018-08-03,16.85,18512,16.69,16.85,16.57
2018-08-06,16.67,13661,16.63,16.75,16.59
2018-08-07,16.86,44180,16.93,16.96,16.78
2018-08-08,16.97,33145,16.94,17.03,16.9
2018-08-09,16.72,24314,16.8,16.83,16.71
2018-08-10,16.56,26968,16.57,16.69,16.5
2018-08-13,16.33,30213,16.42,16.5,16.27
2018-08-14,16.2,66918,16.15,16.29,16.1
2018-08-15,16.04,39763,15.9,16.1,15.85
2018-08-16,16.15,55932,16.1,16.28,16.1
2018-08-17,16.55,21154,16.32,16.6,16.3
2018-08-20,16.63,14684,16.72,16.76,16.59
2018-08-21,16.98,44444,16.88,17.09,16.84
2018-08-22,16.86,50019,16.76,16.93,16.76
2018-08-23,16.5,18018,16.51,16.58,16.45
2018-08-24,16.8,18615,16.64,16.8,16.64
2018-08-27,17.06,37012,16.92,17.09,16.92
2018-08-28,17.36,35901,17.5,17.62,17.32
2018-08-29,17.52,17211,17.35,17.52,17.34
2018-08-30,17.38,17272,17.39,17.49,17.27
2018-08-31,17.18,27836,17.31,17.31,17.08
2018-09-04,16.71,23449,16.67,16.74,16.56
2018-09-05,16.76,44517,16.79,16.91,16.69
2018-09-06,16.7,30939,16.74,16.79,16.58
2018-09-07,16.51,27041,16.53,16.59,16.41
2018-09-10,16.63,69363,16.72,16.85,16.56
2018-09-11,16.27,498481,16.26,16.35,16.14
2018-09-12,16.34,25393,16.19,16.49,16.19
2018-09-13,16.73,39454,16.78,16.83,16.71
2018-09-14,17.11,76463,17.3,17.34,17.06
2018-09-17,17.18,28560,17.32,17.34,17.16
2018-09-18,17.51,37883,17.43,17.6,17.42
2018-09-19,17.99,23562,18.01,18.08,17.86
2018-09-20,18.38,14840,18.45,18.45,18.29
2018-09-21,17.89,24677,18.11,18.11,17.86
2018-09-24,17.74,14126,17.86,17.89,17.69
2018-09-25,17.41,18883,17.46,17.5,17.31
2018-09-26,17.46,12536,17.38,17.55,17.37
2018-09-27,17.42,13277,17.26,17.47,17.25
2018-09-28,17.28,24063,17.19,17.41,17.19
2018-10-01,17.13,32241,17.22,17.25,17.06
2018-10-02,17.12,36969,17.04,17.23,16.98
2018-10-03,17.02,68945,17.11,17.11,16.95
2018-10-04,16.73,37987,16.71,16.84,16.63
2018-10-05,16.6,41505,16.75,16.75,16.51
2018-10-08,16.54,29772,16.26,16.56,16.26
2018-10-09,16.46,48741,16.42,16.48,16.31
2018-10-10,16.11,27170,16.4,16.47,16.11
2018-10-11,16.29,53343,16.35,16.49,16.09
2018-10-12,16.5,65435,16.7,16.7,16.25
2018-10-15,16.37,66119,16.56,16.59,16.37
2018-10-16,16.54,32513,16.56,16.64,16.42
2018-10-17,15.88,74834,15.8,16.03,15.67
2018-10-18,15.65,102566,15.88,15.97,15.58
2018-10-19,15.32,46867,15.08,15.4,15.08
2018-10-22,15.05,72364,15.07,15.17,14.97
2018-10-23,14.93,143606,14.95,15.11,14.71
2018-10-24,14.11,44551,14.39,14.5,14.11
2018-10-25,14.56,111823,14.58,14.72,14.5
2018-10-26,14.69,89425,14.5,14.83,14.46
2018-10-29,14.71,94751,15.11,15.11,14.59
2018-10-30,14.93,90088,15.06,15.18,14.79
2018-10-31,14.95,41459,14.99,15.07,14.85
2018-11-01,15.03,77027,15.03,15.11,14.88
2018-11-02,15.09,58542,15.31,15.34,14.97
