"Date","Close.Last","Volume","Open","High","Low"
2018-01-26,16.92,18206,17,17,16.87
2018-01-29,16.78,97608,16.95,16.95,16.72
2018-01-30,16.78,120011,16.75,16.8,16.6
2018-01-31,16.67,24373,16.62,16.86,16.53
2018-02-01,16.54,27523,16.77,16.77,16.5
2018-02-02,16.35,19619,16.24,16.52,16.24
2018-02-05,15.89,38883,16.15,16.47,15.89
2018-02-06,16.7,45416,16.34,16.75,16.09
2018-02-07,16.79,31112,16.7,16.89,16.51
2018-02-08,16.46,68486,17.1,17.1,16.41
2018-02-09,17.29,173245,17.21,17.6,16.65
2018-02-12,17.58,37549,17.77,17.77,16.93
2018-02-13,17.32,36823,17.05,17.36,17.05
2018-02-14,17.5,35196,16.98,17.5,16.98
2018-02-15,17.42,14052,17.42,17.48,17.27
2018-02-16,17.47,21469,17.36,17.47,17.31
2018-02-20,17.36,64825,17.63,17.63,17.35
2018-02-21,17.19,27253,17.4,17.41,17.19
2018-02-22,17.22,10394,17.28,17.33,17.22
2018-02-23,17.63,46849,17.41,17.67,17.41
2018-02-26,17.8,31402,17.95,17.95,17.67
2018-02-27,17.68,91468,18,18,17.6
2018-02-28,17.59,32750,17.92,17.92,17.5
2018-03-01,17.05,17994,17.31,17.38,17
2018-03-02,17.21,23437,17,17.22,16.91
2018-03-05,17.32,18407,16.8,17.32,16.8
2018-03-06,17.29,138808,17.15,17.31,17.08
2018-03-07,17.16,33664,17.12,17.19,17.05
2018-03-08,17.2,99196,16.88,17.2,16.88
2018-03-09,17.32,16983,16.92,17.32,16.92
2018-03-12,17.17,25321,17.32,17.32,17.13
2018-03-13,17,22270,16.87,17.2,16.87
2018-03-14,17.09,24572,17.1,17.14,17.03
2018-03-15,17.26,21248,17.12,17.31,17.11
2018-03-16,17.08,15039,17.23,17.23,17.02
2018-03-19,16.86,33441,17,17,16.77
2018-03-20,17.07,46279,16.98,17.09,16.98
2018-03-21,17.05,28138,17.09,17.14,17
2018-03-22,16.73,32043,16.84,16.94,16.73
2018-03-23,16.34,22577,16.76,16.76,16.3
2018-03-26,16.53,44924,16.53,16.56,16.38
2018-03-27,16.56,38978,16.54,16.93,16.48
2018-03-28,16.4,75478,16.28,16.46,16.25
2018-03-29,16.57,27132,16.35,16.65,16.35
2018-04-02,16.39,37617,16.29,16.67,16.29
2018-04-03,16.78,255453,16.5,16.8,16.48
2018-04-04,16.93,117272,16.72,16.93,16.69
2018-04-05,16.89,134653,17.07,17.07,16.83
2018-04-06,16.68,21745,16.55,16.85,16.55
2018-04-09,16.66,56205,16.57,16.75,16.57
2018-04-10,16.8,25152,17,17,16.56
2018-04-11,16.76,53313,16.77,16.84,16.76
2018-04-12,16.56,12350,16.51,16.59,16.51
2018-04-13,16.65,16245,16.67,16.67,16.55
2018-04-16,16.69,33661,16.4,16.69,16.4
2018-04-17,16.84,17601,16.53,16.85,16.53
2018-04-18,16.74,48438,16.75,16.77,16.72
2018-04-19,16.31,23877,16.07,16.5,16.07
2018-04-20,16.19,26458,16.5,16.5,16.18
2018-04-23,16.37,26717,16.39,16.39,16.3
2018-04-24,16.44,21743,16.82,16.82,16.4
2018-04-25,16.47,22790,16.27,16.54,16.27
2018-04-26,16.79,14900,16.69,16.82,16.69
2018-04-27,16.74,19365,16.79,16.81,16.74
2018-04-30,16.8,16865,16.87,16.87,16.73
2018-05-01,16.9,19677,16.77,16.98,16.77
2018-05-02,16.85,14971,16.86,16.93,16.82
2018-05-03,16.86,14370,16.86,16.89,16.77
2018-05-04,16.96,27662,16.61,16.98,16.61
2018-05-07,16.84,21355,16.8,16.87,16.59
2018-05-08,16.85,125050,16.52,16.85,16.52
2018-05-09,16.7,100107,16.8,16.84,16.63
2018-05-10,16.94,80220,16.84,16.94,16.8
2018-05-11,16.18,79003,16.17,16.26,16.17
2018-05-14,16.24,19843,16,16.26,16
2018-05-15,16.03,67752,15.99,16.09,15.99
2018-05-16,16.11,38927,16.07,16.18,16.07
2018-05-17,16.1,17437,16.11,16.26,16.02
2018-05-18,16.02,25077,16.04,16.04,15.99
2018-05-21,16.01,16003,15.97,16.01,15.97
2018-05-22,16.11,23553,16,16.12,16
2018-05-23,16.18,23610,16.29,16.33,16.08
2018-05-24,15.84,47710,15.97,15.98,15.76
2018-05-25,15.73,20417,15.57,15.82,15.57
2018-05-29,15.65,37697,15.88,15.88,15.57
2018-05-30,15.7,53560,15.88,15.88,15.6
2018-05-31,15.24,48765,15.45,15.45,15.2
2018-06-01,15.43,42207,15.19,15.45,15.19
2018-06-04,15.66,43331,15.48,15.73,15.48
2018-06-05,15.42,123798,15.52,15.52,15.4
2018-06-06,15.43,81182,15.4,15.5,15.4
2018-06-07,15.72,35770,15.66,15.76,15.66
2018-06-08,15.56,64486,15.55,15.59,15.53
2018-06-11,15.46,201993,15.71,15.71,15.4
2018-06-12,15.33,191430,15.45,15.45,15.3
2018-06-13,15.38,224169,15.3,15.43,15.29
2018-06-14,15.37,38252,15.38,15.42,15.36
2018-06-15,15.23,31177,15.3,15.3,15.18
2018-06-18,15.03,46698,15.18,15.18,15
2018-06-19,15.12,88882,15.18,15.21,15.09
2018-06-20,15.03,73147,15.11,15.11,15.01
2018-06-21,14.97,38451,15.13,15.21,14.95
2018-06-22,14.67,98914,14.84,14.84,14.61
2018-06-25,14.38,68803,14.65,14.65,14.3
2018-06-26,14.56,104219,14.35,14.58,14.35
2018-06-27,14.49,386565,14.55,14.63,14.46
2018-06-28,14.47,557421,14.45,14.5,14.29
2018-06-29,14.47,74498,14.56,14.56,14.42
2018-07-02,14.26,63390,14.39,14.39,14.09
2018-07-03,14.06,51765,14.2,14.35,14.04
2018-07-05,14.21,38584,14.1,14.21,14.1
2018-07-06,14.31,34021,14.07,14.36,14.07
2018-07-09,14.43,47623,14.41,14.44,14.37
2018-07-10,14.23,104347,14.41,14.41,14.04
2018-07-11,13.98,42929,14.15,14.15,13.82
2018-07-12,13.93,76346,14.06,14.06,13.88
2018-07-13,13.85,47854,13.88,13.95,13.8
2018-07-16,13.87,90292,14.05,14.05,13.85
