Date,Close/Last,Volume,Open,High,Low
01/25/2023,$145.5,3738,$143.58,$146.26,$143.58
01/24/2023,$138.5,22913,$136.46,$140,$135.92
01/23/2023,$137.05,6977,$133.6,$137.05,$133.6
01/20/2023,$135.17,6169,$134.27,$135.85,$133.48
01/19/2023,$133.485,7637,$132.08,$133.62,$132.08
01/18/2023,$135.385,6722,$136.77,$138.9199,$134.9
01/17/2023,$132.87,10066,$132.22,$134,$132.22
01/13/2023,$130.34,5317,$129.68,$131.07,$129.68
01/12/2023,$131.51,9539,$129.45,$131.66,$129.02
01/11/2023,$130.25,5349,$127.875,$130.25,$125.54
01/10/2023,$129.875,9281,$125.27,$130.01,$125.27
01/09/2023,$128.57,10797,$134,$134,$126.15
01/06/2023,$128.22,12194,$123.6101,$131,$123.6101
01/05/2023,$125,7429,$120.77,$126.3,$120.77
01/04/2023,$126.05,13708,$126.4,$126.64,$125.01
01/03/2023,$129.14,11286,$127.5,$130.3799,$127.5
12/30/2022,$128.58,8826,$126.25,$131.43,$126.25
12/29/2022,$129.22,11346,$127.34,$129.55,$127.34
12/28/2022,$126.71,6708,$125.58,$133.43,$125.58
12/27/2022,$128.82,4659,$133.04,$133.04,$128.8
12/23/2022,$131.03,7953,$127.05,$132.17,$127.05
12/22/2022,$131.53,7035,$132.85,$133.21,$130.63
12/21/2022,$130.14,7017,$128.32,$130.84,$128.32
12/20/2022,$133.94,7046,$130.65,$138.82,$130.65
12/19/2022,$134.82,11480,$131.77,$136.66,$131.77
12/16/2022,$136.65,6862,$140.38,$140.38,$133
12/15/2022,$135.845,12102,$137.3,$137.52,$135.05
12/14/2022,$138.62,7287,$135.68,$139.83,$135.68
12/13/2022,$137.955,10250,$137.25,$140.6075,$137.07
12/12/2022,$136.02,7817,$133.75,$136.3645,$133.75
12/09/2022,$136.175,23277,$139,$139,$134.75
12/08/2022,$138.42,12479,$136.5,$139.49,$136.5
12/07/2022,$138.07,6266,$134.734,$143.05,$134.734
12/06/2022,$137.35,11090,$143.05,$143.05,$134.59
12/05/2022,$137.29,7234,$133.88,$138.48,$133.88
12/02/2022,$141.51,4565,$140.35,$142.33,$140.35
12/01/2022,$142.31,3462,$147.05,$147.05,$138.39
11/30/2022,$143.17,5187,$140.37,$143.86,$140.37
11/29/2022,$140.67,8080,$137.52,$143.07,$137.52
11/28/2022,$143.39,6409,$139.27,$147.99,$139.27
