"Date","Close.Last","Volume","Open","High","Low"
2018-01-26,228.7,160,228,229.7,228
2018-01-29,232.9,855,228.1,233,228.1
2018-01-30,230.7,410,232,232,229.7
2018-01-31,229.7,918,230,230.8,227.5
2018-02-01,228.6,250,229.8,229.8,227
2018-02-02,223.2,369,226.1,226.1,221.7
2018-02-05,221.6,2399,226.9,228.2,221.6
2018-02-06,230.4,834,226.3,230.9,226
2018-02-07,226,1432,226.5,227.5,221.3
2018-02-08,224,257,226.8,226.8,218.5
2018-02-09,218,404,222,222,215.2
2018-02-12,221,397,215,229.9,215
2018-02-13,222.8,563,217.4,224.9,217.4
2018-02-14,224.5,473,221.5,224.5,219
2018-02-15,226.9,711,221.4,228.3,221.4
2018-02-16,229.2,136,226.7,229.2,226
2018-02-20,225.5,1181,225.5,225.5,218.8
2018-02-21,223,121,222.2,226.1,222.2
2018-02-22,224.2,619,223,225,223
2018-02-23,225.8,231,226,227.5,223.5
2018-02-26,230.7,249,226,230.7,226
2018-02-27,232,438,230,232,230
2018-02-28,232,2674,233.5,233.5,231
2018-03-01,223.5,191,226,226.1,223.5
2018-03-02,224.5,623,220.8,225.5,220.8
2018-03-05,221.4,824,219.3,221.4,216.9
2018-03-06,224.3,245,224.1,226.3,222
2018-03-07,221.7,2674,222.2,222.2,217.5
2018-03-08,222.4,304,222.2,222.4,217
2018-03-09,216.7,434,218,220,215
2018-03-12,218.8,546,218,220,218
2018-03-13,215,10906,218,218.3,213.7
2018-03-14,214.5,14816,215,215.8,214.5
2018-03-15,216.9,992,218.4,218.4,215
2018-03-16,215.9,681,216,216,215
2018-03-19,213.7,277,212.5,216,212.5
2018-03-20,212.6,446,214.1,214.1,210.7
2018-03-21,213,480,215.1,215.1,210.1
2018-03-22,214.1,287,215,215,213.3
2018-03-23,213.2,634,215.2,215.2,209.7
2018-03-26,211.9,197,209.9,214,209.9
2018-03-27,218.2,481,218,218.2,215.7
2018-03-28,213.7,472,215.7,215.7,211.2
2018-03-29,217.6,287,214.8,217.6,212.3
2018-04-02,213.3,124,217.9,217.9,213.3
2018-04-03,218.6,6978,215.9,219.5,212.6
2018-04-04,222.9,607,217.9,222.9,215.7
2018-04-05,221.2,311,223.4,223.4,217.6
2018-04-06,222,419,222.6,222.6,217
2018-04-09,221.5,870,221.9,223,219.9
2018-04-10,220.6,229,220.4,223,217.8
2018-04-11,221.5,391,220.2,223.8,220.2
2018-04-12,220.6,235,223,223,219
2018-04-13,223.5,3311,223.5,223.5,219
2018-04-16,222.9,929,217.5,222.9,217.5
2018-04-17,221.8,529,221.5,221.8,219.7
2018-04-18,220.9,387,218.4,222,218.4
2018-04-19,216.9,161,220,220,213
2018-04-20,213.2,168,210.1,215.5,210.1
2018-04-23,213,277,213.1,213.1,210.1
2018-04-24,213.7,371,212.5,215,212.4
2018-04-25,214,229,215.8,215.8,212.5
2018-04-26,214.9,466,210.8,215.6,210.8
2018-04-27,216,932,215,219.8,214
2018-04-30,215,546,216.7,216.7,213.4
2018-05-01,216.3,490,214.9,216.3,214.1
2018-05-02,215.7,296,217.1,217.1,211.5
2018-05-03,215,695,216.3,216.3,211
2018-05-04,215.7,437,217,217,214.4
2018-05-07,215.5,285,217,217,214
2018-05-08,216,346,210.6,216,210.6
2018-05-09,210,385,208,210,207.9
2018-05-10,213,6087,212,213.7,208.1
2018-05-11,223.5,1118,225,226.1,223.4
2018-05-14,225,439,225.4,225.4,223.8
2018-05-15,228,511,229.2,229.2,226.2
2018-05-16,225.7,546,225.7,225.7,224.5
2018-05-17,225,486,220.6,227.9,220.6
2018-05-18,230,479,232,232,228
2018-05-21,232.8,82,232.9,232.9,231.9
2018-05-22,233,537,226.6,233.6,226.6
2018-05-23,231.1,635,233.1,233.1,229.2
2018-05-24,230,597,224.3,230.5,224.3
2018-05-25,227.1,165,227.1,227.1,223
2018-05-29,233.7,199,226.7,233.7,226.7
2018-05-30,230,595,226,230,226
2018-05-31,230.2,336,227,232.5,227
2018-06-01,232.9,987,234.1,234.1,230.4
2018-06-04,235.3,469,231.6,237,231.6
2018-06-05,234.6,655,231.5,237,231.5
2018-06-06,233.2,359,230,234,230
2018-06-07,232.3,201,232.5,234.5,230.1
2018-06-08,234.6,51,233,236.3,233
2018-06-11,238,2279,238.7,238.7,234
2018-06-12,234.2,533,231,235,231
2018-06-13,233.9,122,232,235.9,231.5
2018-06-14,232.5,484,229.2,234.5,229.2
2018-06-15,232.5,992,229.9,235.1,228.1
2018-06-18,232.8,720,227.7,233.1,227.7
2018-06-19,233.5,590,231.2,235.4,230.7
2018-06-20,228.9,1143,230,230.8,228.4
2018-06-21,227.5,2640,226.6,229.7,226
2018-06-22,231.5,744,221.5,231.6,221.5
2018-06-25,223.7,404,231.5,231.5,220.9
2018-06-26,223.6,757,219.1,225.9,219.1
2018-06-27,220.3,1001,219,224.6,218.9
2018-06-28,221.4,457,218,222.5,218
2018-06-29,221,578,221.1,223.8,218.6
2018-07-02,218,777,216.9,220,213.9
2018-07-03,222.6,102,222.6,222.6,218
2018-07-05,225.4,4999,217.3,225.4,217.3
2018-07-06,223.7,71,219.5,224.9,219.5
2018-07-09,224,320,225,226,224
2018-07-10,225.2,272,226,226,224.7
2018-07-11,221.3,560,221,224.5,220.2
2018-07-12,222,2843,219.3,222.5,219.3
2018-07-13,221,67,223,226,220.9
2018-07-16,221,303,221,226,221
2018-07-17,231,465,229.5,233,229.5
2018-07-18,234.7,22386,231.2,236.2,231.2
2018-07-19,238,399,239,239,237
2018-07-20,238.8,565,240.5,240.5,237
2018-07-23,239,468,241.5,241.5,237
2018-07-24,241.8,992,244,244,240
2018-07-25,239,4702,243,243,237
2018-07-26,243.3,276,240.5,246,240.5
2018-07-27,240.7,820,243.7,243.7,237.5
2018-07-30,241.5,361,235.1,242,235.1
2018-07-31,236.7,463,236.7,237.5,232.2
2018-08-01,237.5,374,237.5,237.5,235
2018-08-02,243.3,881,240.5,243.3,240.5
2018-08-03,251.5,135,251.5,251.5,249.5
2018-08-06,262,782,265.3,265.3,258.6
2018-08-07,268.7,579,267.5,269.1,267.5
2018-08-08,261.6,2063,262.5,266.2,260
2018-08-09,251,15359,250,252,250
2018-08-10,253.1,271,249.5,254.7,249.5
2018-08-13,261.1,883,260.6,263.5,258.7
2018-08-14,272,2695,274.9,274.9,272
2018-08-15,269.2,485,272.7,272.7,265.9
2018-08-16,276,562,270.2,278.6,270.2
2018-08-17,272.5,206,282,282,268
2018-08-20,272,566,265.5,272,265.5
2018-08-21,271.2,998,273.2,273.2,267.5
2018-08-22,277.5,320,276.6,280,275.5
2018-08-23,262.2,441,258.5,265,258.5
2018-08-24,258,280,258,262.5,258
2018-08-27,264,1657,263.5,264,256.7
2018-08-28,265.5,1417,267.6,267.6,259.6
2018-08-29,268,11982,270.8,274,263.8
2018-08-30,262,616,263,264.5,259.6
2018-08-31,261.5,364,263.4,263.4,259.6
2018-09-04,260.5,406,262.4,262.4,258.9
2018-09-05,260,1519,265,265,259
2018-09-06,260.7,571,261.9,261.9,258.5
2018-09-07,256,228,258.5,258.5,254.5
2018-09-10,258.6,240,255.9,261.8,253.9
2018-09-11,253.6,588,256.8,256.8,253.6
2018-09-12,253.6,512,256.5,257.7,253.6
2018-09-13,256.1,1018,253.3,258.4,253.3
2018-09-14,247.4,14665,251.5,251.5,245.3
2018-09-17,247.7,1766,245.5,250.5,245.5
2018-09-18,255.4,1288,255.3,259.2,251.4
2018-09-19,255.7,402,250.6,257.5,250.6
2018-09-20,252,344,250,254,250
2018-09-21,252.7,182,252.5,254,251.5
2018-09-24,252.7,992,255.8,255.8,251.5
2018-09-25,243.7,912,244.5,244.5,242.5
2018-09-26,234.2,396,241.6,241.6,230.2
2018-09-27,235.7,1069,239.6,239.6,233.1
2018-09-28,229.6,510,225.4,231,225.4
2018-10-01,229.5,418,228.9,232.3,225.6
2018-10-02,229.2,1346,226.1,231.4,226.1
2018-10-03,226.3,967,224.7,228.5,224.7
2018-10-04,223.4,564,224.7,226.5,222.1
2018-10-05,218.1,870,220.9,220.9,215.8
2018-10-08,217.9,998,219.9,219.9,215.8
2018-10-09,214.8,1440,219,219,211.1
2018-10-10,209.2,581,210.7,213.5,207.9
2018-10-11,206.3,1899,200,211.6,200
2018-10-12,210.5,1899,206.5,214.3,206.5
2018-10-15,207.3,461,209.2,209.2,204.4
2018-10-16,211.1,3302,213.5,213.5,208.1
2018-10-17,207.6,4338,210.2,210.2,204.3
2018-10-18,204.2,1292,204.5,205.4,202.4
2018-10-19,201.8,2421,201.8,206,201.8
