"Date","Close.Last","Volume","Open","High","Low"
2018-01-25,22.5,100878070,23.21,23.28,22.42
2018-01-26,22.85,68031821,22.76,22.93,22.38
2018-01-29,23.3,71073084,22.65,23.39,22.55
2018-01-30,23.05,70660225,23,23.21,22.81
2018-01-31,23.62,92990549,23.16,23.74,23.01
2018-02-01,23.28,62811569,23.4,23.97,23.24
2018-02-02,22.91,55442327,23.22,23.46,22.7
2018-02-05,22.2,66617457,22.53,22.96,22.2
2018-02-06,22.26,76200442,21.68,22.41,21.56
2018-02-07,23,100945180,22.59,23.06,22.37
2018-02-08,21.01,154446223,22.88,23.24,20.97
2018-02-09,20.69,193866353,21.32,21.39,19.65
2018-02-12,21.04,93367138,21.07,21.2,20.41
2018-02-13,21.57,68319431,21,21.61,20.83
2018-02-14,21.48,59221125,21.38,21.74,21.23
2018-02-15,22.27,88647301,21.63,22.27,21.49
2018-02-16,22.36,84602718,22.16,22.87,22.1
2018-02-20,22.31,60089400,22.29,22.72,22.1
2018-02-21,22.22,48108726,22.4,22.64,22.21
2018-02-22,23.07,104428148,22.36,23.16,22.31
2018-02-23,23.47,87212611,23.18,23.66,23.14
2018-02-26,23.82,65017467,23.56,23.93,23.49
2018-02-27,23.39,71775294,23.75,23.99,23.33
2018-02-28,22.87,90990615,23.5,23.68,22.81
2018-03-01,22.06,103088228,23,23.24,22
2018-03-02,22.34,76331797,21.79,22.34,21.53
2018-03-05,22.22,57310501,22.15,22.51,21.95
2018-03-06,21.88,63547213,22.25,22.42,21.8
2018-03-07,22.15,75029062,21.69,22.16,21.44
2018-03-08,21.94,52715479,22.19,22.22,21.75
2018-03-09,21.81,82541644,21.6,21.89,21.49
2018-03-12,23.03,123793723,21.9,23.14,21.76
2018-03-13,22.78,89409495,22.99,23,22.41
2018-03-14,21.77,119282220,22.45,22.65,21.59
2018-03-15,21.7,98318471,21.95,22.19,21.4
2018-03-16,21.42,91700429,21.73,21.82,21.27
2018-03-19,20.9,112018294,21.1,21.38,20.64
2018-03-20,20.7,71415429,20.99,21.08,20.58
2018-03-21,21.1,89313660,20.68,21.49,20.67
2018-03-22,20.6,73873883,20.92,21.25,20.54
2018-03-23,20.1,99599350,20.75,20.77,20.03
2018-03-26,20.27,125473992,20.48,20.5,19.42
2018-03-27,18.61,206805797,20.26,20.28,18.47
2018-03-28,17.18,314434043,17.63,17.91,16.8
2018-03-29,17.74,225216487,17.09,18.06,16.54
2018-04-02,16.83,241399229,17.08,17.35,16.3
2018-04-03,17.83,282444609,17.98,18.22,16.96
2018-04-04,19.12,298202551,16.85,19.22,16.8
2018-04-05,20.38,285387757,19.28,20.41,19.21
2018-04-06,19.95,202747849,20.06,20.61,19.7
2018-04-09,19.31,153621073,20.02,20.63,19.28
2018-04-10,20.31,165255067,19.93,20.47,19.57
2018-04-11,20.06,112053004,20.04,20.59,19.97
2018-04-12,19.6,113932818,20.15,20.26,19.57
2018-04-13,20.02,109788320,20.24,20.26,19.73
2018-04-16,19.41,94342408,19.93,19.97,19.26
2018-04-17,19.17,103967228,19.25,19.47,18.83
2018-04-18,19.55,97973396,19.4,20.01,19.21
2018-04-19,20,91256954,19.4,20.06,19.23
2018-04-20,19.34,84339408,19.67,19.99,19.31
2018-04-23,18.89,73211108,19.41,19.44,18.82
2018-04-24,18.89,85173587,19,19.13,18.56
