"Date","Close.Last","Volume","Open","High","Low"
2018-01-25,138.1,270925,139.4,139.4,137.7
2018-01-26,139.5,319295,139.3,139.7,138.9
2018-01-29,139.5,249255,139.9,140.4,139.4
2018-01-30,139.6,217189,139.9,140.2,139.2
2018-01-31,137.9,224578,138.4,138.5,137.1
2018-02-01,138.8,169638,138.2,139.2,138.2
2018-02-02,136.6,253189,138.9,138.9,136.5
2018-02-05,131.9,313844,135.5,136.1,131.3
2018-02-06,138.7,513279,134.3,139.4,133.2
2018-02-07,136.8,217796,137.3,138.7,136.8
2018-02-08,134.4,387676,138.2,138.2,134.4
2018-02-09,136.5,433050,137.1,137.6,133
2018-02-12,138.7,253104,137.7,139.1,136.7
2018-02-13,135,300092,134.1,135.2,133.8
2018-02-14,135.4,262617,132.7,135.5,132.1
2018-02-15,135.2,218497,135,135.3,134.1
2018-02-16,136.2,158687,135.9,136.7,135.9
2018-02-20,135.8,128840,135.7,136.5,135.4
2018-02-21,134.8,144280,135.8,136.5,134.8
2018-02-22,135.2,148058,135.6,136.1,134.9
2018-02-23,137,101926,136,137,135.7
2018-02-26,138.4,125592,137.3,138.5,137
2018-02-27,136,150789,137.7,137.9,136
2018-02-28,134.6,133307,136.1,136.2,134.5
2018-03-01,130.3,444166,133.4,133.5,129.5
2018-03-02,130.5,214253,129.1,130.7,128.6
2018-03-05,130.9,161486,129.3,131.4,128.9
2018-03-06,131.3,194962,131.6,131.8,130.7
2018-03-07,129.8,284160,129.4,130,128.4
2018-03-08,129.5,233775,129.2,129.8,128.7
2018-03-09,129.7,472964,128.6,130.1,127.8
2018-03-12,130.3,143990,130,131,130
2018-03-13,130,174175,130.6,131.1,129.6
2018-03-14,130,116112,131.2,131.2,129.8
2018-03-15,130.3,102429,130.5,131,129.9
2018-03-16,129.9,91370,130,130.4,129.9
2018-03-19,127.8,179586,129.1,129.3,127.2
2018-03-20,129.2,69080,128.5,129.3,128.5
2018-03-21,129.2,110546,129.2,130.2,128.8
2018-03-22,127,177325,128.3,128.6,126.9
2018-03-23,124.5,223176,126.4,126.7,124.4
2018-03-26,127.3,158682,126.2,127.4,125.2
2018-03-27,128,347651,129.4,130.1,127.5
2018-03-28,129.3,348488,128.2,129.7,128.1
2018-03-29,130.3,165151,130,130.9,129
2018-04-02,126.5,260047,128.9,128.9,125.8
2018-04-03,128.3,233062,127.1,128.4,126.9
2018-04-04,127.7,396405,125.9,127.9,125.7
2018-04-05,127.4,437292,127.3,127.8,126.9
2018-04-06,125.3,420646,126.1,126.5,124.4
2018-04-09,126.1,233152,126.2,127.2,125.7
2018-04-10,128.2,314229,127.9,128.5,127.7
2018-04-11,127.8,154987,128,128.5,127.7
2018-04-12,128.6,134548,128.5,129,128.3
2018-04-13,128.5,89014,128.8,128.9,128.2
2018-04-16,128.8,137222,129.1,129.3,128.7
2018-04-17,129.3,174068,128.9,129.4,128.5
2018-04-18,129,199490,129.4,129.6,129
2018-04-19,128.4,148156,128.7,128.7,128
2018-04-20,129.2,214614,128.9,129.3,128.8
2018-04-23,129,117628,129.3,129.3,128.7
2018-04-24,129.4,145628,130.5,130.6,129
2018-04-25,131.1,181551,130.7,131.2,130.5
