Date,Close/Last,Volume,Open,High,Low
01/25/2023,$17.25,222595,$17.275,$17.2999,$17.13
01/24/2023,$17.24,391815,$17.17,$17.33,$17.13
01/23/2023,$17.385,192184,$17.28,$17.45,$17.22
01/20/2023,$17.27,165013,$16.9396,$17.28,$16.87
01/19/2023,$17.0565,132369,$17.04,$17.1,$16.9
01/18/2023,$17.23,184811,$17.689,$17.69,$17.23
01/17/2023,$17.5,265044,$17.48,$17.75,$17.46
01/13/2023,$17.45,171366,$17.27,$17.45,$17.25
01/12/2023,$17.85,235127,$17.741,$17.93,$17.615
01/11/2023,$17.455,214612,$17.431,$17.49,$17.32
01/10/2023,$17.125,143604,$17.21,$17.25,$17.01
01/09/2023,$17.15,155040,$17.18,$17.3,$17.116
01/06/2023,$17.065,178594,$16.62,$17.08,$16.58
01/05/2023,$16.731,128716,$16.89,$16.89,$16.7
01/04/2023,$16.79,296040,$16.78,$16.88,$16.66
01/03/2023,$16.34,232632,$16.42,$16.455,$16.21
12/30/2022,$15.645,372036,$15.7,$15.79,$15.58
12/29/2022,$15.78,580734,$15.67,$15.87,$15.66
12/28/2022,$15.225,390305,$15.54,$15.58,$15.2
12/27/2022,$15.61,683872,$15.7,$15.73,$15.55
12/23/2022,$15.72,237067,$15.76,$15.87,$15.66
12/22/2022,$15.44,541292,$15.665,$15.69,$15.32
12/21/2022,$15.95,726794,$16.07,$16.118,$15.94
12/20/2022,$16.155,428781,$16.24,$16.35,$16.11
12/19/2022,$16.536,549837,$16.536,$16.536,$16.536
12/16/2022,$17.85,380324,$18.041,$18.14,$17.6
12/15/2022,$18.09,240008,$18.35,$18.36,$18.01
12/14/2022,$18.5,372120,$18.57,$18.7,$18.4
12/13/2022,$18.28,280544,$18.67,$18.675,$18.252
12/12/2022,$18.24,280510,$18.38,$18.39,$18.15
12/09/2022,$18.6,143961,$18.63,$18.75,$18.585
12/08/2022,$18.66,146428,$18.72,$18.77,$18.62
12/07/2022,$18.84,155113,$19.1,$19.17,$18.83
12/06/2022,$19.14,245793,$19.51,$19.51,$19.03
12/05/2022,$19.37,482833,$19.6,$19.65,$19.28
