"Date","Close.Last","Volume","Open","High","Low"
2018-01-26,45.64,158774,45.52,45.69,45.35
2018-01-29,45.38,85490,45.9,45.92,45.34
2018-01-30,44.51,135136,44.5,44.78,44.38
2018-01-31,44.44,125797,44.91,44.99,44.16
2018-02-01,44.4,129286,44.29,44.58,44.12
2018-02-02,43.09,188955,44.13,44.14,43.06
2018-02-05,39.97,585630,42.4,42.46,39.8
2018-02-06,42.25,665492,41.06,42.25,40.93
2018-02-07,42.05,178538,42.37,42.79,41.81
2018-02-08,40.55,239310,42.22,42.22,40.55
2018-02-09,41.44,334767,41.13,41.6,40
2018-02-12,41.93,139018,41.35,42,41.17
2018-02-13,42.11,81784,41.7,42.16,41.7
2018-02-14,42.67,68363,41.15,42.72,41.11
2018-02-15,42.6,129430,42.85,42.86,42.05
2018-02-16,42.54,93367,42.22,42.83,42.18
2018-02-20,41,360899,41.23,41.48,40.88
2018-02-21,40.43,123163,41.05,41.1,40.37
2018-02-22,40.89,192767,41.17,41.37,40.7
2018-02-23,40.98,581178,41.44,41.5,40.41
2018-02-26,41.77,126264,41.69,41.82,41.3
2018-02-27,40.51,108319,40.93,41.05,40.42
2018-02-28,39.76,338301,40.48,40.5,39.76
2018-03-01,39.04,225259,39.31,39.53,38.7
2018-03-02,39.16,231881,38.85,39.22,38.55
2018-03-05,39.19,176747,38.46,39.2,38.32
2018-03-06,40.04,158456,40.04,40.21,39.8
2018-03-07,39.59,160537,39.26,39.71,39.16
2018-03-08,39.5,103860,39.27,39.62,39.14
2018-03-09,39.5,81473,39.4,39.53,39.34
2018-03-12,39.66,69925,39.77,39.95,39.55
2018-03-13,38.65,132332,39.97,39.98,38.6
2018-03-14,39.75,202360,39.82,39.91,39.42
2018-03-15,40.37,148566,40.34,40.59,40.21
2018-03-16,40.36,83679,40.38,40.91,40.25
2018-03-19,39.52,407853,40.1,40.1,39.39
2018-03-20,39.75,473767,39.53,39.97,39.53
2018-03-21,39.57,251484,39.59,39.75,39.33
2018-03-22,38.74,284386,39.02,39.18,38.53
2018-03-23,37.87,153320,38.57,38.68,37.81
2018-03-26,39.63,185420,39.36,39.65,38.85
2018-03-27,39.04,75339,40.05,40.1,38.87
2018-03-28,38.63,122720,38.64,39,38.4
2018-03-29,40.04,96068,40.18,40.24,39.79
2018-04-02,39.47,143128,39.97,40.25,38.79
2018-04-03,40.49,100032,40.01,40.49,39.82
2018-04-04,40.18,99824,39.32,40.29,39.28
2018-04-05,40.65,70221,40.7,40.92,40.56
2018-04-06,40.21,91454,40.43,40.68,40.07
2018-04-09,40.24,58437,40.51,40.63,40.24
2018-04-10,41.84,200380,42.2,42.3,41.51
2018-04-11,42.1,210643,42.4,42.58,42
2018-04-12,43.04,213501,42.95,43.13,42.58
2018-04-13,42.85,76387,42.84,43,42.52
2018-04-16,42.31,104166,42.49,42.53,42.08
2018-04-17,42.8,148609,42.43,42.82,42.35
2018-04-18,42.63,407078,42.52,42.96,42.47
2018-04-19,42.23,466215,42.55,42.57,42.02
2018-04-20,41.55,331455,41.96,41.97,41.49
2018-04-23,40.97,305651,41.16,41.21,40.8
2018-04-24,40.69,337902,41.15,41.34,40.53
2018-04-25,40.13,381563,40.19,40.36,39.88
2018-04-26,41.09,70349,41.5,41.54,40.88
2018-04-27,41.04,237900,40.81,41.09,40.65
2018-04-30,40.63,52795,40.42,40.89,40.42
2018-05-01,40.5,32927,40.7,40.7,40.01
2018-05-02,41.32,102175,41.55,41.74,41.19
2018-05-03,41.15,67281,41,41.26,40.82
2018-05-04,40.53,64533,40.09,40.63,40.08
2018-05-07,40.77,91643,40.7,40.86,40.6
2018-05-08,40.4,36794,40.34,40.58,40.22
2018-05-09,39.92,74136,40.01,40.13,39.77
2018-05-10,40.32,120199,39.82,40.32,39.82
2018-05-11,40.4,94982,40.25,40.44,40.25
2018-05-14,40.16,70080,40.29,40.47,40.13
2018-05-15,40.35,51202,40.21,40.46,40.14
2018-05-16,40.04,64020,40.13,40.26,39.9
2018-05-17,40.19,37546,40.3,40.35,40.06
2018-05-18,40.19,51087,40.17,40.32,40.03
2018-05-21,40.55,43058,40.51,40.75,39.94
2018-05-22,40.56,57582,40.69,40.73,40.39
2018-05-23,39.89,49892,39.75,39.89,39.5
2018-05-24,39.2,157995,38.8,39.28,38.57
2018-05-25,39.01,79385,38.88,39.01,38.56
2018-05-29,37.34,306448,37.45,39.02,36.95
2018-05-30,37.85,115097,37.6,38.1,37.4
2018-05-31,37.21,272383,37.49,37.59,36.98
2018-06-01,37.27,94969,37.7,37.79,37.2
2018-06-04,37.26,91821,37.59,37.63,37.24
2018-06-05,37.72,82772,37.91,38.02,37.58
2018-06-06,38.37,307781,37.93,38.37,37.85
2018-06-07,38.07,136382,38.42,38.6,37.86
2018-06-08,37.89,89673,37.8,37.93,37.54
2018-06-11,37.5,112924,37.32,37.61,37.21
2018-06-12,37.44,81143,37.46,37.63,37.35
2018-06-13,37.57,74786,37.73,37.85,37.53
2018-06-14,37.81,60727,37.89,38.08,37.81
2018-06-15,36.74,164759,37.43,37.45,36.57
2018-06-18,35.79,252764,35.53,35.86,35.49
2018-06-19,34.95,264360,34.89,35.07,34.56
2018-06-20,35.28,143727,35.3,35.57,35.25
2018-06-21,34.47,257023,34.55,34.61,34.26
2018-06-22,34.58,148241,34.78,34.79,34.19
2018-06-25,33.96,163471,33.9,34.06,33.72
2018-06-26,33.72,332259,33.64,33.76,33.43
2018-06-27,33.77,436094,34.08,34.51,33.61
2018-06-28,33.15,224233,32.77,33.28,32.65
2018-06-29,33,194022,33.11,33.36,33
2018-07-02,32.67,194058,32.69,32.75,32.44
2018-07-03,32.61,65378,33.05,33.07,32.56
2018-07-05,34.25,183908,34.36,34.44,32.93
2018-07-06,34.11,121866,33.97,34.21,33.85
2018-07-09,33.97,110547,33.94,34,33.76
2018-07-10,33.93,134121,33.57,33.94,33.57
2018-07-11,32.84,221067,33.09,33.25,32.8
2018-07-12,33.1,170999,33,33.17,32.84
2018-07-13,33.3,88413,33.12,33.37,32.97
2018-07-16,33.23,115979,33.15,33.34,33.08
2018-07-17,34.02,183961,33,34.02,33
2018-07-18,34.09,133747,33.9,34.13,33.8
2018-07-19,34.02,102315,33.89,34.13,33.8
2018-07-20,33.45,123471,33.05,33.45,33
2018-07-23,33.7,115834,33.64,33.79,33.6
2018-07-24,34.31,162158,34.69,34.7,34.23
2018-07-25,34.51,223940,33.77,34.52,33.25
2018-07-26,34.47,141642,34.62,34.84,34.47
2018-07-27,34.27,212036,34.39,34.69,34.09
2018-07-30,34.58,139762,34.84,34.87,34.54
2018-07-31,34.56,119220,34.83,35,34.5
2018-08-01,33.43,132787,33.78,33.79,33.25
2018-08-02,33.09,288697,32.65,33.1,32.5
2018-08-03,33.18,172448,33.11,33.24,33.01
2018-08-06,33.14,131360,33.24,33.3,33.05
2018-08-07,33.3,155541,33.94,33.97,33.27
2018-08-08,33.52,159171,33.65,33.69,33.44
2018-08-09,33.43,195560,33.61,33.65,33.36
2018-08-10,32.33,170651,32.35,32.46,32.16
2018-08-13,32.01,51548,32.3,39.99,32
2018-08-14,15.9,3113,15.9,16.2,15.9
