Date,Close/Last,Volume,Open,High,Low
02/01/2023,$20.19,58655,$19.93,$20.26,$19.846
01/31/2023,$19.804,50963,$19.63,$19.81,$19.59
01/30/2023,$19.74,55627,$19.79,$19.88,$19.71
01/27/2023,$19.87,57185,$19.86,$20.007,$19.8
01/26/2023,$19.73,61719,$19.67,$19.74,$19.49
01/25/2023,$20.186,89229,$20.04,$20.28,$19.974
01/24/2023,$20.1586,88307,$20.01,$20.2,$20.01
01/23/2023,$19.915,39081,$19.72,$19.96,$19.72
01/20/2023,$19.7,81156,$19.37,$19.7,$19.32
01/19/2023,$19.22,37917,$19.348,$19.38,$19.105
01/18/2023,$19.61,35627,$19.88,$19.902,$19.59
01/17/2023,$19.3,76235,$19.26,$19.33,$19.21
01/13/2023,$19.28,52412,$19.09,$19.28,$19.08
01/12/2023,$19.2505,50962,$19.16,$19.33,$19.073
01/11/2023,$19.037,47951,$18.89,$19.037,$18.88
01/10/2023,$18.76,67778,$18.63,$18.76,$18.62
01/09/2023,$18.843,79825,$18.82,$19.01,$18.8
01/06/2023,$18.555,40826,$17.85,$18.58,$17.85
01/05/2023,$17.98,50329,$18.11,$18.11,$17.88
01/04/2023,$18.25,56174,$18.28,$18.32,$18.17
01/03/2023,$18.2435,85212,$18.26,$18.2799,$18.15
12/30/2022,$18.04,91472,$18.15,$18.213,$17.99
12/29/2022,$18.1399,217127,$18.04,$18.19,$18.01
12/28/2022,$17.97,63309,$18.23,$18.28,$17.95
12/27/2022,$18.14,56155,$18.2,$18.28,$18.13
12/23/2022,$17.97,50159,$17.965,$18.05,$17.91
12/22/2022,$17.98,67754,$18.11,$18.11,$17.82
12/21/2022,$18.25,65212,$18.23,$18.33,$18.16
12/20/2022,$18.05,61581,$17.95,$18.133,$17.9215
12/19/2022,$18.14,99183,$18.185,$18.37,$18.1
12/16/2022,$18.26,55271,$18.34,$18.39,$18.14
12/15/2022,$18.48,104157,$18.83,$18.83,$18.3638
12/14/2022,$19.1,70478,$19.16,$19.26,$18.93
12/13/2022,$19.3,98361,$19.45,$19.48,$19.165
12/12/2022,$18.68,122625,$18.58,$18.72,$18.5
12/09/2022,$18.68,69290,$18.65,$18.8299,$18.65
12/08/2022,$18.48,50394,$18.36,$18.52,$18.36
12/07/2022,$18.4,108259,$18.55,$18.55,$18.375
12/06/2022,$18.45,159979,$18.64,$18.66,$18.3245
12/05/2022,$18.5,172093,$18.74,$18.77,$18.46
12/02/2022,$18.7,122666,$18.49,$18.75,$18.45
12/01/2022,$18.72,125408,$18.64,$18.74,$18.48
11/30/2022,$18.38,72897,$18.16,$18.47,$17.8775
11/29/2022,$18.03,88037,$18.114,$18.185,$17.96
11/28/2022,$17.97,62384,$18.31,$18.33,$17.94
