"Date","Close.Last","Volume","Open","High","Low"
2018-02-01,20.55,7443,20.37,20.59,20.37
2018-02-02,19.73,8245,20.19,20.23,19.72
2018-02-05,18.49,48943,19.51,19.55,18.42
2018-02-06,19.63,34069,18.83,19.66,18.83
2018-02-07,19.12,12296,19.3,19.35,19.11
2018-02-08,18.46,17738,19.14,19.14,18.46
2018-02-09,18.56,28672,18.63,18.68,17.93
2018-02-12,18.78,11636,18.5,18.81,18.5
2018-02-13,18.74,16158,18.73,18.75,18.61
2018-02-14,19.27,10317,18.55,19.31,18.55
2018-02-15,19.28,4526,19.21,19.28,18.98
2018-02-16,19.45,5965,19.28,19.54,19.28
2018-02-20,19.42,21361,19.55,19.56,19.37
2018-02-21,19.38,164931,19.58,19.71,19.37
2018-02-22,19.46,14034,19.56,19.67,19.46
2018-02-23,19.37,8331,19.3,19.41,19.21
2018-02-26,19.2,28418,19.35,19.35,19.08
2018-02-27,19.03,10692,19.09,19.13,18.96
2018-02-28,18.76,41825,19.05,19.05,18.72
2018-03-01,18.67,7458,18.95,18.95,18.57
2018-03-02,18.28,15542,18.05,18.3,18.03
2018-03-05,18.33,8231,18.01,18.33,17.97
2018-03-06,18.43,6151,18.34,18.43,18.23
2018-03-07,18.11,14699,18.02,18.11,17.93
2018-03-08,18.24,4563,18.26,18.29,18.24
2018-03-09,18.57,13722,18.45,18.6,18.45
2018-03-12,18.43,6822,18.41,18.46,18.37
2018-03-13,18.36,16912,18.66,18.66,18.3
2018-03-14,18.52,3928,18.67,18.67,18.47
2018-03-15,18.85,5522,18.62,18.87,18.62
2018-03-16,18.51,1956,18.55,18.58,18.51
2018-03-19,18.27,5099,18.46,18.46,18.12
2018-03-20,18.47,13255,18.36,18.55,18.35
2018-03-21,18.41,9569,18.35,18.56,18.35
2018-03-22,17.79,9443,18,18.03,17.74
2018-03-23,17.72,6099,17.98,18.01,17.68
2018-03-26,18.05,25257,18.04,18.07,17.7
2018-03-27,17.9,299094,18.21,18.3,17.9
2018-03-28,17.85,77677,17.75,18.02,17.64
2018-03-29,18.4,8166,18.18,18.4,18.16
2018-04-02,17.89,9400,18.16,18.24,17.69
2018-04-03,17.76,27347,17.7,17.86,17.53
2018-04-04,17.74,19866,17.31,17.74,17.27
2018-04-05,17.83,9579,17.72,17.89,17.7
2018-04-06,17.08,8663,17.14,17.31,17.02
2018-04-09,17.21,9414,17.25,17.4,17.21
2018-04-10,17.98,30170,17.87,18.03,17.87
2018-04-11,17.84,22074,17.94,18,17.82
2018-04-12,17.94,3052,17.85,17.95,17.85
2018-04-13,18.24,4236,18.34,18.34,18.21
2018-04-16,18.48,8631,18.5,18.5,18.3
2018-04-17,18.8,18980,18.63,18.9,18.63
2018-04-18,18.99,5176,18.93,19.08,18.93
2018-04-19,19.12,9867,19.17,19.18,19.02
2018-04-20,18.99,10152,18.94,19.07,18.87
2018-04-23,18.97,6594,19.03,19.07,18.93
2018-04-24,18,22296,18.28,18.35,17.93
2018-04-25,17.71,5259,17.6,17.74,17.58
2018-04-26,17.61,4878,17.69,17.69,17.52
2018-04-27,17.49,9440,17.37,17.53,17.35
2018-04-30,17.01,17760,17.17,17.17,16.99
2018-05-01,16.93,21838,16.95,16.98,16.74
2018-05-02,17.02,7858,17.15,17.17,17
2018-05-03,17.25,9407,17.15,17.3,17.07
2018-05-04,17.29,11585,17.06,17.32,17.06
2018-05-07,17.45,7605,17.29,17.53,17.29
2018-05-08,17.77,28488,17.61,17.89,17.61
2018-05-09,18.16,7940,18.06,18.25,18.06
2018-05-10,18.34,8705,18.32,18.39,18.27
2018-05-11,18.22,4836,18.14,18.27,18.14
2018-05-14,18.04,3702,18.14,18.14,18.04
2018-05-15,18.29,11799,17.98,18.3,17.97
2018-05-16,18.26,9910,18.27,18.36,18.15
2018-05-17,18.23,5980,18.19,18.39,18.19
2018-05-18,18.38,2884,18.35,18.4,18.34
2018-05-21,18.72,4248,18.67,18.72,18.6
2018-05-22,18.54,6140,18.63,18.66,18.54
2018-05-23,18.26,9516,18.17,18.27,18.11
2018-05-24,18.16,10069,18.16,18.16,17.97
2018-05-25,18.26,3317,18.26,18.26,18.21
2018-05-29,17.49,7383,17.68,17.68,17.38
2018-05-30,17.63,14525,17.5,17.75,17.4
2018-05-31,17.21,9948,17.37,17.37,17.05
2018-06-01,17.58,7447,17.46,17.58,17.4
2018-06-04,17.47,7234,17.5,17.5,17.41
2018-06-05,17.45,9431,17.51,17.52,17.36
2018-06-06,17.67,36896,17.48,17.71,17.42
2018-06-07,17.21,11929,17.3,17.33,17.13
2018-06-08,17.07,20132,17.1,17.12,16.98
2018-06-11,17.33,15998,17.07,17.34,17.07
2018-06-12,17.19,32129,17.29,17.32,17.04
2018-06-13,17.19,10265,17.19,17.23,17.18
